run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,gated_deltanet,2,1,content,plane,oracle,2000,0.37806275486946106,0.0,4.481717526912689,23,23,23,True,52.33475697040558
mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,gated_deltanet,2,1,content,plane,oracle,4000,0.3777293562889099,0.0,4.38094824552536,23,23,23,True,53.32618409395218
mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,gated_deltanet,2,1,content,plane,oracle,6000,0.3777184784412384,0.0,4.429038047790527,23,23,23,True,53.78914928436279
mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,gated_deltanet,2,1,content,plane,oracle,8000,0.3763805627822876,0.0,4.384284317493439,23,23,23,True,54.20666727423668
mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,gated_deltanet,2,1,content,plane,oracle,10000,0.3767646849155426,0.0,4.39080673456192,23,23,23,True,54.360458087921145
mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,gated_deltanet,2,1,content,plane,oracle,12000,0.3766988515853882,0.0,4.409845352172852,23,23,23,True,54.463729202747345
mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,gated_deltanet,2,2,content,plane,oracle,2000,0.5632038712501526,0.0,2.0222890079021454,23,23,23,False,53.36610186100006
mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,gated_deltanet,2,2,content,plane,oracle,4000,0.5628604888916016,0.0,1.9871805012226105,23,23,23,False,53.76325488090515
mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,gated_deltanet,2,2,content,plane,oracle,6000,0.5614961385726929,0.0,1.9994692355394363,23,23,23,False,53.77023164431254
mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,gated_deltanet,2,2,content,plane,oracle,8000,0.5627386569976807,0.0,2.0079930424690247,23,23,23,False,53.80740812420845
