run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,1,content,plane,oracle,2000,0.37774658203125,0.0,4.438541352748871,23,23,23,True,13.599186182022095
mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,1,content,plane,oracle,4000,0.37757861614227295,0.0,4.417993247509003,23,23,23,True,12.576086819171906
mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,1,content,plane,oracle,6000,0.3776508569717407,0.0,4.414703071117401,23,23,23,True,12.237115462621054
mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,1,content,plane,oracle,8000,0.37643706798553467,0.0,4.392968118190765,23,23,23,True,12.068314343690872
mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,1,content,plane,oracle,10000,0.3767488896846771,0.0,4.403451025485992,23,23,23,True,11.966614413261414
mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,1,content,plane,oracle,12000,0.3767005205154419,0.0,4.406293749809265,23,23,23,True,11.901898940404257
mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,1,content,plane,oracle,2000,0.37774658203125,0.0,4.438541352748871,23,23,23,True,18.920310139656067
mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,1,content,plane,oracle,4000,0.37757861614227295,0.0,4.417993247509003,23,23,23,True,15.23910915851593
mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,1,content,plane,oracle,6000,0.3776508569717407,0.0,4.414703071117401,23,23,23,True,14.012990355491638
mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,1,content,plane,oracle,8000,0.37643706798553467,0.0,4.392968118190765,23,23,23,True,13.403354436159134
mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,1,content,plane,oracle,10000,0.3767488896846771,0.0,4.403451025485992,23,23,23,True,13.038361525535583
mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,1,content,plane,oracle,12000,0.3767005205154419,0.0,4.406293749809265,23,23,23,True,12.794113278388977
mkar_mamba2_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,2,content,plane,oracle,2000,0.563301682472229,0.0,2.0408003628253937,23,23,23,False,11.806962370872498
mkar_mamba2_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,2,content,plane,oracle,4000,0.5633015036582947,0.0,1.9969150573015213,23,23,23,False,11.685276746749878
mkar_mamba2_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,2,content,plane,oracle,6000,0.5615580081939697,0.0,2.001506596803665,23,23,23,False,11.64936351776123
mkar_mamba2_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,2,content,plane,oracle,8000,0.5627262592315674,0.0,2.0232055485248566,23,23,23,False,11.632234066724777
mkar_mamba2_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,2,content,plane,oracle,10000,0.5625965595245361,0.0,2.0142224431037903,23,23,23,False,11.621421408653259
mkar_mamba2_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,mamba2,2,2,content,plane,oracle,12000,0.5611398220062256,0.0,2.023470640182495,23,23,23,False,11.613810996214548
