run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_smat_d3_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,3,3,content,plane,oracle,2000,0.47574830055236816,0.02490234375,4.856830656528473,11,121,132,False,98.09082210063934
mkar_smat_d3_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,3,3,content,plane,oracle,4000,0.411531925201416,0.0947265625,8.545949101448059,11,121,132,False,97.852608025074
mkar_smat_d3_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,3,3,content,plane,oracle,6000,0.34264934062957764,0.220703125,18.52828073501587,11,121,132,False,97.75719543298085
mkar_smat_d3_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,3,3,content,plane,oracle,8000,0.2722759544849396,0.3056640625,27.376301527023315,11,121,132,False,97.74982145428658
mkar_smat_d3_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,3,3,content,plane,oracle,10000,0.26327067613601685,0.3310546875,32.008878231048584,11,121,132,False,97.74400479793549
mkar_smat_d3_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,3,3,content,plane,oracle,12000,0.2646023631095886,0.35498046875,32.85412573814392,11,121,132,False,97.73247096935908
mkar_smat_d3_k3_plane_learned_fixeddir_w2_T1024_s0_sc3_id_fair2,smat,3,3,content,plane,learned,2000,0.19850239157676697,0.4580078125,17.54750895500183,11,121,132,False,96.826012134552
mkar_smat_d3_k3_plane_learned_fixeddir_w2_T1024_s0_sc3_id_fair2,smat,3,3,content,plane,learned,4000,0.1743396520614624,0.5546875,20.760444164276123,11,121,132,False,96.77663064002991
mkar_smat_d3_k3_plane_learned_fixeddir_w2_T1024_s0_sc3_id_fair2,smat,3,3,content,plane,learned,6000,0.12245884537696838,0.68701171875,27.793464422225952,11,121,132,False,96.78340009848277
mkar_smat_d3_k3_plane_learned_fixeddir_w2_T1024_s0_sc3_id_fair2,smat,3,3,content,plane,learned,8000,0.07675846666097641,0.7919921875,38.68588161468506,11,121,132,False,96.80210846662521
mkar_smat_d3_k3_plane_learned_fixeddir_w2_T1024_s0_sc3_id_fair2,smat,3,3,content,plane,learned,10000,0.04789568856358528,0.85595703125,49.64001226425171,11,121,132,False,96.81248092651367
mkar_smat_d3_k3_plane_learned_fixeddir_w2_T1024_s0_sc3_id_fair2,smat,3,3,content,plane,learned,12000,0.04539648815989494,0.89208984375,57.098013401031494,11,121,132,False,96.80526091655095
mkar_smat_d4_k3_plane_learned_mlpdir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,2000,0.5316320657730103,0.0,3.4609583914279938,5,125,155,True,114.69849455356598
mkar_smat_d4_k3_plane_learned_mlpdir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,4000,0.5232415199279785,0.0,4.324832439422607,5,125,155,True,114.63264745473862
mkar_smat_d4_k3_plane_learned_mlpdir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,6000,0.5022110939025879,0.00830078125,4.606704413890839,5,125,155,True,114.59662278493245
mkar_smat_d4_k3_plane_learned_mlpdir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,8000,0.36082619428634644,0.15673828125,8.777068972587585,5,125,155,True,114.56550833582878
mkar_smat_d4_k3_plane_learned_mlpdir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,10000,0.2958354353904724,0.2275390625,14.224241018295288,5,125,155,True,114.5694479227066
mkar_smat_d4_k3_plane_learned_mlpdir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,12000,0.26886165142059326,0.22412109375,18.62787103652954,5,125,155,True,114.56859521071117
