run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_smat_d3_k1_point_oracle_T1024_s2_sc3_id_fair2,smat,3,1,content,point,oracle,2000,0.00038208247860893607,1.0,67.58961391448975,11,121,132,True,24.246057152748108
mkar_smat_d3_k1_point_oracle_T1024_s2_sc3_id_fair2,smat,3,1,content,point,oracle,4000,8.747330866754055e-05,1.0,90.14927101135254,11,121,132,True,24.125042855739594
mkar_smat_d3_k1_point_oracle_T1024_s2_sc3_id_fair2,smat,3,1,content,point,oracle,6000,2.8667767765000463e-05,1.0,111.9210958480835,11,121,132,True,24.05865176518758
mkar_smat_d3_k1_point_oracle_T1024_s2_sc3_id_fair2,smat,3,1,content,point,oracle,8000,9.449060598853976e-06,1.0,135.92769050598145,11,121,132,True,24.0967518389225
mkar_smat_d3_k1_point_oracle_T1024_s2_sc3_id_fair2,smat,3,1,content,point,oracle,10000,3.1298864087148104e-06,1.0,163.10944366455078,11,121,132,True,24.096526741981506
mkar_smat_d3_k1_point_oracle_T1024_s2_sc3_id_fair2,smat,3,1,content,point,oracle,12000,1.0671240033843787e-06,1.0,192.93911361694336,11,121,132,True,24.072668373584747
mkar_smat_d3_k2_point_oracle_T1024_s2_sc3_id_fair2,smat,3,2,content,point,oracle,2000,0.361139714717865,0.0,6.836149632930756,11,121,132,True,24.288490533828735
mkar_smat_d3_k2_point_oracle_T1024_s2_sc3_id_fair2,smat,3,2,content,point,oracle,4000,0.3602702021598816,0.0,7.037121772766113,11,121,132,True,24.15791565179825
mkar_smat_d3_k2_point_oracle_T1024_s2_sc3_id_fair2,smat,3,2,content,point,oracle,6000,0.36101895570755005,0.0,7.061870455741882,11,121,132,True,24.13289149602254
mkar_smat_d3_k2_point_oracle_T1024_s2_sc3_id_fair2,smat,3,2,content,point,oracle,8000,0.35966557264328003,0.0,7.053417146205902,11,121,132,True,24.12505751848221
mkar_smat_d3_k2_point_oracle_T1024_s2_sc3_id_fair2,smat,3,2,content,point,oracle,10000,0.3603978753089905,0.001953125,7.162910342216492,11,121,132,True,24.09933249950409
mkar_smat_d3_k2_point_oracle_T1024_s2_sc3_id_fair2,smat,3,2,content,point,oracle,12000,0.36108195781707764,0.00341796875,7.3102880120277405,11,121,132,True,24.07055761416753
mkar_smat_d3_k3_point_oracle_T1024_s2_sc3_id_fair2,smat,3,3,content,point,oracle,2000,0.5265277028083801,0.0,4.586808025836945,11,121,132,False,24.30926740169525
mkar_smat_d3_k3_point_oracle_T1024_s2_sc3_id_fair2,smat,3,3,content,point,oracle,4000,0.5247482657432556,0.0,4.748095154762268,11,121,132,False,24.235540688037872
mkar_smat_d3_k3_point_oracle_T1024_s2_sc3_id_fair2,smat,3,3,content,point,oracle,6000,0.524939775466919,0.0,4.784124910831451,11,121,132,False,24.181140700976055
mkar_smat_d3_k3_point_oracle_T1024_s2_sc3_id_fair2,smat,3,3,content,point,oracle,8000,0.5248414874076843,0.0,4.764013648033142,11,121,132,False,24.178608536720276
mkar_smat_d3_k3_point_oracle_T1024_s2_sc3_id_fair2,smat,3,3,content,point,oracle,10000,0.5242207050323486,0.0,4.836064398288727,11,121,132,False,24.17615168094635
mkar_smat_d3_k3_point_oracle_T1024_s2_sc3_id_fair2,smat,3,3,content,point,oracle,12000,0.5248434543609619,0.0,4.996075689792633,11,121,132,False,24.149700820446014
mkar_smat_d4_k1_point_oracle_T1024_s2_sc3_id_fair2,smat,4,1,content,point,oracle,2000,0.0003938197041861713,1.0,68.0508508682251,5,125,155,True,24.126586318016052
mkar_smat_d4_k1_point_oracle_T1024_s2_sc3_id_fair2,smat,4,1,content,point,oracle,4000,8.913532656151801e-05,1.0,90.71041870117188,5,125,155,True,24.105491042137146
mkar_smat_d4_k1_point_oracle_T1024_s2_sc3_id_fair2,smat,4,1,content,point,oracle,6000,2.8090305931982584e-05,1.0,112.32496929168701,5,125,155,True,24.067946672439575
mkar_smat_d4_k1_point_oracle_T1024_s2_sc3_id_fair2,smat,4,1,content,point,oracle,8000,9.973772648663726e-06,1.0,136.2913818359375,5,125,155,True,24.03135272860527
mkar_smat_d4_k1_point_oracle_T1024_s2_sc3_id_fair2,smat,4,1,content,point,oracle,10000,3.1784425118530635e-06,1.0,163.31398582458496,5,125,155,True,24.00953221321106
mkar_smat_d4_k1_point_oracle_T1024_s2_sc3_id_fair2,smat,4,1,content,point,oracle,12000,1.1099189123342512e-06,1.0,192.8659782409668,5,125,155,True,23.995032409826916
mkar_smat_d4_k2_point_oracle_T1024_s2_sc3_id_fair2,smat,4,2,content,point,oracle,2000,0.360419362783432,0.0,6.816874325275421,5,125,155,True,24.358816027641296
mkar_smat_d4_k2_point_oracle_T1024_s2_sc3_id_fair2,smat,4,2,content,point,oracle,4000,0.3603602945804596,0.00048828125,7.0944682359695435,5,125,155,True,24.14741212129593
mkar_smat_d4_k2_point_oracle_T1024_s2_sc3_id_fair2,smat,4,2,content,point,oracle,6000,0.36030638217926025,0.00048828125,7.12027382850647,5,125,155,True,24.067120790481567
mkar_smat_d4_k2_point_oracle_T1024_s2_sc3_id_fair2,smat,4,2,content,point,oracle,8000,0.3585500717163086,0.0029296875,7.249802827835083,5,125,155,True,24.016718417406082
