run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_smat_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,1,content,plane,oracle,2000,0.000475769629701972,1.0,66.71075534820557,23,23,23,True,22.121895790100098
mkar_smat_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,1,content,plane,oracle,4000,0.00010320570436306298,1.0,88.60504245758057,23,23,23,True,21.835704684257507
mkar_smat_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,1,content,plane,oracle,6000,3.270446177339181e-05,1.0,111.52465724945068,23,23,23,True,21.741526047388714
mkar_smat_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,1,content,plane,oracle,8000,1.3436459994409233e-05,1.0,131.58717918395996,23,23,23,True,21.695763111114502
mkar_smat_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,1,content,plane,oracle,10000,8.290803634736221e-06,1.0,143.88616561889648,23,23,23,True,21.66644151210785
mkar_smat_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,1,content,plane,oracle,12000,3.6407532206794713e-06,1.0,163.72685050964355,23,23,23,True,21.64932252963384
mkar_smat_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,2,content,plane,oracle,2000,0.3558744192123413,0.00341796875,6.772165894508362,23,23,23,False,21.816985845565796
mkar_smat_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,2,content,plane,oracle,4000,0.2964487671852112,0.10595703125,12.27996015548706,23,23,23,False,21.693739116191864
mkar_smat_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,2,content,plane,oracle,6000,0.30358609557151794,0.1376953125,19.824055194854736,23,23,23,False,21.651829719543457
mkar_smat_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,2,content,plane,oracle,8000,0.2898573875427246,0.1591796875,21.795642137527466,23,23,23,False,21.631114274263382
mkar_smat_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,2,content,plane,oracle,10000,0.3044079542160034,0.15283203125,20.06831955909729,23,23,23,False,21.61859784126282
mkar_smat_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,2,content,plane,oracle,12000,0.2869648337364197,0.15966796875,20.83104395866394,23,23,23,False,21.610213915507
mkar_smat_d2_k3_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,3,content,plane,oracle,2000,0.5285459160804749,0.0,4.590175807476044,23,23,23,False,21.80911898612976
mkar_smat_d2_k3_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,3,content,plane,oracle,4000,0.5035148859024048,0.0009765625,5.299966752529144,23,23,23,False,21.68772941827774
mkar_smat_d2_k3_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,3,content,plane,oracle,6000,0.48735684156417847,0.00732421875,8.631645441055298,23,23,23,False,21.648043195406597
mkar_smat_d2_k3_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,3,content,plane,oracle,8000,0.47123536467552185,0.013671875,11.115230321884155,23,23,23,False,21.62699955701828
mkar_smat_d2_k3_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,3,content,plane,oracle,10000,0.45506370067596436,0.01611328125,11.197797060012817,23,23,23,False,21.61484274864197
mkar_smat_d2_k3_plane_oracle_T1024_s2_sc3_id_fair2,smat,2,3,content,plane,oracle,12000,0.4529910385608673,0.013671875,11.386229395866394,23,23,23,False,21.606451094150543
mkar_smat_d3_k1_plane_oracle_T1024_s2_sc3_id_fair2,smat,3,1,content,plane,oracle,2000,0.0007414253777824342,1.0,69.74863147735596,11,121,132,True,32.28256022930145
mkar_smat_d3_k1_plane_oracle_T1024_s2_sc3_id_fair2,smat,3,1,content,plane,oracle,4000,0.00011428253492340446,1.0,91.11875915527344,11,121,132,True,32.15860450267792
mkar_smat_d3_k1_plane_oracle_T1024_s2_sc3_id_fair2,smat,3,1,content,plane,oracle,6000,4.53975226264447e-05,1.0,109.22373962402344,11,121,132,True,32.11184616883596
mkar_smat_d3_k1_plane_oracle_T1024_s2_sc3_id_fair2,smat,3,1,content,plane,oracle,8000,3.538450982887298e-05,1.0,126.4243974685669,11,121,132,True,32.08796265721321
mkar_smat_d3_k1_plane_oracle_T1024_s2_sc3_id_fair2,smat,3,1,content,plane,oracle,10000,1.2910458281112369e-05,1.0,138.48962020874023,11,121,132,True,32.076021337509154
mkar_smat_d3_k1_plane_oracle_T1024_s2_sc3_id_fair2,smat,3,1,content,plane,oracle,12000,9.44642124522943e-06,1.0,144.0667953491211,11,121,132,True,32.06725404659907
mkar_smat_d3_k2_plane_oracle_T1024_s2_sc3_id_fair2,smat,3,2,content,plane,oracle,2000,0.0019104559905827045,0.99560546875,68.01571369171143,11,121,132,True,32.33699572086334
