run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,2000,0.3826010227203369,0.0,4.416307151317596,23,23,23,True,14.226626873016357
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,4000,0.3755188584327698,0.0,4.473896920681,23,23,23,True,13.128055036067963
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,6000,0.3777535557746887,0.0,4.4127436876297,23,23,23,True,13.149827082951864
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,8000,0.37820515036582947,0.0,4.40105664730072,23,23,23,True,12.889030545949936
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,10000,0.37643659114837646,0.0,4.38365250825882,23,23,23,True,13.23992145061493
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,12000,0.37814319133758545,0.0,4.430448353290558,23,23,23,True,13.630352358023325
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,14000,0.37673914432525635,0.0,4.413153886795044,23,23,23,True,14.05390751361847
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,16000,0.37690943479537964,0.0,4.389852344989777,23,23,23,True,14.060158655047417
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,2000,0.3826155662536621,0.0,4.4157387018203735,0,1,1,True,32.774317502975464
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,4000,0.37550586462020874,0.0,4.474338531494141,0,1,1,True,32.36792582273483
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,6000,0.3777557611465454,0.0,4.412574648857117,0,1,1,True,32.26351845264435
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,8000,0.3782009780406952,0.0,4.403099298477173,0,1,1,True,29.103519707918167
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,10000,0.3764348030090332,0.0,4.3810248374938965,0,1,1,True,27.0605397939682
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,12000,0.3781425356864929,0.0,4.428212404251099,0,1,1,True,27.56863393386205
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,14000,0.3767348527908325,0.0,4.412107229232788,0,1,1,True,26.039092183113098
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,16000,0.37689441442489624,0.0,4.392414748668671,0,1,1,True,24.892423078417778
