run,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_d2_k1_plane_oracle_T1024_s0_id,2,1,content,plane,oracle,1000,0.002439334522932768,1.0,60.091190338134766,23,23,23,True,43.968910694122314
mkar_d2_k1_plane_oracle_T1024_s0_id,2,1,content,plane,oracle,2000,0.0007343633333221078,1.0,75.05646228790283,23,23,23,True,43.349578619003296
mkar_d2_k1_plane_oracle_T1024_s0_id,2,1,content,plane,oracle,3000,0.0001498458586866036,1.0,87.52845573425293,23,23,23,True,43.15399273236593
mkar_d2_k1_plane_oracle_T1024_s0_id,2,1,content,plane,oracle,4000,0.00019735147361643612,0.99609375,96.29975032806396,23,23,23,True,43.54889327287674
mkar_d2_k2_plane_oracle_T1024_s0_id,2,2,content,plane,oracle,1000,0.3617023825645447,0.0,5.422215580940247,23,23,23,False,44.893171310424805
mkar_d2_k2_plane_oracle_T1024_s0_id,2,2,content,plane,oracle,2000,0.3631802499294281,0.0,5.560683846473694,23,23,23,False,45.11412692070007
mkar_d2_k2_plane_oracle_T1024_s0_id,2,2,content,plane,oracle,3000,0.3666236698627472,0.0,5.564358711242676,23,23,23,False,44.824146350224815
mkar_d2_k2_plane_oracle_T1024_s0_id,2,2,content,plane,oracle,4000,0.3582894206047058,0.0,5.64350813627243,23,23,23,False,44.75775897502899
mkar_d2_k3_plane_oracle_T1024_s0_id,2,3,content,plane,oracle,1000,0.5231289267539978,0.0,3.104940712451935,23,23,23,False,44.67152976989746
mkar_d2_k3_plane_oracle_T1024_s0_id,2,3,content,plane,oracle,2000,0.5247830748558044,0.0,3.297693371772766,23,23,23,False,44.70438027381897
mkar_d2_k3_plane_oracle_T1024_s0_id,2,3,content,plane,oracle,3000,0.5286382436752319,0.0,3.3620924949645996,23,23,23,False,44.75515699386597
mkar_d2_k3_plane_oracle_T1024_s0_id,2,3,content,plane,oracle,4000,0.5288439393043518,0.0,3.4718885123729706,23,23,23,False,44.772514283657074
mkar_d3_k1_plane_oracle_T1024_s0_id,3,1,content,plane,oracle,1000,0.0010267829056829214,0.984375,59.12930965423584,11,121,132,True,60.0023877620697
mkar_d3_k1_plane_oracle_T1024_s0_id,3,1,content,plane,oracle,2000,0.00032981569529511034,1.0,74.30970001220703,11,121,132,True,59.110329270362854
mkar_d3_k1_plane_oracle_T1024_s0_id,3,1,content,plane,oracle,3000,0.0002075584779959172,1.0,85.22167301177979,11,121,132,True,58.008652210235596
mkar_d3_k1_plane_oracle_T1024_s0_id,3,1,content,plane,oracle,4000,0.00046087466762401164,1.0,91.01485347747803,11,121,132,True,57.11417180299759
mkar_d3_k2_plane_oracle_T1024_s0_id,3,2,content,plane,oracle,1000,0.001109980046749115,0.994140625,54.18304252624512,11,121,132,True,60.87358498573303
mkar_d3_k2_plane_oracle_T1024_s0_id,3,2,content,plane,oracle,2000,0.003101871581748128,0.9921875,69.79551601409912,11,121,132,True,60.945489287376404
mkar_d3_k2_plane_oracle_T1024_s0_id,3,2,content,plane,oracle,3000,0.005200863815844059,0.986328125,79.51138877868652,11,121,132,True,61.39480455716451
mkar_d3_k2_plane_oracle_T1024_s0_id,3,2,content,plane,oracle,4000,0.0002396289783064276,0.978515625,87.9403247833252,11,121,132,True,61.45066291093826
mkar_smat_d3_k3_plane_oracle_T1024_s0_id,smat,3,3,content,plane,oracle,1000,0.5056697130203247,0.0,3.5798482596874237,11,121,132,False,61.51008224487305
mkar_smat_d3_k3_plane_oracle_T1024_s0_id,smat,3,3,content,plane,oracle,2000,0.5059074759483337,0.0078125,4.11513477563858,11,121,132,False,61.27139055728912
mkar_smat_d3_k3_plane_oracle_T1024_s0_id,smat,3,3,content,plane,oracle,3000,0.48365283012390137,0.013671875,4.395388722419739,11,121,132,False,61.23958532015482
mkar_smat_d3_k3_plane_oracle_T1024_s0_id,smat,3,3,content,plane,oracle,4000,0.5191408395767212,0.021484375,4.5854411125183105,11,121,132,False,60.52046102285385
mkar_smat_d4_k1_plane_oracle_T1024_s0_id,smat,4,1,content,plane,oracle,1000,0.002459838055074215,0.978515625,50.92086887359619,5,125,155,True,61.7160210609436
mkar_smat_d4_k1_plane_oracle_T1024_s0_id,smat,4,1,content,plane,oracle,2000,0.0008887357544153929,0.994140625,64.66207265853882,5,125,155,True,60.8195424079895
mkar_smat_d4_k1_plane_oracle_T1024_s0_id,smat,4,1,content,plane,oracle,3000,0.0017096142983064055,0.978515625,68.36780738830566,5,125,155,True,61.08143242200216
mkar_smat_d4_k1_plane_oracle_T1024_s0_id,smat,4,1,content,plane,oracle,4000,0.008254947140812874,0.99609375,70.91911792755127,5,125,155,True,61.448842883110046
mkar_smat_d4_k2_plane_oracle_T1024_s0_id,smat,4,2,content,plane,oracle,1000,0.006449678912758827,0.96875,49.64421272277832,5,125,155,True,62.69355797767639
mkar_smat_d4_k2_plane_oracle_T1024_s0_id,smat,4,2,content,plane,oracle,2000,0.041784677654504776,0.982421875,65.27969741821289,5,125,155,True,62.415600299835205
mkar_smat_d4_k2_plane_oracle_T1024_s0_id,smat,4,2,content,plane,oracle,3000,0.032004743814468384,0.966796875,73.49077415466309,5,125,155,True,62.31736373901367
mkar_smat_d4_k2_plane_oracle_T1024_s0_id,smat,4,2,content,plane,oracle,4000,0.013209709897637367,0.978515625,75.00772476196289,5,125,155,True,62.390196561813354
mkar_smat_d4_k3_plane_oracle_T1024_s0_id,smat,4,3,content,plane,oracle,1000,0.01084192842245102,0.98046875,45.959805965423584,5,125,155,True,62.977946043014526
mkar_smat_d4_k3_plane_oracle_T1024_s0_id,smat,4,3,content,plane,oracle,2000,0.004533880390226841,0.97265625,61.99577808380127,5,125,155,True,61.87271463871002
mkar_smat_d4_k3_plane_oracle_T1024_s0_id,smat,4,3,content,plane,oracle,3000,0.0019773663952946663,0.984375,69.88962268829346,5,125,155,True,61.65826082229614
mkar_smat_d4_k3_plane_oracle_T1024_s0_id,smat,4,3,content,plane,oracle,4000,0.016153443604707718,0.986328125,77.141188621521,5,125,155,True,61.16451197862625
mkar_smat_d2_k1_plane_oracle_T1024_s2_id,smat,2,1,content,plane,oracle,1000,0.0006888968637213111,1.0,58.81840515136719,23,23,23,True,18.788034915924072
mkar_smat_d2_k1_plane_oracle_T1024_s1_id,smat,2,1,content,plane,oracle,1000,0.0011405700352042913,0.99609375,59.61312770843506,23,23,23,True,19.43258810043335
mkar_smat_d2_k1_plane_oracle_T1024_s2_id,smat,2,1,content,plane,oracle,2000,0.00024033828231040388,1.0,76.99706554412842,23,23,23,True,16.442880153656006
mkar_smat_d2_k1_plane_oracle_T1024_s1_id,smat,2,1,content,plane,oracle,2000,0.0005682727205567062,1.0,76.98224353790283,23,23,23,True,16.504111170768738
mkar_smat_d2_k1_plane_oracle_T1024_s1_id,smat,2,1,content,plane,oracle,3000,0.0001203373831231147,1.0,85.87073135375977,23,23,23,True,13.270541826883951
mkar_smat_d2_k1_plane_oracle_T1024_s2_id,smat,2,1,content,plane,oracle,3000,0.00013250870688352734,1.0,84.16955757141113,23,23,23,True,15.338517983754477
mkar_smat_d2_k1_plane_oracle_T1024_s1_id,smat,2,1,content,plane,oracle,4000,0.0001169539027614519,1.0,97.46764278411865,23,23,23,True,12.230894029140472
mkar_smat_d2_k1_plane_oracle_T1024_s2_id,smat,2,1,content,plane,oracle,4000,0.00010283055598847568,1.0,96.54235172271729,23,23,23,True,13.203161358833313
mkar_smat_d2_k2_plane_oracle_T1024_s2_id,smat,2,2,content,plane,oracle,1000,0.3682389259338379,0.0,5.391598403453827,23,23,23,False,7.0795063972473145
mkar_smat_d2_k2_plane_oracle_T1024_s1_id,smat,2,2,content,plane,oracle,1000,0.36654919385910034,0.0,5.40107786655426,23,23,23,False,7.1133739948272705
mkar_smat_d2_k2_plane_oracle_T1024_s1_id,smat,2,2,content,plane,oracle,2000,0.3598847985267639,0.0,5.535358786582947,23,23,23,False,7.12379252910614
mkar_smat_d2_k2_plane_oracle_T1024_s2_id,smat,2,2,content,plane,oracle,2000,0.3634631633758545,0.0,5.537105083465576,23,23,23,False,7.347714066505432
mkar_smat_d2_k2_plane_oracle_T1024_s2_id,smat,2,2,content,plane,oracle,3000,0.3710958957672119,0.0,5.593302428722382,23,23,23,False,7.191955169041951
mkar_smat_d2_k2_plane_oracle_T1024_s1_id,smat,2,2,content,plane,oracle,3000,0.356625497341156,0.0,5.5381938219070435,23,23,23,False,7.210598945617676
mkar_smat_d2_k2_plane_oracle_T1024_s2_id,smat,2,2,content,plane,oracle,4000,0.3677322566509247,0.0,5.609655380249023,23,23,23,False,7.119521796703339
mkar_smat_d2_k2_plane_oracle_T1024_s1_id,smat,2,2,content,plane,oracle,4000,0.365999698638916,0.0,5.694654285907745,23,23,23,False,7.693803012371063
mkar_smat_d2_k3_plane_oracle_T1024_s2_id,smat,2,3,content,plane,oracle,1000,0.5428673028945923,0.0,3.034998834133148,23,23,23,False,7.120848178863525
mkar_smat_d2_k3_plane_oracle_T1024_s1_id,smat,2,3,content,plane,oracle,1000,0.529254138469696,0.0,3.0261688232421875,23,23,23,False,7.135578393936157
mkar_smat_d2_k3_plane_oracle_T1024_s2_id,smat,2,3,content,plane,oracle,2000,0.5294675827026367,0.0,3.2565410137176514,23,23,23,False,7.086534142494202
mkar_smat_d2_k3_plane_oracle_T1024_s1_id,smat,2,3,content,plane,oracle,2000,0.5314594507217407,0.0,3.270367532968521,23,23,23,False,7.309675335884094
mkar_smat_d2_k3_plane_oracle_T1024_s2_id,smat,2,3,content,plane,oracle,3000,0.5258007645606995,0.0,3.4238134920597076,23,23,23,False,7.011231899261475
mkar_smat_d2_k3_plane_oracle_T1024_s1_id,smat,2,3,content,plane,oracle,3000,0.5336008071899414,0.0,3.322434574365616,23,23,23,False,7.67369818687439
mkar_smat_d2_k3_plane_oracle_T1024_s2_id,smat,2,3,content,plane,oracle,4000,0.5255706310272217,0.0,3.427606463432312,23,23,23,False,6.974216997623444
mkar_smat_d2_k3_plane_oracle_T1024_s1_id,smat,2,3,content,plane,oracle,4000,0.5181152820587158,0.0,3.3994582295417786,23,23,23,False,7.502774119377136
mkar_smat_d3_k1_plane_oracle_T1024_s2_id,smat,3,1,content,plane,oracle,1000,0.039810895919799805,0.9921875,60.97555923461914,11,121,132,True,15.160729169845581
mkar_smat_d3_k1_plane_oracle_T1024_s1_id,smat,3,1,content,plane,oracle,1000,0.0010647198650985956,0.998046875,59.86816358566284,11,121,132,True,15.257018327713013
mkar_smat_d3_k1_plane_oracle_T1024_s2_id,smat,3,1,content,plane,oracle,2000,0.000384895276511088,0.998046875,74.90139102935791,11,121,132,True,14.815612435340881
mkar_smat_d3_k1_plane_oracle_T1024_s1_id,smat,3,1,content,plane,oracle,2000,0.0002817317144945264,1.0,73.61494064331055,11,121,132,True,14.927301406860352
mkar_smat_d3_k1_plane_oracle_T1024_s2_id,smat,3,1,content,plane,oracle,3000,0.001253835973329842,0.994140625,84.61366176605225,11,121,132,True,14.70753280321757
mkar_smat_d3_k1_plane_oracle_T1024_s1_id,smat,3,1,content,plane,oracle,3000,0.004357976373285055,0.998046875,78.13359451293945,11,121,132,True,14.848779519399008
mkar_smat_d3_k1_plane_oracle_T1024_s2_id,smat,3,1,content,plane,oracle,4000,0.0001243583537871018,1.0,91.49966716766357,11,121,132,True,14.678125619888306
mkar_smat_d3_k1_plane_oracle_T1024_s1_id,smat,3,1,content,plane,oracle,4000,0.00013389733794610947,1.0,89.85993099212646,11,121,132,True,14.822372615337372
mkar_smat_d3_k2_plane_oracle_T1024_s2_id,smat,3,2,content,plane,oracle,1000,0.007305062375962734,0.998046875,54.088438987731934,11,121,132,True,15.059897899627686
mkar_smat_d3_k2_plane_oracle_T1024_s1_id,smat,3,2,content,plane,oracle,1000,0.007552220486104488,0.9921875,53.187922954559326,11,121,132,True,15.11351203918457
mkar_smat_d3_k2_plane_oracle_T1024_s2_id,smat,3,2,content,plane,oracle,2000,0.005206940695643425,0.994140625,70.66085624694824,11,121,132,True,14.904071927070618
mkar_smat_d3_k2_plane_oracle_T1024_s1_id,smat,3,2,content,plane,oracle,2000,0.0006128865061327815,0.99609375,69.2901725769043,11,121,132,True,14.908867478370667
mkar_smat_d3_k2_plane_oracle_T1024_s2_id,smat,3,2,content,plane,oracle,3000,0.0014839766081422567,0.99609375,80.31693935394287,11,121,132,True,14.846604188283285
mkar_smat_d3_k2_plane_oracle_T1024_s1_id,smat,3,2,content,plane,oracle,3000,0.0002556022081989795,0.994140625,78.37264347076416,11,121,132,True,14.85214900970459
mkar_smat_d3_k2_plane_oracle_T1024_s2_id,smat,3,2,content,plane,oracle,4000,0.010089161805808544,0.9921875,87.93003940582275,11,121,132,True,14.831176400184631
mkar_smat_d3_k2_plane_oracle_T1024_s1_id,smat,3,2,content,plane,oracle,4000,0.0012193586444482207,0.99609375,88.29718494415283,11,121,132,True,14.836685180664062
mkar_smat_d3_k3_plane_oracle_T1024_s2_id,smat,3,3,content,plane,oracle,1000,0.5263075232505798,0.0,3.463610589504242,11,121,132,False,15.041163444519043
mkar_smat_d3_k3_plane_oracle_T1024_s1_id,smat,3,3,content,plane,oracle,1000,0.5123992562294006,0.0,3.4340875148773193,11,121,132,False,15.072806358337402
mkar_smat_d3_k3_plane_oracle_T1024_s2_id,smat,3,3,content,plane,oracle,2000,0.5126255750656128,0.00390625,4.015268415212631,11,121,132,False,14.873621225357056
mkar_smat_d3_k3_plane_oracle_T1024_s1_id,smat,3,3,content,plane,oracle,2000,0.5049325227737427,0.00390625,4.129681766033173,11,121,132,False,14.883830070495605
mkar_smat_d3_k3_plane_oracle_T1024_s2_id,smat,3,3,content,plane,oracle,3000,0.5157026052474976,0.005859375,4.44389671087265,11,121,132,False,14.822417497634888
mkar_smat_d3_k3_plane_oracle_T1024_s1_id,smat,3,3,content,plane,oracle,3000,0.5088702440261841,0.009765625,4.47270131111145,11,121,132,False,14.82982587814331
mkar_smat_d3_k3_plane_oracle_T1024_s2_id,smat,3,3,content,plane,oracle,4000,0.4988611340522766,0.017578125,4.528113424777985,11,121,132,False,14.80273723602295
mkar_smat_d3_k3_plane_oracle_T1024_s1_id,smat,3,3,content,plane,oracle,4000,0.515975832939148,0.013671875,4.62872701883316,11,121,132,False,14.829285264015198
mkar_smat_d4_k1_plane_oracle_T1024_s1_id,smat,4,1,content,plane,oracle,1000,0.004660562612116337,0.986328125,53.13054418563843,5,125,155,True,15.477155685424805
