run,d,k,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,500,0.36317315697669983,0.0,4.8706629276275635,23,23,23,False,25.366841316223145
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,1000,0.362761914730072,0.0,5.366067588329315,23,23,23,False,24.700992345809937
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,1500,0.3625339865684509,0.0,5.275596916675568,23,23,23,False,23.991592566172283
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,2000,0.35721978545188904,0.0,5.286574184894562,23,23,23,False,24.336713075637817
mkar_d2_k2_plane_oracle_T1024_s0_nolr,2,2,plane,oracle,500,0.5614227652549744,0.0,2.0749496817588806,23,23,23,False,20.037492752075195
mkar_d2_k2_plane_oracle_T1024_s0_nolr,2,2,plane,oracle,1000,0.5629290342330933,0.0,2.000824749469757,23,23,23,False,15.30386209487915
mkar_d2_k2_plane_oracle_T1024_s0_nolr,2,2,plane,oracle,1500,0.5650577545166016,0.0,1.988768845796585,23,23,23,False,13.769875685373941
mkar_d2_k2_plane_oracle_T1024_s0_nolr,2,2,plane,oracle,2000,0.5612460374832153,0.0,2.0337345600128174,23,23,23,False,12.924933552742004
mkar_d2_k2_plane_oracle_T1024_s0_permidx,2,2,plane,oracle,500,0.3820410668849945,0.0,4.774685084819794,23,23,23,False,33.61229848861694
mkar_d2_k2_plane_oracle_T1024_s0_permidx,2,2,plane,oracle,1000,0.3679661750793457,0.0,5.1426936984062195,23,23,23,False,29.52536177635193
mkar_d2_k2_plane_oracle_T1024_s0_permidx,2,2,plane,oracle,1500,0.3653997480869293,0.0,5.290252149105072,23,23,23,False,30.680752277374268
mkar_d2_k2_plane_oracle_T1024_s0_permidx,2,2,plane,oracle,2000,0.3638249635696411,0.0,5.349640846252441,23,23,23,False,30.92462909221649
mkar_d2_k2_plane_oracle_T1024_s0_shuftgt,2,2,plane,oracle,500,0.564061164855957,0.0,2.072359621524811,23,23,23,False,34.12047338485718
mkar_d2_k2_plane_oracle_T1024_s0_shuftgt,2,2,plane,oracle,1000,0.5616201758384705,0.0,2.066742330789566,23,23,23,False,34.011656045913696
mkar_d2_k2_plane_oracle_T1024_s0_shuftgt,2,2,plane,oracle,1500,0.5637984275817871,0.0,2.0045520961284637,23,23,23,False,32.61126391092936
mkar_d2_k2_plane_oracle_T1024_s0_shuftgt,2,2,plane,oracle,2000,0.5625579357147217,0.0,2.033886343240738,23,23,23,False,32.885321855545044
mkar_d3_k2_plane_oracle_T1024_s0,3,2,plane,oracle,500,0.015464583411812782,0.978515625,36.430609703063965,11,121,132,True,45.594003200531006
mkar_d3_k2_plane_oracle_T1024_s0,3,2,plane,oracle,1000,0.005306717939674854,0.984375,48.77351951599121,11,121,132,True,45.41294264793396
mkar_d3_k2_plane_oracle_T1024_s0,3,2,plane,oracle,1500,0.013906212523579597,0.984375,55.403099060058594,11,121,132,True,45.21991570790609
mkar_d3_k2_plane_oracle_T1024_s0,3,2,plane,oracle,2000,0.002892098855227232,0.97265625,65.97281742095947,11,121,132,True,44.549352288246155
mkar_d3_k2_plane_oracle_T1024_s0_nolr,3,2,plane,oracle,500,0.561629056930542,0.0,2.0696243941783905,11,121,132,True,20.895179748535156
mkar_d3_k2_plane_oracle_T1024_s0_nolr,3,2,plane,oracle,1000,0.5633335113525391,0.0,1.9743074625730515,11,121,132,True,19.893475770950317
mkar_d3_k2_plane_oracle_T1024_s0_nolr,3,2,plane,oracle,1500,0.5654891133308411,0.0,2.0037132650613785,11,121,132,True,20.20157527923584
mkar_d3_k2_plane_oracle_T1024_s0_nolr,3,2,plane,oracle,2000,0.5612043142318726,0.0,2.031218945980072,11,121,132,True,20.354526162147522
