run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_smat_d3_k2_plane_oracle_T1024_s0_lrn_cv4,smat,3,2,content,plane,oracle,1000,0.5659996271133423,0.0,1.9773578345775604,11,121,132,True,83.92064070701599
mkar_smat_d3_k2_plane_oracle_T1024_s0_lrn_cv4,smat,3,2,content,plane,oracle,2000,0.5635825395584106,0.0,1.9881592988967896,11,121,132,True,84.2199182510376
mkar_smat_d3_k2_plane_oracle_T1024_s0_lrn_cv4,smat,3,2,content,plane,oracle,3000,0.5626922845840454,0.0,1.983265534043312,11,121,132,True,84.36832777659099
mkar_smat_d3_k2_plane_oracle_T1024_s0_lrn_cv4,smat,3,2,content,plane,oracle,4000,0.5623182654380798,0.0,1.992730975151062,11,121,132,True,84.44092339277267
mkar_smat_d3_k2_plane_oracle_T1024_s0_lrn_cv4_ag1,smat,3,2,content,plane,oracle,1000,17.312549591064453,0.0,2.040536642074585,11,121,132,True,86.38810586929321
mkar_smat_d3_k2_plane_oracle_T1024_s0_lrn_cv4_ag1,smat,3,2,content,plane,oracle,2000,11.200545310974121,0.04296875,5.680728495121002,11,121,132,True,86.21310603618622
mkar_smat_d3_k2_plane_oracle_T1024_s0_lrn_cv4_ag1,smat,3,2,content,plane,oracle,3000,6.920612812042236,0.1796875,9.149629473686218,11,121,132,True,86.1928521792094
mkar_smat_d3_k2_plane_oracle_T1024_s0_lrn_cv4_ag1,smat,3,2,content,plane,oracle,4000,7.850441932678223,0.193359375,11.12413215637207,11,121,132,True,86.14653807878494
mkar_smat_d3_k2_plane_oracle_T1024_s0_cv4_ag1,smat,3,2,content,plane,oracle,1000,19.46746253967285,0.0,1.982164055109024,11,121,132,True,86.06374883651733
mkar_smat_d3_k2_plane_oracle_T1024_s0_cv4_ag1,smat,3,2,content,plane,oracle,2000,16.87089729309082,0.0,2.0088069140911102,11,121,132,True,85.8697270154953
mkar_smat_d3_k2_plane_oracle_T1024_s0_cv4_ag1,smat,3,2,content,plane,oracle,3000,11.679800987243652,0.068359375,5.98951256275177,11,121,132,True,85.85169855753581
mkar_smat_d3_k2_plane_oracle_T1024_s0_cv4_ag1,smat,3,2,content,plane,oracle,4000,11.676643371582031,0.052734375,7.933231174945831,11,121,132,True,85.83999007940292
mkar_smat_d3_k2_plane_oracle_T1024_s0_lrn,smat,3,2,content,plane,oracle,1000,0.4042437672615051,0.134765625,6.1288769245147705,11,121,132,True,84.40747475624084
mkar_smat_d3_k2_plane_oracle_T1024_s0_lrn,smat,3,2,content,plane,oracle,2000,0.3464539647102356,0.421875,16.87182366847992,11,121,132,True,84.2359721660614
mkar_smat_d3_k2_plane_oracle_T1024_s0_lrn,smat,3,2,content,plane,oracle,3000,0.2729875445365906,0.306640625,15.42199957370758,11,121,132,True,84.18675398826599
mkar_smat_d3_k2_plane_oracle_T1024_s0_lrn,smat,3,2,content,plane,oracle,4000,0.43877723813056946,0.439453125,19.820186138153076,11,121,132,True,84.16833293437958
mkar_smat_d4_k3_plane_oracle_T1024_s0_lrn_cv4,smat,4,3,content,plane,oracle,1000,0.659997820854187,0.0,1.0303557068109512,5,125,155,True,90.35089421272278
mkar_smat_d4_k3_plane_oracle_T1024_s0_lrn_cv4,smat,4,3,content,plane,oracle,2000,0.6588997840881348,0.0,1.0307513326406479,5,125,155,True,90.17145133018494
mkar_smat_d4_k3_plane_oracle_T1024_s0_lrn_cv4,smat,4,3,content,plane,oracle,3000,0.6627086400985718,0.0,1.0209928900003433,5,125,155,True,90.1048485438029
mkar_smat_d4_k3_plane_oracle_T1024_s0_lrn_cv4,smat,4,3,content,plane,oracle,4000,0.6626279354095459,0.0,1.026744931936264,5,125,155,True,90.07550305128098
mkar_smat_d4_k3_plane_oracle_T1024_s0_lrn_cv4_ag1,smat,4,3,content,plane,oracle,1000,12.319974899291992,0.123046875,3.634188562631607,5,125,155,True,91.8493881225586
mkar_smat_d4_k3_plane_oracle_T1024_s0_lrn_cv4_ag1,smat,4,3,content,plane,oracle,2000,12.436430931091309,0.150390625,7.032529950141907,5,125,155,True,91.64295554161072
mkar_smat_d4_k3_plane_oracle_T1024_s0_lrn_cv4_ag1,smat,4,3,content,plane,oracle,3000,10.955174446105957,0.251953125,9.533624529838562,5,125,155,True,91.53060054779053
mkar_smat_d4_k3_plane_oracle_T1024_s0_lrn_cv4_ag1,smat,4,3,content,plane,oracle,4000,11.772642135620117,0.306640625,11.62639594078064,5,125,155,True,91.4275581240654
mkar_smat_d4_k3_plane_oracle_T1024_s0_cv4_ag1,smat,4,3,content,plane,oracle,1000,18.707069396972656,0.0,1.0260999351739883,5,125,155,True,91.40724897384644
mkar_smat_d4_k3_plane_oracle_T1024_s0_cv4_ag1,smat,4,3,content,plane,oracle,2000,12.303048133850098,0.10546875,4.083257794380188,5,125,155,True,91.27151679992676
mkar_smat_d4_k3_plane_oracle_T1024_s0_cv4_ag1,smat,4,3,content,plane,oracle,3000,9.530585289001465,0.1875,7.857490062713623,5,125,155,True,91.30037482579549
mkar_smat_d4_k3_plane_oracle_T1024_s0_cv4_ag1,smat,4,3,content,plane,oracle,4000,9.124933242797852,0.29296875,10.54304838180542,5,125,155,True,91.30654633045197
mkar_smat_d4_k3_plane_oracle_T1024_s0_lrn,smat,4,3,content,plane,oracle,1000,0.3216189742088318,0.4296875,11.806069374084473,5,125,155,True,89.81431150436401
mkar_smat_d4_k3_plane_oracle_T1024_s0_lrn,smat,4,3,content,plane,oracle,2000,0.17933011054992676,0.57421875,20.96845269203186,5,125,155,True,89.66994380950928
mkar_smat_d4_k3_plane_oracle_T1024_s0_lrn,smat,4,3,content,plane,oracle,3000,0.19498616456985474,0.537109375,17.467350959777832,5,125,155,True,89.61778521537781
mkar_smat_d4_k3_plane_oracle_T1024_s0_lrn,smat,4,3,content,plane,oracle,4000,0.3035915195941925,0.36328125,14.12708294391632,5,125,155,True,89.57687801122665
