run,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_d3_k1_point_oracle_T1024_s0,3,1,content,point,oracle,1000,0.002540914574638009,0.998046875,60.525585651397705,11,121,132,True,101.73545742034912
mkar_d3_k1_point_oracle_T1024_s0,3,1,content,point,oracle,2000,0.00022864891798235476,0.99609375,77.89153385162354,11,121,132,True,85.07032895088196
mkar_d3_k1_point_oracle_T1024_s0,3,1,content,point,oracle,3000,0.017682699486613274,1.0,89.13799381256104,11,121,132,True,79.9831994374593
mkar_d3_k1_point_oracle_T1024_s0,3,1,content,point,oracle,4000,0.00011263076157774776,0.998046875,92.91766452789307,11,121,132,True,76.93947947025299
mkar_d3_k2_point_oracle_T1024_s0,3,2,content,point,oracle,1000,0.3678549528121948,0.0,5.3885380029678345,11,121,132,True,70.62427091598511
mkar_d3_k2_point_oracle_T1024_s0,3,2,content,point,oracle,2000,0.3652243912220001,0.0,5.468662679195404,11,121,132,True,70.65822315216064
mkar_d3_k2_point_oracle_T1024_s0,3,2,content,point,oracle,3000,0.36750528216362,0.0,5.522669732570648,11,121,132,True,69.93617208798726
mkar_d3_k2_point_oracle_T1024_s0,3,2,content,point,oracle,4000,0.3561360239982605,0.0,5.536340653896332,11,121,132,True,70.67644393444061
mkar_d3_k3_point_oracle_T1024_s0,3,3,content,point,oracle,1000,0.5244966745376587,0.0,3.184165358543396,11,121,132,False,65.5318591594696
mkar_d3_k3_point_oracle_T1024_s0,3,3,content,point,oracle,2000,0.5367962121963501,0.0,3.324787437915802,11,121,132,False,66.33072435855865
mkar_d3_k3_point_oracle_T1024_s0,3,3,content,point,oracle,3000,0.5289640426635742,0.0,3.3435713946819305,11,121,132,False,67.49360791842143
mkar_d3_k3_point_oracle_T1024_s0,3,3,content,point,oracle,4000,0.5402422547340393,0.0,3.377254009246826,11,121,132,False,67.88960808515549
mkar_d4_k1_point_oracle_T1024_s0,4,1,content,point,oracle,1000,0.0007794201374053955,1.0,61.18399238586426,5,125,155,True,73.0239930152893
mkar_d4_k1_point_oracle_T1024_s0,4,1,content,point,oracle,2000,0.0003293109475634992,0.984375,73.72937870025635,5,125,155,True,73.07586777210236
mkar_d4_k1_point_oracle_T1024_s0,4,1,content,point,oracle,3000,0.0007255051750689745,1.0,81.0945930480957,5,125,155,True,73.02724480628967
mkar_d4_k1_point_oracle_T1024_s0,4,1,content,point,oracle,4000,0.0001036574540194124,0.998046875,90.4846601486206,5,125,155,True,72.74196088314056
mkar_d4_k2_point_oracle_T1024_s0,4,2,content,point,oracle,1000,0.3636966943740845,0.0,5.349573194980621,5,125,155,True,71.61917495727539
mkar_d4_k2_point_oracle_T1024_s0,4,2,content,point,oracle,2000,0.36351263523101807,0.0,5.500810027122498,5,125,155,True,71.55837428569794
mkar_d4_k2_point_oracle_T1024_s0,4,2,content,point,oracle,3000,0.3666607737541199,0.0,5.516510784626007,5,125,155,True,71.41438484191895
mkar_d4_k2_point_oracle_T1024_s0,4,2,content,point,oracle,4000,0.35999181866645813,0.0,5.485884845256805,5,125,155,True,71.49857997894287
mkar_d4_k3_point_oracle_T1024_s0,4,3,content,point,oracle,1000,0.5241092443466187,0.0,3.117948055267334,5,125,155,True,73.12374973297119
mkar_d4_k3_point_oracle_T1024_s0,4,3,content,point,oracle,2000,0.5225147604942322,0.0,3.2861809730529785,5,125,155,True,72.55043530464172
mkar_d4_k3_point_oracle_T1024_s0,4,3,content,point,oracle,3000,0.527532696723938,0.0,3.3088071644306183,5,125,155,True,72.597474416097
mkar_d4_k3_point_oracle_T1024_s0,4,3,content,point,oracle,4000,0.5288205146789551,0.0,3.3137058913707733,5,125,155,True,72.68868017196655
