run,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_d3_k1_point_oracle_T1024_s0_id,3,1,content,point,oracle,1000,0.000509514007717371,1.0,60.84916877746582,11,121,132,True,43.575013399124146
mkar_d3_k1_point_oracle_T1024_s0_id,3,1,content,point,oracle,2000,0.00019737216643989086,1.0,74.83733654022217,11,121,132,True,42.75084435939789
mkar_d3_k1_point_oracle_T1024_s0_id,3,1,content,point,oracle,3000,0.00010353939433116466,1.0,86.09066867828369,11,121,132,True,42.72388823827108
mkar_d3_k1_point_oracle_T1024_s0_id,3,1,content,point,oracle,4000,5.4795105825178325e-05,1.0,98.18852806091309,11,121,132,True,42.78143048286438
mkar_d3_k2_point_oracle_T1024_s0_id,3,2,content,point,oracle,1000,0.36209535598754883,0.0,5.4756980538368225,11,121,132,True,42.805357456207275
mkar_d3_k2_point_oracle_T1024_s0_id,3,2,content,point,oracle,2000,0.3641754686832428,0.0,5.64162802696228,11,121,132,True,42.9692577123642
mkar_d3_k2_point_oracle_T1024_s0_id,3,2,content,point,oracle,3000,0.3662932515144348,0.0,5.654957950115204,11,121,132,True,42.97238691647848
mkar_d3_k2_point_oracle_T1024_s0_id,3,2,content,point,oracle,4000,0.36062324047088623,0.0,5.715117990970612,11,121,132,True,43.14961075782776
mkar_d3_k3_point_oracle_T1024_s0_id,3,3,content,point,oracle,1000,0.524307906627655,0.0,3.2471346259117126,11,121,132,False,43.839319705963135
mkar_d3_k3_point_oracle_T1024_s0_id,3,3,content,point,oracle,2000,0.5253092050552368,0.0,3.3411883413791656,11,121,132,False,43.38921058177948
mkar_d3_k3_point_oracle_T1024_s0_id,3,3,content,point,oracle,3000,0.5287067890167236,0.0,3.4422731697559357,11,121,132,False,43.341326554616295
mkar_d3_k3_point_oracle_T1024_s0_id,3,3,content,point,oracle,4000,0.5276622176170349,0.0,3.4918212294578552,11,121,132,False,43.24699282646179
mkar_d4_k1_point_oracle_T1024_s0_id,4,1,content,point,oracle,1000,0.0004904915113002062,1.0,61.25119686126709,5,125,155,True,44.82208847999573
mkar_d4_k1_point_oracle_T1024_s0_id,4,1,content,point,oracle,2000,0.00019253000209573656,1.0,75.77409362792969,5,125,155,True,44.84471797943115
mkar_d4_k1_point_oracle_T1024_s0_id,4,1,content,point,oracle,3000,0.00010546473640715703,1.0,85.85820293426514,5,125,155,True,44.6659631729126
mkar_d4_k1_point_oracle_T1024_s0_id,4,1,content,point,oracle,4000,0.00022719732078257948,1.0,103.71873760223389,5,125,155,True,44.48761171102524
mkar_d4_k2_point_oracle_T1024_s0_id,4,2,content,point,oracle,1000,0.36114221811294556,0.0,5.464829981327057,5,125,155,True,44.504883766174316
mkar_d4_k2_point_oracle_T1024_s0_id,4,2,content,point,oracle,2000,0.3630165159702301,0.0,5.612254619598389,5,125,155,True,44.256072878837585
mkar_d4_k2_point_oracle_T1024_s0_id,4,2,content,point,oracle,3000,0.36653536558151245,0.0,5.618147850036621,5,125,155,True,44.14477833112081
mkar_d4_k2_point_oracle_T1024_s0_id,4,2,content,point,oracle,4000,0.3613046407699585,0.0,5.713235378265381,5,125,155,True,44.102414548397064
mkar_d4_k3_point_oracle_T1024_s0_id,4,3,content,point,oracle,1000,0.5230966806411743,0.0,3.163193553686142,5,125,155,True,44.84439969062805
mkar_d4_k3_point_oracle_T1024_s0_id,4,3,content,point,oracle,2000,0.5243058800697327,0.0,3.387379378080368,5,125,155,True,44.3515704870224
mkar_d4_k3_point_oracle_T1024_s0_id,4,3,content,point,oracle,3000,0.5291669368743896,0.0,3.4283407628536224,5,125,155,True,44.28959576288859
mkar_d4_k3_point_oracle_T1024_s0_id,4,3,content,point,oracle,4000,0.5328252911567688,0.0,3.4820768237113953,5,125,155,True,44.338148295879364
