run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_softmax_d2_k1_plane_oracle_T128_s0_sc3_id_posctrl,softmax,2,1,content,plane,oracle,2000,0.06913453340530396,0.8271484375,59.534212589263916,11,11,11,True,12.757869482040405
mkar_softmax_d2_k1_plane_oracle_T128_s0_sc3_id_posctrl,softmax,2,1,content,plane,oracle,4000,0.022607477381825447,0.95556640625,91.69278812408447,11,11,11,True,12.258919656276703
mkar_softmax_d2_k1_plane_oracle_T128_s0_sc3_id_posctrl,softmax,2,1,content,plane,oracle,6000,0.014381245709955692,0.95751953125,114.53132629394531,11,11,11,True,11.934703350067139
mkar_softmax_d2_k1_plane_oracle_T128_s0_sc3_id_posctrl,softmax,2,1,content,plane,oracle,8000,0.012333987280726433,0.97802734375,130.87392616271973,11,11,11,True,11.893223136663437
mkar_softmax_d2_k1_plane_oracle_T128_s0_sc3_id_posctrl,softmax,2,1,content,plane,oracle,10000,0.0021328269504010677,0.98779296875,137.58247756958008,11,11,11,True,11.926732444763184
mkar_softmax_d2_k1_plane_oracle_T128_s0_sc3_id_posctrl,softmax,2,1,content,plane,oracle,12000,0.003341773059219122,0.97509765625,147.6908721923828,11,11,11,True,11.854681690533956
mkar_smat_d1_k1_plane_oracle_T128_s0_sc3_id_posctrl,smat,1,1,content,plane,oracle,2000,0.37706902623176575,0.0,4.402985990047455,0,1,1,True,26.472437024116516
mkar_smat_d1_k1_plane_oracle_T128_s0_sc3_id_posctrl,smat,1,1,content,plane,oracle,4000,0.20296572148799896,0.23681640625,24.875636339187622,0,1,1,True,26.846756398677826
mkar_smat_d1_k1_plane_oracle_T128_s0_sc3_id_posctrl,smat,1,1,content,plane,oracle,6000,0.08445687592029572,0.79638671875,74.44185733795166,0,1,1,True,27.03193672498067
mkar_smat_d1_k1_plane_oracle_T128_s0_sc3_id_posctrl,smat,1,1,content,plane,oracle,8000,0.05318565294146538,0.89794921875,121.51467514038086,0,1,1,True,26.504488557577133
