run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,2000,0.37780097126960754,0.0,4.457368016242981,23,23,23,True,22.53970158100128
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,4000,0.37770193815231323,0.0,4.426407277584076,23,23,23,True,22.736787915229797
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,6000,0.37765127420425415,0.0,4.406849503517151,23,23,23,True,24.136427243550617
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,8000,0.376555860042572,0.0,4.403561472892761,23,23,23,True,25.361828595399857
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,10000,0.0002591001393739134,1.0,72.3672513961792,23,23,23,True,26.16506471633911
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,12000,7.229657785501331e-05,1.0,97.95141506195068,23,23,23,True,26.97516878445943
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,2000,0.563389241695404,0.0,2.0410898625850677,23,23,23,False,27.77310883998871
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,4000,0.5633233785629272,0.0,2.000401735305786,23,23,23,False,29.422766387462616
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,6000,0.5615744590759277,0.0,1.9995150417089462,23,23,23,False,29.798296411832172
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,8000,0.5626673698425293,0.0,2.033321261405945,23,23,23,False,29.98214191198349
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,10000,0.5625719428062439,0.0,2.008322924375534,23,23,23,False,30.09161503314972
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,12000,0.5611658096313477,0.0,2.025470644235611,23,23,23,False,30.167393028736115
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,3,content,plane,oracle,2000,0.6616213321685791,0.0,1.0338422358036041,23,23,23,False,28.896946668624878
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,3,content,plane,oracle,4000,0.6621981263160706,0.0,1.019004538655281,23,23,23,False,29.623072743415833
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,3,content,plane,oracle,6000,0.6615850925445557,0.0,1.0257278084754944,23,23,23,False,30.1442551612854
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,3,content,plane,oracle,8000,0.6618152856826782,0.0,1.01259545981884,23,23,23,False,30.425793826580048
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,3,content,plane,oracle,10000,0.009570490568876266,0.9853515625,62.76512622833252,23,23,23,False,30.587146615982057
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id_fair2_wu_lr3e-4,softmax,2,3,content,plane,oracle,12000,0.00061367591843009,0.998046875,100.1729211807251,23,23,23,False,30.570539553960163
mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,2000,0.3793938159942627,0.0,4.4524587988853455,23,23,23,True,28.7111554145813
mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,4000,0.37728434801101685,0.0,4.425829291343689,23,23,23,True,29.849184215068817
mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,6000,0.37599143385887146,0.0,4.3989169001579285,23,23,23,True,29.712205052375793
mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,8000,0.37711191177368164,0.0,4.429819762706757,23,23,23,True,29.800750881433487
mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,10000,0.3764760494232178,0.0,4.3964932560920715,23,23,23,True,29.84873232841492
mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,12000,0.342048704624176,0.01513671875,7.551249265670776,23,23,23,True,29.887721002101898
mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,2000,0.5627528429031372,0.0,2.011134684085846,23,23,23,False,29.34573531150818
mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,4000,0.5636204481124878,0.0,2.0025899708271027,23,23,23,False,29.797653198242188
mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,6000,0.5629055500030518,0.0,2.0086370408535004,23,23,23,False,30.050437609354656
mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,8000,0.5620834827423096,0.0,2.015479326248169,23,23,23,False,30.168260097503662
mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,10000,0.5621986985206604,0.0,2.0052831768989563,23,23,23,False,30.237050008773803
mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,12000,0.562614917755127,0.0,1.9862435013055801,23,23,23,False,30.290403306484222
mkar_softmax_d2_k3_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,3,content,plane,oracle,2000,0.6642144918441772,0.0,1.0395730286836624,23,23,23,False,29.230409741401672
mkar_softmax_d2_k3_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,3,content,plane,oracle,4000,0.6610172986984253,0.0,1.023667812347412,23,23,23,False,30.181459844112396
mkar_softmax_d2_k3_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,3,content,plane,oracle,6000,0.6609022617340088,0.0,1.0212343633174896,23,23,23,False,30.53378979365031
mkar_softmax_d2_k3_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,3,content,plane,oracle,8000,0.6622480750083923,0.0,1.0205871164798737,23,23,23,False,30.455839335918427
mkar_softmax_d2_k3_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,3,content,plane,oracle,10000,0.661369800567627,0.0,1.0159997344017029,23,23,23,False,30.40651743412018
mkar_softmax_d2_k3_plane_oracle_T1024_s1_sc3_id_fair2_wu_lr3e-4,softmax,2,3,content,plane,oracle,12000,0.661797285079956,0.0,1.0205848515033722,23,23,23,False,30.367806295553844
mkar_softmax_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,2000,0.3767632246017456,0.0,4.406417191028595,23,23,23,True,28.362436890602112
mkar_softmax_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,4000,0.34113243222236633,0.0791015625,5.988862633705139,23,23,23,True,29.74012464284897
mkar_softmax_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,6000,0.30445295572280884,0.11474609375,16.334197640419006,23,23,23,True,29.893833597501118
mkar_softmax_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,8000,0.30589771270751953,0.126953125,19.265860080718994,23,23,23,True,29.75079956650734
mkar_softmax_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,10000,0.3093714118003845,0.11328125,19.90497612953186,23,23,23,True,29.866788744926453
mkar_softmax_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2_wu_lr3e-4,softmax,2,1,content,plane,oracle,12000,0.30557259917259216,0.13427734375,21.130600929260254,23,23,23,True,29.944130420684814
mkar_softmax_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,2000,0.5632386207580566,0.0,2.0518194139003754,23,23,23,False,29.05304718017578
mkar_softmax_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,4000,0.5623066425323486,0.0,2.029373377561569,23,23,23,False,29.710691928863525
mkar_softmax_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,6000,0.562897801399231,0.0,2.0292750000953674,23,23,23,False,30.034962336222332
mkar_softmax_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,8000,0.39785850048065186,0.033203125,11.836191534996033,23,23,23,False,30.214513301849365
mkar_softmax_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,10000,0.41888436675071716,0.0322265625,20.676844835281372,23,23,23,False,30.3356974363327
mkar_softmax_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2_wu_lr3e-4,softmax,2,2,content,plane,oracle,12000,0.3991529047489166,0.02783203125,22.664767503738403,23,23,23,False,30.41241693496704
mkar_softmax_d2_k3_plane_oracle_T1024_s2_sc3_id_fair2_wu_lr3e-4,softmax,2,3,content,plane,oracle,2000,0.6632543802261353,0.0,1.032648503780365,23,23,23,False,29.639817476272583
mkar_softmax_d2_k3_plane_oracle_T1024_s2_sc3_id_fair2_wu_lr3e-4,softmax,2,3,content,plane,oracle,4000,0.6619179248809814,0.0,1.0293209850788116,23,23,23,False,30.231430172920227
