run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,hash_hit,cell_occ,g_density,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d1_T1024_p16_dm256_s0_decaymamba2,smat,1,16,16,128,1000,4.8481855392456055,0.0078125,4.849686712026596,0.897 0.760 0.817 0.895,,,,88.62286496162415,88.92381477355957,256,4,64,0,0,4160,3625504
smat_d1_T1024_p16_dm256_s0_decaymamba2,smat,1,16,16,128,2000,4.777193069458008,0.013671875,4.793164432048798,0.898 0.791 0.804 0.827,,,,102.31150650978088,191.56157851219177,256,4,64,0,0,4160,3625504
smat_d1_T1024_p16_dm256_s0_decaymamba2,smat,1,16,16,128,3000,4.743218421936035,0.021240234375,4.764547824859619,0.892 0.799 0.811 0.821,,,,109.62977719306946,301.52559089660645,256,4,64,0,0,4160,3625504
smat_d1_T1024_p16_dm256_s0_decaymamba2,smat,1,16,16,128,4000,4.769579887390137,0.0146484375,4.762901246547699,0.890 0.794 0.813 0.822,,,,113.09864807128906,414.965637922287,256,4,64,0,0,4160,3625504
smat_d3_T1024_p16_dm256_s0_decaymamba2,smat,3,16,16,128,1000,4.870354652404785,0.005859375,4.86534771323204,0.944 0.947 0.947 0.947,,,,320.5459797382355,321.5842924118042,256,4,64,0,0,4160,3625504
smat_d3_T1024_p16_dm256_s0_decaymamba2,smat,3,16,16,128,2000,4.849135875701904,0.00439453125,4.854109406471252,0.947 0.948 0.948 0.948,,,,318.7322018146515,641.3807411193848,256,4,64,0,0,4160,3625504
smat_d3_T1024_p16_dm256_s0_decaymamba2,smat,3,16,16,128,3000,4.829496383666992,0.0107421875,4.83885931968689,0.943 0.842 0.928 0.929,,,,321.72278904914856,964.2179119586945,256,4,64,0,0,4160,3625504
smat_d3_T1024_p16_dm256_s0_decaymamba2,smat,3,16,16,128,4000,4.82382869720459,0.01416015625,4.82151186466217,0.943 0.857 0.927 0.929,,,,322.2639946937561,1287.471646308899,256,4,64,0,0,4160,3625504
smat_d2_T1024_p16_cpoint_embed_frz_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,1000,1.483319878578186,0.6708984375,1.308844305574894,0.841 0.909 0.652 0.780,0.938 0.938 0.938 0.938,0.234 0.270 0.247 0.447,0.554 0.491 0.537 0.394,209.55005168914795,210.41226601600647,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,2000,0.46538418531417847,0.853271484375,0.5383679643273354,0.862 0.898 0.688 0.764,0.910 0.910 0.910 0.916,0.237 0.270 0.247 0.388,0.556 0.493 0.535 0.457,212.01201391220093,423.3517310619354,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,3000,0.18832573294639587,0.946044921875,0.20842254208400846,0.874 0.920 0.775 0.864,0.937 0.935 0.938 0.934,0.231 0.264 0.234 0.449,0.555 0.496 0.545 0.412,212.30263090133667,636.5800311565399,256,4,64,0,0,4160,3629632
