run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,hash_hit,cell_occ,g_density,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d2_T1024_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,1000,4.863823890686035,0.006591796875,4.862374782562256,0.945 0.948 0.947 0.944,0.097 0.038 0.045 0.067,0.987 0.991 0.989 0.988,0.044 0.044 0.045 0.045,377.1967034339905,378.4412817955017,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,2000,4.835299015045166,0.0087890625,4.836201786994934,0.909 0.949 0.952 0.950,0.286 0.049 0.046 0.041,0.851 0.981 0.985 0.984,0.120 0.047 0.046 0.046,374.43046021461487,754.0729866027832,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,3000,4.518177032470703,0.0341796875,4.501071006059647,0.880 0.945 0.946 0.947,0.876 0.099 0.049 0.073,0.429 0.917 0.929 0.978,0.298 0.074 0.055 0.049,375.2934420108795,1130.609090089798,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,4000,4.599220275878906,0.0390625,4.544586569070816,0.910 0.944 0.945 0.943,0.905 0.093 0.072 0.060,0.313 0.881 0.888 0.971,0.399 0.082 0.074 0.047,375.2791612148285,1507.1074295043945,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_an2500_dm256_s1_decaymamba2,smat,2,16,16,128,1000,4.862967014312744,0.00732421875,4.857913315296173,0.944 0.951 0.949 0.943,0.086 0.039 0.042 0.050,0.990 0.990 0.989 0.988,0.044 0.044 0.044 0.045,374.1350619792938,375.32825231552124,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_an2500_dm256_s1_decaymamba2,smat,2,16,16,128,2000,4.856390953063965,0.0087890625,4.8536118268966675,0.943 0.946 0.946 0.949,0.059 0.048 0.042 0.035,0.990 0.988 0.988 0.989,0.044 0.045 0.045 0.044,373.7303214073181,750.2511441707611,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_an2500_dm256_s1_decaymamba2,smat,2,16,16,128,3000,4.853888988494873,0.008056640625,4.851111590862274,0.936 0.943 0.942 0.942,0.137 0.047 0.047 0.052,0.952 0.989 0.989 0.988,0.059 0.044 0.045 0.045,373.73691391944885,1125.1848030090332,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_an2500_dm256_s1_decaymamba2,smat,2,16,16,128,4000,4.844803333282471,0.00927734375,4.840000599622726,0.929 0.940 0.937 0.939,0.232 0.045 0.046 0.060,0.835 0.987 0.990 0.988,0.125 0.045 0.044 0.045,373.7594578266144,1500.1376638412476,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_dm256_s0_decaymamba2_hardste,smat,2,16,16,128,1000,4.867608547210693,0.0048828125,4.862837135791779,0.945 0.949 0.944 0.951,0.229 0.042 0.044 0.045,0.837 0.988 0.988 0.988,0.131 0.045 0.045 0.045,374.059232711792,375.21569657325745,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_dm256_s0_decaymamba2_hardste,smat,2,16,16,128,2000,4.849270820617676,0.0048828125,4.85383403301239,0.941 0.945 0.944 0.944,0.088 0.062 0.062 0.070,0.990 0.990 0.990 0.990,0.045 0.045 0.044 0.045,373.7429025173187,750.1148092746735,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_dm256_s0_decaymamba2_hardste,smat,2,16,16,128,3000,4.851614475250244,0.01025390625,4.847805172204971,0.913 0.944 0.944 0.937,0.241 0.062 0.057 0.079,0.900 0.987 0.983 0.986,0.080 0.047 0.047 0.046,373.82427430152893,1125.0944695472717,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_dm256_s0_decaymamba2_hardste,smat,2,16,16,128,4000,4.842615604400635,0.01123046875,4.830757111310959,0.896 0.934 0.931 0.929,0.380 0.168 0.092 0.133,0.779 0.982 0.976 0.979,0.163 0.049 0.047 0.049,373.8278398513794,1500.0776906013489,256,4,64,0,0,4160,3629632
