run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,hash_hit,cell_occ,g_density,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d3_T1024_p16_ppoint_dm256_s0_decaymamba2,smat,3,16,16,128,1000,4.8661699295043945,0.005126953125,4.864276647567749,0.947 0.947 0.947 0.947,,,,118.75436282157898,119.04023957252502,256,4,64,0,0,4160,3625504
smat_d3_T1024_p16_ppoint_dm256_s0_decaymamba2,smat,3,16,16,128,2000,4.8480448722839355,0.00439453125,4.854574084281921,0.946 0.948 0.948 0.948,,,,118.42691802978516,237.74700021743774,256,4,64,0,0,4160,3625504
smat_d3_T1024_p16_ppoint_dm256_s0_decaymamba2,smat,3,16,16,128,3000,4.856372356414795,0.006591796875,4.852818101644516,0.941 0.947 0.946 0.946,,,,118.24058198928833,356.2616059780121,256,4,64,0,0,4160,3625504
smat_d3_T1024_p16_ppoint_dm256_s0_decaymamba2,smat,3,16,16,128,4000,4.852166652679443,0.009765625,4.852027773857117,0.941 0.947 0.947 0.947,,,,118.10595965385437,474.6411864757538,256,4,64,0,0,4160,3625504
smat_d4_T1024_p16_ppoint_dm256_s0_decaymamba2,smat,4,16,16,128,1000,4.86766242980957,0.005859375,4.865396499633789,0.947 0.947 0.947 0.947,,,,175.97120308876038,176.25081133842468,256,4,64,0,0,4160,3625504
smat_d4_T1024_p16_ppoint_dm256_s0_decaymamba2,smat,4,16,16,128,2000,4.84808349609375,0.00439453125,4.854381859302521,0.946 0.948 0.948 0.948,,,,116.09944319725037,292.62326669692993,256,4,64,0,0,4160,3625504
smat_d4_T1024_p16_ppoint_dm256_s0_decaymamba2,smat,4,16,16,128,3000,4.8562421798706055,0.006591796875,4.852558940649033,0.947 0.946 0.947 0.947,,,,116.33980512619019,409.23118782043457,256,4,64,0,0,4160,3625504
smat_d4_T1024_p16_ppoint_dm256_s0_decaymamba2,smat,4,16,16,128,4000,4.85233211517334,0.008544921875,4.85204216837883,0.946 0.947 0.947 0.947,,,,116.25113272666931,525.7492349147797,256,4,64,0,0,4160,3625504
smat_d4_T1024_p16_dm256_s0_decaymamba2,smat,4,16,16,128,1000,4.868134498596191,0.005859375,4.864167094230652,0.947 0.946 0.947 0.947,,,,338.1943702697754,339.3211829662323,256,4,64,0,0,4160,3625504
smat_d4_T1024_p16_dm256_s0_decaymamba2,smat,4,16,16,128,2000,4.848409175872803,0.00439453125,4.854325711727142,0.948 0.948 0.948 0.948,,,,338.3247034549713,678.7634177207947,256,4,64,0,0,4160,3625504
smat_d4_T1024_p16_dm256_s0_decaymamba2,smat,4,16,16,128,3000,4.855567932128906,0.006591796875,4.852661460638046,0.946 0.946 0.945 0.947,,,,338.46932888031006,1018.3431046009064,256,4,64,0,0,4160,3625504
smat_d4_T1024_p16_dm256_s0_decaymamba2,smat,4,16,16,128,4000,4.852184295654297,0.008544921875,4.851983815431595,0.947 0.947 0.946 0.947,,,,338.1508102416992,1357.6045362949371,256,4,64,0,0,4160,3625504
smat_d3_T1024_p16_ppoint_dm256_s1_decaymamba2,smat,3,16,16,128,1000,4.861497402191162,0.007568359375,4.8569560050964355,0.946 0.949 0.948 0.947,,,,118.77279019355774,119.05826997756958,256,4,64,0,1,4160,3625504
smat_d3_T1024_p16_ppoint_dm256_s1_decaymamba2,smat,3,16,16,128,2000,4.853490829467773,0.01025390625,4.8535992205142975,0.947 0.950 0.945 0.947,,,,118.13674139976501,237.47501587867737,256,4,64,0,1,4160,3625504
smat_d3_T1024_p16_ppoint_dm256_s1_decaymamba2,smat,3,16,16,128,3000,4.852759838104248,0.00927734375,4.853311359882355,0.946 0.947 0.945 0.946,,,,118.41897487640381,356.1742308139801,256,4,64,0,1,4160,3625504
smat_d3_T1024_p16_ppoint_dm256_s1_decaymamba2,smat,3,16,16,128,4000,4.854345321655273,0.009033203125,4.851699709892273,0.946 0.948 0.946 0.947,,,,118.19972085952759,474.64754366874695,256,4,64,0,1,4160,3625504
