run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,hash_hit,cell_occ,g_density,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d1_T1024_p16_dm256_s1_decaymamba2,smat,1,16,16,128,1000,4.838013172149658,0.013671875,4.832271456718445,0.907 0.771 0.969 0.973,,,,44.85089659690857,45.270556688308716,256,4,64,0,1,4160,3625504
smat_d1_T1024_p16_dm256_s1_decaymamba2,smat,1,16,16,128,2000,4.78537654876709,0.01416015625,4.788107395172119,0.916 0.768 0.934 0.941,,,,39.08717370033264,84.5023992061615,256,4,64,0,1,4160,3625504
smat_d1_T1024_p16_dm256_s1_decaymamba2,smat,1,16,16,128,3000,4.800370216369629,0.018310546875,4.782696098089218,0.913 0.802 0.902 0.902,,,,40.4252450466156,125.07109928131104,256,4,64,0,1,4160,3625504
smat_d1_T1024_p16_dm256_s1_decaymamba2,smat,1,16,16,128,4000,4.8084259033203125,0.017822265625,4.761364907026291,0.915 0.787 0.881 0.883,,,,40.48813056945801,165.70374584197998,256,4,64,0,1,4160,3625504
smat_d2_T1024_p16_cpoint_embed_frz_sh1_dm256_s1_decaymamba2,smat,2,16,16,128,1000,1.9372031688690186,0.496337890625,1.9726360142230988,0.864 0.859 0.567 0.717,0.928 0.926 0.926 0.926,0.271 0.296 0.273 0.668,0.509 0.514 0.493 0.261,70.68119382858276,71.20962929725647,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_sh1_dm256_s1_decaymamba2,smat,2,16,16,128,2000,0.7129006385803223,0.822509765625,0.5661893952637911,0.914 0.856 0.799 0.886,0.950 0.950 0.949 0.949,0.274 0.216 0.261 0.610,0.518 0.616 0.500 0.301,69.69273281097412,141.3290627002716,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_sh1_dm256_s1_decaymamba2,smat,2,16,16,128,3000,0.2999304533004761,0.909912109375,0.2610227605327964,0.916 0.876 0.808 0.880,0.932 0.933 0.931 0.930,0.265 0.233 0.287 0.611,0.541 0.605 0.478 0.301,69.7337338924408,211.49067068099976,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_sh1_dm256_s1_decaymamba2,smat,2,16,16,128,4000,0.21169303357601166,0.9404296875,0.19001743011176586,0.918 0.896 0.834 0.862,0.929 0.926 0.928 0.927,0.279 0.227 0.269 0.607,0.542 0.613 0.489 0.304,69.7066719532013,281.62170338630676,256,4,64,0,1,4160,3629632
smat_d3_T1024_p16_cpoint_embed_frz_sh1_dm256_s1_decaymamba2,smat,3,16,16,128,1000,0.3971378803253174,0.891357421875,0.4406276838853955,0.692 0.556 0.429 0.446,0.854 0.848 0.852 0.854,0.473 0.341 0.418 0.630,0.234 0.412 0.214 0.088,194.59806752204895,195.30875539779663,256,4,64,0,1,4160,3633760
smat_d3_T1024_p16_cpoint_embed_frz_sh1_dm256_s1_decaymamba2,smat,3,16,16,128,2000,0.30292028188705444,0.928955078125,0.23102559335529804,0.747 0.552 0.415 0.520,0.898 0.898 0.898 0.898,0.338 0.278 0.421 0.617,0.380 0.481 0.219 0.086,193.91427302360535,389.9254717826843,256,4,64,0,1,4160,3633760
