run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,ms_per_step,elapsed_s
smat_d1_p16_decaymamba2_A,smat,1,16,16,128,1000,4.793025970458984,0.018798828125,4.786121755838394,0.663 0.786 0.861 0.878,35.54644441604614,35.767062187194824
smat_d1_p16_decaymamba2_A,smat,1,16,16,128,2000,4.690443992614746,0.02880859375,4.691818356513977,0.599 0.840 0.876 0.870,34.33875274658203,70.29617762565613
smat_d1_p16_decaymamba2_A,smat,1,16,16,128,3000,4.611807823181152,0.04833984375,4.573546648025513,0.573 0.871 0.866 0.867,33.84850287437439,104.33001470565796
smat_d1_p16_decaymamba2_A,smat,1,16,16,128,4000,4.564888954162598,0.048583984375,4.569071292877197,0.569 0.873 0.871 0.876,34.13379096984863,138.65006685256958
smat_d1_p16_decaymamba2_A,smat,1,16,16,128,5000,4.5336480140686035,0.046142578125,4.553252041339874,0.585 0.877 0.879 0.866,34.07249617576599,172.912255525589
smat_d1_p16_decaymamba2_B,smat,1,16,16,128,1000,4.7587738037109375,0.018310546875,4.7586535811424255,0.512 0.868 0.786 0.798,33.10883331298828,33.30205798149109
smat_d1_p16_decaymamba2_B,smat,1,16,16,128,2000,1.4300581216812134,0.622802734375,1.603404089808464,0.880 0.881 0.866 0.808,33.17943358421326,66.66471719741821
smat_d1_p16_decaymamba2_B,smat,1,16,16,128,3000,0.058198317885398865,0.9794921875,0.07500071753747761,0.879 0.883 0.864 0.811,33.34463906288147,100.1892077922821
smat_d1_p16_decaymamba2_B,smat,1,16,16,128,4000,0.002794034779071808,0.995849609375,0.012991864343348425,0.881 0.884 0.864 0.827,33.084612131118774,133.44946932792664
smat_d1_p16_decaymamba2_B,smat,1,16,16,128,5000,0.005754988174885511,0.99951171875,0.0024110986742016394,0.885 0.886 0.868 0.835,33.0460729598999,166.67196393013
smat_d1_p16_decaymamba2_C,smat,1,16,16,128,1000,4.840683937072754,0.0146484375,4.838217943906784,0.700 0.663 0.860 0.860,33.833829164505005,34.0335898399353
smat_d1_p16_decaymamba2_C,smat,1,16,16,128,2000,4.745724678039551,0.01220703125,4.767546236515045,0.632 0.681 0.668 0.755,33.640029430389404,67.858642578125
smat_d1_p16_decaymamba2_C,smat,1,16,16,128,3000,4.66057825088501,0.023193359375,4.644136011600494,0.707 0.704 0.705 0.757,33.89820742607117,101.94000601768494
smat_d1_p16_decaymamba2_C,smat,1,16,16,128,4000,4.426854610443115,0.036865234375,4.377713650465012,0.807 0.701 0.749 0.793,33.5315580368042,135.65892124176025
smat_d1_p16_decaymamba2_C,smat,1,16,16,128,5000,4.341860771179199,0.048583984375,4.275791555643082,0.828 0.718 0.775 0.808,33.446666955947876,169.28751873970032
smat_d1_p16_decaymamba2_D,smat,1,16,16,128,1000,4.8247270584106445,0.012939453125,4.820249259471893,0.597 0.636 0.886 0.936,32.993924140930176,33.18600916862488
smat_d1_p16_decaymamba2_D,smat,1,16,16,128,2000,4.703828811645508,0.017578125,4.741936534643173,0.657 0.730 0.791 0.854,32.831048011779785,66.19788360595703
