run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,hash_hit,cell_occ,g_density,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d1_T512_p16_dm256_s0_nogate,smat,1,16,16,128,1000,4.832150459289551,0.0126953125,4.809789806604385,0.808 0.812 0.864 0.870,,,,372.0487587451935,372.41018629074097,256,4,64,0,0,4160,3490304
smat_d1_T512_p16_dm256_s0_nogate,smat,1,16,16,128,2000,4.788339614868164,0.016357421875,4.8134869039058685,0.825 0.836 0.862 0.864,,,,53.52866196632385,426.15016508102417,256,4,64,0,0,4160,3490304
smat_d1_T512_p16_dm256_s0_nogate,smat,1,16,16,128,3000,4.8147430419921875,0.014892578125,4.8004873394966125,0.831 0.854 0.870 0.869,,,,53.11027145385742,479.519259929657,256,4,64,0,0,4160,3490304
smat_d1_T512_p16_dm256_s0_nogate,smat,1,16,16,128,4000,4.796521186828613,0.0146484375,4.802307665348053,0.829 0.860 0.877 0.875,,,,52.7809317111969,532.5078213214874,256,4,64,0,0,4160,3490304
smat_d1_T512_p16_dm256_s0_nogate,smat,1,16,16,128,5000,4.826817989349365,0.011474609375,4.794592499732971,0.833 0.861 0.871 0.871,,,,53.31581974029541,586.0339579582214,256,4,64,0,0,4160,3490304
smat_d2_T512_p16_dm256_s0_nogate,smat,2,16,16,128,1000,4.861039161682129,0.011962890625,4.858579933643341,0.883 0.891 0.891 0.890,,,,325.22730350494385,325.5173351764679,256,4,64,0,0,4160,3490304
smat_d2_T512_p16_dm256_s0_nogate,smat,2,16,16,128,2000,4.858521938323975,0.00927734375,4.857136160135269,0.895 0.891 0.895 0.894,,,,49.57025361061096,375.30999517440796,256,4,64,0,0,4160,3490304
smat_d2_T512_p16_dm256_s0_nogate,smat,2,16,16,128,3000,4.839390754699707,0.01123046875,4.830191344022751,0.860 0.891 0.841 0.906,,,,54.243943214416504,429.83461713790894,256,4,64,0,0,4160,3490304
smat_d2_T512_p16_dm256_s0_nogate,smat,2,16,16,128,4000,4.821824073791504,0.010986328125,4.814098417758942,0.824 0.880 0.850 0.881,,,,55.51484227180481,485.57556343078613,256,4,64,0,0,4160,3490304
smat_d2_T512_p16_dm256_s0_nogate,smat,2,16,16,128,5000,4.833339691162109,0.013427734375,4.824011325836182,0.831 0.900 0.863 0.890,,,,54.84053921699524,540.6970202922821,256,4,64,0,0,4160,3490304
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_nogate,smat,2,16,16,128,1000,4.8636274337768555,0.011962890625,4.855270594358444,0.891 0.908 0.864 0.903,0.068 0.048 0.041 0.040,0.987 0.986 0.988 0.987,0.060 0.060 0.060 0.059,502.02167391777044,502.6892783641815,256,4,64,0,0,4160,3494432
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_nogate,smat,2,16,16,128,2000,4.857874393463135,0.00927734375,4.8567803502082825,0.895 0.904 0.834 0.927,0.088 0.062 0.043 0.029,0.985 0.984 0.989 0.988,0.061 0.061 0.061 0.061,82.42658877372742,585.7751984596252,256,4,64,0,0,4160,3494432
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_nogate,smat,2,16,16,128,3000,4.850358486175537,0.00830078125,4.8526135087013245,0.895 0.898 0.883 0.902,0.081 0.037 0.034 0.040,0.988 0.990 0.992 0.993,0.061 0.060 0.060 0.060,77.89653539657593,664.3369674682617,256,4,64,0,0,4160,3494432
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_nogate,smat,2,16,16,128,4000,4.853349208831787,0.0078125,4.852054446935654,0.892 0.891 0.843 0.899,0.077 0.031 0.014 0.030,0.991 0.991 0.991 0.992,0.060 0.061 0.061 0.061,78.44912457466125,743.4482371807098,256,4,64,0,0,4160,3494432
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_nogate,smat,2,16,16,128,5000,4.831449031829834,0.00927734375,4.833143800497055,0.893 0.888 0.858 0.897,0.066 0.039 0.060 0.042,0.991 0.986 0.978 0.969,0.060 0.061 0.060 0.062,78.03039860725403,822.0030310153961,256,4,64,0,0,4160,3494432
smat_d2_T512_p16_cpoint_embed_frz_sh1_dm256_s0_nogate,smat,2,16,16,128,1000,3.726848602294922,0.1611328125,3.6701259911060333,0.772 0.871 0.871 0.860,0.910 0.917 0.914 0.918,0.545 0.856 0.663 0.675,0.369 0.124 0.242 0.234,119.59546136856079,120.22804307937622,256,4,64,0,0,4160,3494432
smat_d2_T512_p16_cpoint_embed_frz_sh1_dm256_s0_nogate,smat,2,16,16,128,2000,0.18204522132873535,0.961181640625,0.17100985255092382,0.871 0.877 0.861 0.880,0.955 0.955 0.953 0.953,0.326 0.808 0.689 0.538,0.580 0.156 0.251 0.388,74.57659482955933,195.4477255344391,256,4,64,0,0,4160,3494432
