run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,hash_hit,cell_occ,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d2_T512_p16_cpoint_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,1000,4.863812446594238,0.011962890625,4.856104552745819,0.880 0.871 0.887 0.895,0.204 0.063 0.069 0.071,0.772 0.982 0.985 0.981,95.8067455291748,96.37131476402283,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,2000,4.858664512634277,0.01171875,4.8565957844257355,0.883 0.896 0.891 0.894,0.135 0.048 0.043 0.044,0.968 0.983 0.983 0.985,100.68031668663025,197.7896430492401,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,3000,4.879826545715332,0.006103515625,4.847128212451935,0.877 0.877 0.815 0.838,0.183 0.253 0.722 0.428,0.946 0.885 0.728 0.933,102.05098509788513,300.5800893306732,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,4000,4.816956520080566,0.010498046875,4.827846705913544,0.874 0.847 0.783 0.837,0.157 0.317 0.661 0.475,0.946 0.894 0.683 0.960,102.04309368133545,403.3591079711914,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,5000,4.8415751457214355,0.0126953125,4.8291542530059814,0.876 0.850 0.770 0.838,0.130 0.316 0.647 0.475,0.937 0.904 0.701 0.965,102.32025909423828,506.41767144203186,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,1000,4.831484794616699,0.019775390625,4.747902095317841,0.555 0.858 0.856 0.887,0.804 0.086 0.099 0.099,0.329 0.943 0.939 0.968,102.44592046737671,103.24109435081482,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,2000,2.536921739578247,0.4375,2.6009432673454285,0.876 0.868 0.880 0.908,0.950 0.772 0.823 0.486,0.149 0.140 0.098 0.031,102.17949295043945,206.19513845443726,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,3000,0.615685760974884,0.88916015625,0.5510462205857038,0.893 0.886 0.884 0.931,0.945 0.921 0.936 0.937,0.168 0.133 0.069 0.026,102.47089695930481,309.4388883113861,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,4000,0.24172568321228027,0.97900390625,0.08307466516271234,0.893 0.881 0.878 0.923,0.938 0.888 0.919 0.925,0.142 0.145 0.094 0.044,101.11959624290466,411.1511273384094,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,5000,0.06699970364570618,0.9853515625,0.06352842407068238,0.898 0.884 0.880 0.921,0.926 0.890 0.911 0.904,0.155 0.140 0.123 0.097,99.63003468513489,511.37432312965393,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_ag1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,1000,12.924084663391113,0.006103515625,4.91435506939888,0.703 0.867 0.866 0.874,0.722 0.637 0.538 0.318,0.816 0.608 0.416 0.800,99.38323402404785,99.97118639945984,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_ag1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,2000,12.85911750793457,0.014404296875,4.800596058368683,0.813 0.894 0.902 0.800,0.747 0.564 0.437 0.508,0.940 0.973 0.980 0.980,101.74105381965637,202.4809696674347,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_ag1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,3000,8.285621643066406,0.011962890625,4.808928370475769,0.775 0.908 0.853 0.812,0.807 0.925 0.666 0.727,0.556 0.898 0.884 0.505,104.62052321434021,307.87335753440857,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_ag1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,4000,9.430742263793945,0.01416015625,4.787251710891724,0.783 0.924 0.779 0.758,0.772 0.746 0.517 0.847,0.791 0.925 0.909 0.645,102.85655927658081,411.5227711200714,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_ag1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,5000,9.549105644226074,0.011962890625,4.791698008775711,0.792 0.919 0.796 0.786,0.726 0.754 0.543 0.823,0.847 0.950 0.943 0.859,105.12722539901733,517.4236268997192,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_ag1_an2500_dm256_s1_decaymamba2,smat,2,16,16,128,1000,7.9972076416015625,0.010009765625,4.819690823554993,0.846 0.882 0.870 0.898,0.879 0.891 0.854 0.692,0.946 0.033 0.041 0.277,0.065 0.984 0.908 0.673,100.36481356620789,100.9552710056305,256,4,64,0,1,4160,3498560
smat_d2_T512_p16_cpoint_sh1_ag1_an2500_dm256_s1_decaymamba2,smat,2,16,16,128,2000,8.930658340454102,0.0205078125,4.720915257930756,0.866 0.877 0.929 0.860,0.771 0.768 0.890 0.521,0.846 0.785 0.777 0.806,0.090 0.252 0.346 0.198,100.61151194572449,202.15375113487244,256,4,64,0,1,4160,3498560
smat_d2_T512_p16_cpoint_sh1_ag1_an2500_dm256_s1_decaymamba2,smat,2,16,16,128,3000,8.279406547546387,0.02001953125,4.755286931991577,0.827 0.822 0.948 0.803,0.721 0.882 0.930 0.781,0.670 0.554 0.828 0.838,0.323 0.251 0.086 0.064,100.60084843635559,303.3811676502228,256,4,64,0,1,4160,3498560
