run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,ms_per_step,elapsed_s
smat_d1_p16,smat,1,16,16,128,500,4.858096122741699,0.009033203125,4.8715938329696655,0.883 0.887 0.889 0.890,24.931152820587158,12.626988887786865
smat_d1_p16,smat,1,16,16,128,1000,4.849442481994629,0.01025390625,4.837261945009232,0.840 0.738 0.858 0.853,23.028778076171875,24.28756880760193
smat_d1_p16,smat,1,16,16,128,1500,4.7962541580200195,0.0068359375,4.822078764438629,0.846 0.789 0.887 0.893,23.048928260803223,35.958577394485474
smat_d1_p16,smat,1,16,16,128,2000,4.808915138244629,0.015869140625,4.79989817738533,0.836 0.792 0.877 0.888,23.045644760131836,47.62602424621582
smat_d1_p16,smat,1,16,16,128,2500,4.811203956604004,0.013671875,4.7926362454891205,0.836 0.812 0.882 0.891,22.97501277923584,59.2591438293457
smat_d1_p16_oracle,smat,1,16,16,128,500,0.1784891039133072,0.96533203125,0.14363360963761806,0.000 0.000 0.000 0.000,22.87054443359375,11.585155487060547
smat_d1_p16_oracle,smat,1,16,16,128,1000,0.011657491326332092,0.997314453125,0.00944088152027689,0.000 0.000 0.000 0.000,22.392632484436035,22.921645164489746
smat_d1_p16_oracle,smat,1,16,16,128,1500,0.0004222978022880852,1.0,0.0007915766454971163,0.000 0.000 0.000 0.000,22.517330169677734,34.32006216049194
smat_d1_p16_oracle,smat,1,16,16,128,2000,9.719002991914749e-05,1.0,8.033137430629722e-05,0.000 0.000 0.000 0.000,22.50275182723999,45.708574295043945
smat_d1_p16_oracle,smat,1,16,16,128,2500,1.5595627701259218e-05,1.0,5.99296419068196e-05,0.000 0.000 0.000 0.000,22.527885913848877,57.11270070075989
smat_d1_p16_taylor16,smat,1,16,16,128,500,4.796296119689941,0.012939453125,4.8245510160923,0.802 0.894 0.874 0.901,30.264527320861816,15.287126064300537
smat_d1_p16_taylor16,smat,1,16,16,128,1000,4.820613861083984,0.008056640625,4.803983449935913,0.807 0.883 0.863 0.881,29.976523399353027,30.41873788833618
smat_d1_p16_taylor16,smat,1,16,16,128,1500,4.772439002990723,0.011474609375,4.7979616820812225,0.795 0.890 0.852 0.877,29.96800184249878,45.54865026473999
smat_d1_p16_taylor16,smat,1,16,16,128,2000,4.821811199188232,0.01513671875,4.8002296686172485,0.780 0.890 0.883 0.896,29.946234226226807,60.66412377357483
smat_d1_p16_taylor16,smat,1,16,16,128,2500,4.768651962280273,0.009765625,4.795621603727341,0.785 0.890 0.867 0.893,29.901552200317383,75.75761318206787
smat_d1_p16_taylor16_oracle,smat,1,16,16,128,500,0.00513885635882616,0.998291015625,0.009958830327377655,0.000 0.000 0.000 0.000,31.60849046707153,15.974959373474121
smat_d1_p16_taylor16_oracle,smat,1,16,16,128,1000,0.004525952972471714,0.99951171875,0.0013058941012786818,0.000 0.000 0.000 0.000,31.294404506683353,31.77875828742981
smat_d1_p16_taylor16_oracle,smat,1,16,16,128,1500,2.4564636987634003e-05,1.0,3.102939797372528e-05,0.000 0.000 0.000 0.000,31.352008819580078,47.61381435394287
smat_d1_p16_taylor16_oracle,smat,1,16,16,128,2000,1.0044045666290913e-06,1.0,8.199715981760392e-07,0.000 0.000 0.000 0.000,31.25525999069214,63.401745557785034
smat_d1_p16_taylor16_oracle,smat,1,16,16,128,2500,3.760173399314226e-07,1.0,5.065686008443038e-07,0.000 0.000 0.000 0.000,31.247724056243896,79.18583989143372
