run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,hash_hit,cell_occ,g_density,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
softmax_T512_p16_dm256_s0,softmax,,16,16,128,1000,6.76052295602858e-05,1.0,6.755954564141575e-05,,,,,22.78501534461975,22.88600730895996,256,4,64,0,0,4160,3490304
smat_d1_T512_p16_dm256_s0_decaymamba2,smat,1,16,16,128,1000,4.793729782104492,0.0146484375,4.812450051307678,0.582 0.662 0.668 0.862,,,,62.932602167129524,63.20858907699585,256,4,64,0,0,4160,3494432
smat_d1_T512_p16_dm256_s0_decaymamba2,smat,1,16,16,128,2000,4.680738925933838,0.027099609375,4.64802348613739,0.729 0.714 0.727 0.859,,,,62.56587028503419,126.02714467048645,256,4,64,0,0,4160,3494432
smat_d1_T512_p16_dm256_s0_decaymamba2,smat,1,16,16,128,3000,2.125185489654541,0.48046875,2.0360917150974274,0.881 0.773 0.823 0.831,,,,62.58694505691528,188.86424589157104,256,4,64,0,0,4160,3494432
smat_d1_T512_p16_dm256_s0_decaymamba2,smat,1,16,16,128,4000,0.5226800441741943,0.89013671875,0.4998944513499737,0.877 0.791 0.836 0.846,,,,62.504566669464104,251.62037348747253,256,4,64,0,0,4160,3494432
smat_d1_T512_p16_dm256_s0_decaymamba2,smat,1,16,16,128,5000,0.4917146563529968,0.90478515625,0.43333682604134083,0.882 0.799 0.846 0.854,,,,61.08427596092224,312.94306802749634,256,4,64,0,0,4160,3494432
smat_d2_T512_p16_dm256_s0_decaymamba2,smat,2,16,16,128,1000,4.8600335121154785,0.010498046875,4.8536800146102905,0.540 0.883 0.883 0.893,,,,67.01593971252441,67.28560066223145,256,4,64,0,0,4160,3494432
smat_d2_T512_p16_dm256_s0_decaymamba2,smat,2,16,16,128,2000,4.76047420501709,0.0185546875,4.758098393678665,0.656 0.860 0.873 0.898,,,,65.42770552635193,132.97880172729492,256,4,64,0,0,4160,3494432
smat_d2_T512_p16_dm256_s0_decaymamba2,smat,2,16,16,128,3000,4.748411178588867,0.017333984375,4.7510131895542145,0.754 0.856 0.872 0.899,,,,67.09837508201599,200.34297609329224,256,4,64,0,0,4160,3494432
smat_d2_T512_p16_dm256_s0_decaymamba2,smat,2,16,16,128,4000,4.716526508331299,0.0205078125,4.727600961923599,0.766 0.872 0.883 0.890,,,,65.17755174636841,265.7710747718811,256,4,64,0,0,4160,3494432
smat_d2_T512_p16_dm256_s0_decaymamba2,smat,2,16,16,128,5000,4.760204315185547,0.012451171875,4.739533752202988,0.776 0.874 0.895 0.891,,,,66.37083840370178,332.327880859375,256,4,64,0,0,4160,3494432
smat_d3_T512_p16_dm256_s0_decaymamba2,smat,3,16,16,128,1000,4.824536323547363,0.019775390625,4.815117418766022,0.677 0.769 0.820 0.845,,,,105.57841181755066,105.9085590839386,256,4,64,0,0,4160,3494432
smat_d3_T512_p16_dm256_s0_decaymamba2,smat,3,16,16,128,2000,4.731886386871338,0.0458984375,4.725228726863861,0.672 0.850 0.858 0.860,,,,108.70588231086731,214.94168734550476,256,4,64,0,0,4160,3494432
smat_d3_T512_p16_dm256_s0_decaymamba2,smat,3,16,16,128,3000,4.66291618347168,0.05322265625,4.65984782576561,0.709 0.877 0.882 0.881,,,,108.4227147102356,323.6991877555847,256,4,64,0,0,4160,3494432
smat_d3_T512_p16_dm256_s0_decaymamba2,smat,3,16,16,128,4000,4.657096862792969,0.050048828125,4.647095024585724,0.709 0.901 0.877 0.873,,,,108.75062847137451,432.7835285663605,256,4,64,0,0,4160,3494432
smat_d3_T512_p16_dm256_s0_decaymamba2,smat,3,16,16,128,5000,4.617253303527832,0.0546875,4.629990756511688,0.715 0.891 0.871 0.877,,,,107.53976917266846,540.6500039100647,256,4,64,0,0,4160,3494432
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,1000,4.761601448059082,0.015625,4.766993373632431,0.588 0.889 0.889 0.892,0.743 0.108 0.126 0.130,0.366 0.954 0.967 0.977,0.574 0.066 0.067 0.065,103.7027416229248,104.48374342918396,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,2000,2.357123613357544,0.582763671875,2.0833762660622597,0.878 0.898 0.895 0.894,0.938 0.840 0.874 0.867,0.040 0.067 0.052 0.043,0.957 0.956 0.968 0.972,100.0667495727539,205.1539270877838,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,3000,0.7180663347244263,0.84765625,0.821032676845789,0.892 0.892 0.889 0.830,0.945 0.941 0.944 0.925,0.018 0.022 0.025 0.046,0.988 0.988 0.988 0.974,100.50808930397034,306.25505471229553,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,4000,1.1383111476898193,0.83056640625,1.033386517316103,0.891 0.893 0.887 0.900,0.920 0.933 0.874 0.868,0.024 0.026 0.043 0.042,0.979 0.985 0.969 0.971,100.70243167877197,407.55114579200745,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,2,16,16,128,5000,1.4530596733093262,0.704345703125,1.5268691554665565,0.894 0.892 0.890 0.932,0.881 0.859 0.845 0.820,0.037 0.077 0.089 0.047,0.949 0.926 0.861 0.948,100.76429748535156,509.0911989212036,256,4,64,0,0,4160,3498560
smat_d3_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,3,16,16,128,1000,4.795466423034668,0.015380859375,4.8048854768276215,0.668 0.891 0.888 0.888,0.214 0.032 0.071 0.116,0.778 0.925 0.832 0.726,0.134 0.028 0.052 0.103,181.26354312896729,182.2318925857544,256,4,64,0,0,4160,3502688
smat_d3_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,3,16,16,128,2000,1.136775016784668,0.794677734375,1.0823717340826988,0.836 0.885 0.895 0.897,0.834 0.632 0.147 0.175,0.290 0.261 0.706 0.776,0.400 0.510 0.073 0.067,180.13886713981628,363.33736968040466,256,4,64,0,0,4160,3502688
smat_d3_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,3,16,16,128,3000,2.4365601539611816,0.5673828125,2.073755331337452,0.867 0.905 0.871 0.851,0.887 0.868 0.621 0.521,0.020 0.026 0.097 0.127,0.984 0.981 0.877 0.882,178.24979829788208,542.5560510158539,256,4,64,0,0,4160,3502688
smat_d3_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,3,16,16,128,4000,1.1705657243728638,0.75634765625,1.1512965261936188,0.866 0.914 0.868 0.840,0.898 0.852 0.731 0.629,0.020 0.029 0.051 0.125,0.984 0.979 0.962 0.900,177.00404024124146,720.3606538772583,256,4,64,0,0,4160,3502688
smat_d3_T512_p16_cpoint_sh1_an2500_dm256_s0_decaymamba2,smat,3,16,16,128,5000,1.2280278205871582,0.783203125,1.0404477939009666,0.871 0.916 0.873 0.848,0.844 0.821 0.681 0.557,0.020 0.025 0.058 0.129,0.984 0.982 0.955 0.896,174.78626775741577,896.1125962734222,256,4,64,0,0,4160,3502688
smat_d3_T512_p16_cplane_sh1_an2500_dm256_s0_decaymamba2,smat,3,16,16,128,1000,4.588115692138672,0.0361328125,4.552756279706955,0.790 0.891 0.892 0.893,0.699 0.086 0.058 0.080,0.491 0.852 0.864 0.827,0.294 0.048 0.047 0.060,188.90733242034912,189.7472653388977,256,4,64,0,0,4160,3535456
smat_d3_T512_p16_cplane_sh1_an2500_dm256_s0_decaymamba2,smat,3,16,16,128,2000,1.1728764772415161,0.780517578125,1.044645570218563,0.883 0.899 0.890 0.859,0.895 0.694 0.223 0.387,0.027 0.104 0.404 0.384,0.974 0.849 0.281 0.361,188.59033966064453,379.1554524898529,256,4,64,0,0,4160,3535456
smat_d3_T512_p16_cplane_sh1_an2500_dm256_s0_decaymamba2,smat,3,16,16,128,3000,0.5098087191581726,0.87744140625,0.5762375425547361,0.887 0.896 0.856 0.787,0.870 0.716 0.135 0.259,0.026 0.098 0.369 0.471,0.979 0.873 0.235 0.174,189.63909578323364,569.7897856235504,256,4,64,0,0,4160,3535456
smat_d3_T512_p16_cplane_sh1_an2500_dm256_s0_decaymamba2,smat,3,16,16,128,4000,2.933067560195923,0.41748046875,2.9854330718517303,0.890 0.895 0.861 0.790,0.623 0.662 0.162 0.240,0.125 0.134 0.446 0.454,0.833 0.811 0.199 0.215,190.08861660957336,760.6875715255737,256,4,64,0,0,4160,3535456
smat_d3_T512_p16_cplane_sh1_an2500_dm256_s0_decaymamba2,smat,3,16,16,128,5000,2.748542308807373,0.4501953125,2.7973373383283615,0.895 0.897 0.868 0.793,0.587 0.601 0.131 0.216,0.132 0.178 0.486 0.442,0.805 0.739 0.152 0.222,189.33313703536987,951.0163333415985,256,4,64,0,0,4160,3535456
smat_d2_T512_p16_cpoint_embed_frz_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,1000,0.5479896664619446,0.859375,0.5753352306783199,0.839 0.750 0.613 0.773,0.910 0.916 0.910 0.910,0.283 0.366 0.372 0.758,0.575 0.469 0.455 0.195,96.52659869194031,97.09259533882141,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_embed_frz_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,2000,0.18589946627616882,0.92919921875,0.2573306206613779,0.834 0.745 0.600 0.723,0.953 0.953 0.956 0.959,0.264 0.338 0.339 0.647,0.590 0.484 0.479 0.270,96.40290975570679,194.03022003173828,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_embed_frz_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,3000,0.0768311619758606,0.98193359375,0.0573437312268652,0.822 0.763 0.664 0.752,0.947 0.945 0.945 0.948,0.267 0.337 0.313 0.571,0.598 0.481 0.548 0.314,96.48740029335022,291.0807852745056,256,4,64,0,0,4160,3498560
smat_d2_T512_p16_cpoint_embed_frz_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,4000,0.018019462004303932,0.996826171875,0.012785934799467213,0.825 0.776 0.694 0.769,0.938 0.940 0.938 0.944,0.248 0.330 0.305 0.552,0.614 0.482 0.565 0.331,96.334787607193,387.9547417163849,256,4,64,0,0,4160,3498560
softmax_T512_p16_dm256_s1,softmax,,16,16,128,1000,4.84195613861084,0.0185546875,4.836257070302963,,,,,38.13563013076782,38.28908348083496,256,4,64,0,1,4160,3490304
softmax_T512_p16_dm256_s1,softmax,,16,16,128,2000,4.800436973571777,0.03369140625,4.792640179395676,,,,,36.847909450531006,75.27794909477234,256,4,64,0,1,4160,3490304
softmax_T512_p16_dm256_s1,softmax,,16,16,128,2500,4.777584075927734,0.0302734375,4.797478824853897,,,,,30.54444146156311,87.69715714454651,256,4,64,0,1,4160,3490304
smat_d1_T512_p16_dm256_s1_decaymamba2,smat,1,16,16,128,1000,4.84153938293457,0.011962890625,4.831318587064743,0.729 0.628 0.752 0.890,,,,60.61421251296997,60.86888790130615,256,4,64,0,1,4160,3494432
smat_d1_T512_p16_dm256_s1_decaymamba2,smat,1,16,16,128,2000,4.78922700881958,0.015869140625,4.750926196575165,0.696 0.707 0.760 0.850,,,,62.43620777130127,123.62751483917236,256,4,64,0,1,4160,3494432
smat_d1_T512_p16_dm256_s1_decaymamba2,smat,1,16,16,128,3000,4.725296974182129,0.018310546875,4.701636701822281,0.697 0.681 0.813 0.868,,,,62.4490065574646,186.33129715919495,256,4,64,0,1,4160,3494432
smat_d1_T512_p16_dm256_s1_decaymamba2,smat,1,16,16,128,4000,4.579768180847168,0.033203125,4.612693339586258,0.695 0.700 0.787 0.848,,,,61.08729672431946,247.65617108345032,256,4,64,0,1,4160,3494432
smat_d1_T512_p16_dm256_s1_decaymamba2,smat,1,16,16,128,5000,4.635472297668457,0.0341796875,4.572482377290726,0.686 0.702 0.797 0.862,,,,61.59893441200256,309.49886417388916,256,4,64,0,1,4160,3494432
smat_d2_T512_p16_dm256_s1_decaymamba2,smat,2,16,16,128,1000,4.863882541656494,0.009765625,4.857636988162994,0.886 0.893 0.893 0.893,,,,66.00950980186462,66.30368280410767,256,4,64,0,1,4160,3494432
smat_d2_T512_p16_dm256_s1_decaymamba2,smat,2,16,16,128,2000,4.805516719818115,0.012451171875,4.815838515758514,0.619 0.858 0.873 0.880,,,,66.77469682693481,133.34492874145508,256,4,64,0,1,4160,3494432
smat_d2_T512_p16_dm256_s1_decaymamba2,smat,2,16,16,128,3000,4.791207313537598,0.015380859375,4.761016756296158,0.660 0.886 0.883 0.883,,,,66.59711122512817,200.19360733032227,256,4,64,0,1,4160,3494432
smat_d2_T512_p16_dm256_s1_decaymamba2,smat,2,16,16,128,4000,4.762781620025635,0.01513671875,4.749222755432129,0.684 0.894 0.877 0.908,,,,66.1956799030304,266.63162636756897,256,4,64,0,1,4160,3494432
smat_d2_T512_p16_dm256_s1_decaymamba2,smat,2,16,16,128,5000,4.798190116882324,0.01904296875,4.72725710272789,0.687 0.893 0.869 0.907,,,,67.08495020866394,333.97927594184875,256,4,64,0,1,4160,3494432
smat_d3_T512_p16_dm256_s1_decaymamba2,smat,3,16,16,128,1000,4.83334493637085,0.01123046875,4.844351142644882,0.797 0.760 0.749 0.811,,,,106.32350707054138,106.6667971611023,256,4,64,0,1,4160,3494432
smat_d3_T512_p16_dm256_s1_decaymamba2,smat,3,16,16,128,2000,4.8011794090271,0.0302734375,4.795087069272995,0.750 0.836 0.823 0.849,,,,109.9500424861908,216.94953799247742,256,4,64,0,1,4160,3494432
smat_d3_T512_p16_dm256_s1_decaymamba2,smat,3,16,16,128,3000,4.749013423919678,0.039306640625,4.740269273519516,0.763 0.853 0.848 0.832,,,,109.06618523597717,326.34076046943665,256,4,64,0,1,4160,3494432
smat_d3_T512_p16_dm256_s1_decaymamba2,smat,3,16,16,128,4000,4.685938835144043,0.049072265625,4.705289423465729,0.772 0.872 0.870 0.865,,,,111.07980465888977,437.74375796318054,256,4,64,0,1,4160,3494432
smat_d3_T512_p16_dm256_s1_decaymamba2,smat,3,16,16,128,5000,4.676456451416016,0.045654296875,4.7067199647426605,0.776 0.874 0.879 0.854,,,,109.2650511264801,547.3494074344635,256,4,64,0,1,4160,3494432
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s1_decaymamba2,smat,2,16,16,128,1000,4.822659015655518,0.013427734375,4.806151241064072,0.712 0.861 0.833 0.903,0.604 0.168 0.163 0.149,0.694 0.954 0.959 0.974,0.253 0.073 0.073 0.068,102.27547001838684,103.06371092796326,256,4,64,0,1,4160,3498560
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s1_decaymamba2,smat,2,16,16,128,2000,2.8605284690856934,0.383544921875,2.875627249479294,0.823 0.880 0.892 0.892,0.908 0.758 0.760 0.513,0.265 0.083 0.112 0.199,0.512 0.933 0.905 0.765,102.43335056304932,206.27787947654724,256,4,64,0,1,4160,3498560
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s1_decaymamba2,smat,2,16,16,128,3000,1.6957716941833496,0.66357421875,1.5757857039570808,0.849 0.891 0.884 0.838,0.938 0.927 0.931 0.936,0.018 0.024 0.023 0.022,0.988 0.988 0.986 0.986,101.77077269554138,308.8228757381439,256,4,64,0,1,4160,3498560
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s1_decaymamba2,smat,2,16,16,128,4000,0.9362111687660217,0.8505859375,0.6908515058457851,0.860 0.895 0.888 0.927,0.953 0.946 0.953 0.936,0.018 0.021 0.025 0.025,0.988 0.990 0.985 0.985,102.70013189315796,412.3010869026184,256,4,64,0,1,4160,3498560
smat_d2_T512_p16_cpoint_sh1_an2500_dm256_s1_decaymamba2,smat,2,16,16,128,5000,0.7407779693603516,0.861083984375,0.6635569054633379,0.861 0.894 0.886 0.932,0.957 0.954 0.957 0.943,0.018 0.021 0.026 0.025,0.988 0.990 0.985 0.985,102.03280472755432,515.109790802002,256,4,64,0,1,4160,3498560
smat_d3_T512_p16_cpoint_sh1_an2500_dm256_s1_decaymamba2,smat,3,16,16,128,1000,3.413806915283203,0.27197265625,3.3473634868860245,0.822 0.897 0.906 0.901,0.658 0.082 0.042 0.043,0.283 0.657 0.837 0.881,0.493 0.213 0.050 0.035,178.02293229103088,178.81276726722717,256,4,64,0,1,4160,3502688
smat_d3_T512_p16_cpoint_sh1_an2500_dm256_s1_decaymamba2,smat,3,16,16,128,2000,0.8589077591896057,0.80517578125,0.9976855628192425,0.822 0.890 0.891 0.887,0.687 0.518 0.346 0.093,0.415 0.260 0.350 0.704,0.225 0.454 0.241 0.076,177.62087512016296,357.38934206962585,256,4,64,0,1,4160,3502688
