run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,hash_hit,cell_occ,g_density,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_dm256_s1_decaymamba2,smat,2,16,16,128,500,3.4887208938598633,0.21484375,3.5581599324941635,0.857 0.722 0.663 0.729,0.957 0.957 0.957 0.957,0.310 0.314 0.320 0.686,0.494 0.473 0.485 0.220,350.47745418548584,176.41240525245667,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_dm256_s1_decaymamba2,smat,2,16,16,128,1000,2.629660129547119,0.368896484375,2.63038532435894,0.804 0.782 0.768 0.700,0.938 0.938 0.939 0.938,0.258 0.259 0.262 0.657,0.530 0.520 0.534 0.249,349.1070508956909,352.1821494102478,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_dm256_s1_decaymamba2,smat,2,16,16,128,1500,1.2959699630737305,0.661865234375,1.1725235879421234,0.900 0.871 0.850 0.903,0.959 0.957 0.958 0.957,0.276 0.246 0.258 0.613,0.521 0.551 0.534 0.289,348.35764741897583,527.4908452033997,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_dm256_s1_decaymamba2,smat,2,16,16,128,2000,0.695461630821228,0.77734375,0.7543488182127476,0.921 0.852 0.821 0.824,0.940 0.940 0.938 0.938,0.260 0.240 0.248 0.632,0.546 0.557 0.543 0.281,349.9063329696655,703.5724341869354,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_dm256_s1_decaymamba2,smat,2,16,16,128,2500,0.6323259472846985,0.82958984375,0.549749219790101,0.920 0.870 0.855 0.838,0.932 0.926 0.927 0.927,0.267 0.239 0.247 0.623,0.547 0.558 0.545 0.282,349.8639326095581,879.6430306434631,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_dm256_s1_decaymamba2,smat,2,16,16,128,3000,0.6366498470306396,0.830078125,0.5038288328796625,0.927 0.854 0.841 0.827,0.953 0.953 0.956 0.956,0.264 0.240 0.248 0.617,0.545 0.557 0.544 0.284,349.864408493042,1055.7085676193237,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_ag1_dm256_s1_decaymamba2,smat,2,16,16,128,500,4.1978325843811035,0.120849609375,3.942270115017891,0.784 0.695 0.648 0.883,0.957 0.957 0.957 0.957,0.345 0.381 0.361 0.935,0.473 0.424 0.485 0.061,351.3714895248413,176.90162301063538,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_ag1_dm256_s1_decaymamba2,smat,2,16,16,128,1000,1.9377779960632324,0.596435546875,1.6486997082829475,0.913 0.901 0.845 0.911,0.938 0.938 0.938 0.938,0.221 0.314 0.297 0.860,0.762 0.510 0.541 0.102,350.0804352760315,353.1609699726105,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_ag1_dm256_s1_decaymamba2,smat,2,16,16,128,1500,0.6777015328407288,0.88232421875,0.45095182210206985,0.926 0.863 0.774 0.910,0.957 0.957 0.957 0.957,0.131 0.308 0.329 0.835,0.873 0.561 0.495 0.127,350.42683506011963,529.595945596695,256,4,64,0,1,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_ag1_dm256_s1_decaymamba2,smat,2,16,16,128,2000,0.566050112247467,0.951416015625,0.1775180003605783,0.930 0.880 0.798 0.910,0.938 0.938 0.938 0.938,0.130 0.260 0.358 0.893,0.874 0.628 0.520 0.085,352.45195293426514,707.0440058708191,256,4,64,0,1,4160,3629632
