run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d1_T256_p4_zoo_signed_dm16_s0_decaymamba2,smat,1,4,64,2048,500,8.352981567382812,0.0,8.350175827741623,0.488 0.493,22.055139541625977,11.264606475830078,16,1,128,0,0,2176,281252
smat_d1_T256_p4_zoo_signed_dm16_s0_decaymamba2,smat,1,4,64,2048,1000,8.209123611450195,0.0,8.2054004073143,0.579 0.564,22.928062915802002,23.008578538894653,16,1,128,0,0,2176,281252
smat_d1_T256_p4_zoo_signed_dm16_s0_decaymamba2,smat,1,4,64,2048,1500,7.989523887634277,0.0029296875,7.993742808699608,0.520 0.486,21.014156341552734,33.73742175102234,16,1,128,0,0,2176,281252
smat_d1_T256_p4_zoo_signed_dm16_s0_decaymamba2,smat,1,4,64,2048,2000,7.802849769592285,0.00341796875,7.814552679657936,0.506 0.478,21.109549045562744,44.51675343513489,16,1,128,0,0,2176,281252
smat_d1_T256_p4_zoo_signed_dm16_s0_decaymamba2,smat,1,4,64,2048,2500,7.69856595993042,0.00390625,7.709343299269676,0.548 0.537,21.151526927947998,55.31422281265259,16,1,128,0,0,2176,281252
smat_d1_T256_p4_zoo_signed_dm16_s0_decaymamba2,smat,1,4,64,2048,3000,7.642594337463379,0.0087890625,7.609424129128456,0.485 0.492,21.12550401687622,66.1016480922699,16,1,128,0,0,2176,281252
smat_d1_T256_p4_zoo_signed_dm16_s0_decaymamba2,smat,1,4,64,2048,3500,7.507817268371582,0.01318359375,7.543551579117775,0.552 0.556,21.09285306930542,76.87312889099121,16,1,128,0,0,2176,281252
smat_d1_T256_p4_zoo_signed_dm16_s0_decaymamba2,smat,1,4,64,2048,4000,7.529320240020752,0.01025390625,7.524659216403961,0.467 0.474,21.11129093170166,87.65523290634155,16,1,128,0,0,2176,281252
smat_d1_T256_p4_zoo_signed_dm16_s0_decaymamba2,smat,1,4,64,2048,4500,7.451911926269531,0.01171875,7.498976171016693,0.547 0.557,21.08584976196289,98.42398285865784,16,1,128,0,0,2176,281252
smat_d1_T256_p4_zoo_signed_dm16_s0_decaymamba2,smat,1,4,64,2048,5000,7.508058547973633,0.0078125,7.491097405552864,0.508 0.518,21.11732244491577,109.20838642120361,16,1,128,0,0,2176,281252
