run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d1_T256_p4_zoo_dm16_s0_decaymamba2,smat,1,4,64,2048,500,8.359889030456543,0.0,8.351682960987091,0.484 0.491,22.153202056884766,11.339550971984863,16,1,64,0,0,1088,273060
smat_d1_T256_p4_zoo_dm16_s0_decaymamba2,smat,1,4,64,2048,1000,8.272936820983887,0.0009765625,8.236442893743515,0.429 0.544,20.173919200897217,21.66369867324829,16,1,64,0,0,1088,273060
smat_d1_T256_p4_zoo_dm16_s0_decaymamba2,smat,1,4,64,2048,1500,8.038774490356445,0.0,8.086150765419006,0.322 0.483,20.12710475921631,31.956559419631958,16,1,64,0,0,1088,273060
smat_d1_T256_p4_zoo_dm16_s0_decaymamba2,smat,1,4,64,2048,2000,7.980981826782227,0.00244140625,7.9558544009923935,0.278 0.499,20.179397583007812,42.25597405433655,16,1,64,0,0,1088,273060
smat_d1_T256_p4_zoo_dm16_s0_decaymamba2,smat,1,4,64,2048,2500,7.9360785484313965,0.00146484375,7.936718553304672,0.326 0.555,20.402035236358643,52.67504024505615,16,1,64,0,0,1088,273060
smat_d1_T256_p4_zoo_dm16_s0_decaymamba2,smat,1,4,64,2048,3000,7.898155689239502,0.00244140625,7.887870475649834,0.394 0.518,20.233880043029785,63.00843858718872,16,1,64,0,0,1088,273060
smat_d1_T256_p4_zoo_dm16_s0_decaymamba2,smat,1,4,64,2048,3500,7.565912246704102,0.00439453125,7.594454690814018,0.517 0.577,20.01553249359131,73.22692537307739,16,1,64,0,0,1088,273060
smat_d1_T256_p4_zoo_dm16_s0_decaymamba2,smat,1,4,64,2048,4000,7.303412914276123,0.0107421875,7.337466388940811,0.445 0.485,20.79772663116455,83.83770251274109,16,1,64,0,0,1088,273060
smat_d1_T256_p4_zoo_dm16_s0_decaymamba2,smat,1,4,64,2048,4500,7.240280628204346,0.01171875,7.21358685195446,0.513 0.571,20.425122261047363,94.27893018722534,16,1,64,0,0,1088,273060
smat_d1_T256_p4_zoo_dm16_s0_decaymamba2,smat,1,4,64,2048,5000,7.091981887817383,0.01171875,7.11945141851902,0.495 0.527,20.299609184265137,104.66596102714539,16,1,64,0,0,1088,273060
