task,backbone,width,variant,seed_123,seed_1,seed_2,seed_3,seed_4,mean,sample_sd
mqar,GDN,16,Native,35.705625000000005,43.12125,54.1884375,51.96093750000001,51.345625,47.264375,7.704335284613096
mqar,GDN,16,Log-Linear,52.7909375,50.956562500000004,28.770625,50.737500000000004,52.751875000000005,47.2015,10.348302008681939
mqar,GDN,16,SMat d=2,50.040937500000005,43.3384375,56.08375,49.4621875,45.6565625,48.916375,4.86501749177868
mqar,GDN,16,SMat d=3,48.8384375,47.0234375,40.3475,39.828125,46.1275,44.433,4.089185746375356
mqar,GDN,16,SMat d=4,46.0346875,42.7728125,45.09375,37.735,43.476875,43.022625,3.2245079763357887
mqar,GDN,32,Native,69.86218749999999,61.03937499999999,61.076562499999994,76.339375,58.6459375,65.3926875,7.465006660637309
mqar,GDN,32,Log-Linear,57.7971875,77.5603125,69.88187500000001,64.82,60.47,66.105875,7.87262922957306
mqar,GDN,32,SMat d=2,70.2603125,69.3978125,70.5403125,58.179375,66.9321875,67.062,5.164827172961598
mqar,GDN,32,SMat d=3,82.7790625,76.34406249999999,80.1009375,70.596875,68.488125,75.6618125,6.0815690330947385
mqar,GDN,32,SMat d=4,82.54875,66.2196875,76.86937499999999,75.63375,87.7084375,77.796,8.068302482627423
mqar,GDN,64,Native,77.0459375,76.70812500000001,73.640625,59.36781249999999,75.345,72.4215,7.419441546459422
mqar,GDN,64,Log-Linear,76.5521875,77.9365625,75.44125000000001,78.9325,81.7125,78.11500000000001,2.4100557262261844
mqar,GDN,64,SMat d=2,89.6834375,58.1415625,61.525625,76.4378125,70.53125,71.2639375,12.585857635919796
mqar,GDN,64,SMat d=3,82.6784375,78.163125,72.97437500000001,86.71656250000001,92.72375000000001,82.65125,7.611963230896197
mqar,GDN,64,SMat d=4,88.09625,72.165,81.6921875,80.1984375,73.24625,79.07962500000001,6.542496721406082
mqar,Mamba-2,16,Native,42.0275,37.324374999999996,40.84375,41.469375,44.7421875,41.2814375,2.6654565414237688
mqar,Mamba-2,16,Log-Linear,42.222500000000004,40.027499999999996,40.08625,43.378125,57.15375,44.573625,7.176704343525308
mqar,Mamba-2,16,SMat d=2,43.116875,53.518125000000005,48.699062500000004,51.755625,46.1878125,48.6555,4.184006545344354
mqar,Mamba-2,16,SMat d=3,59.4746875,60.3015625,60.1375,45.294062499999995,64.94625,58.0308125,7.445255018797002
mqar,Mamba-2,16,SMat d=4,44.666250000000005,45.342187499999994,47.199374999999996,60.623125,57.573125000000005,51.0808125,7.455699757044105
mqar,Mamba-2,32,Native,77.243125,65.70625,66.385,77.0284375,79.4765625,73.167875,6.576366478873659
mqar,Mamba-2,32,Log-Linear,80.92375000000001,69.020625,69.698125,79.10187499999999,64.5671875,72.6623125,7.023152050650941
mqar,Mamba-2,32,SMat d=2,75.68468750000001,70.7553125,75.4121875,75.216875,76.87937500000001,74.7896875,2.3459537451981842
mqar,Mamba-2,32,SMat d=3,83.9890625,81.0509375,76.41624999999999,73.2584375,71.37531249999999,77.218,5.2677469741431
mqar,Mamba-2,32,SMat d=4,84.218125,74.3009375,78.3340625,83.1515625,84.28687500000001,80.8583125,4.406625164657969
mqar,Mamba-2,64,Native,83.91999999999999,93.77875,86.325,83.063125,85.905625,86.5985,4.2362750949020676
mqar,Mamba-2,64,Log-Linear,84.93437499999999,84.1034375,88.4021875,86.83625,88.5315625,86.5615625,2.002147053107149
mqar,Mamba-2,64,SMat d=2,90.51375,92.815,91.5078125,92.79906249999999,91.9659375,91.9203125,0.9647957351413141
mqar,Mamba-2,64,SMat d=3,90.0965625,93.3053125,95.048125,89.98875,95.2590625,92.7395625,2.5763264806242283
mqar,Mamba-2,64,SMat d=4,93.0165625,95.10437499999999,93.135625,93.715,91.30875,93.2560625,1.3684639327202737
joint,GDN,64,Native,49.3146875,50.69328125,62.507421875000006,54.327167968750004,56.330156249999995,54.63454296875,5.215031452607121
joint,GDN,64,Log-Linear (fast),7.916308593750002,56.318300781249995,56.36521484375,63.73378906249999,53.29783203125,47.5262890625,22.474265261927734
joint,GDN,64,SMat d=2,45.4329296875,45.383359375000005,46.0715625,55.2758203125,53.10296875,49.053328125,4.75883073689876
joint,GDN,64,SMat d=3,62.987773437499996,57.659550781250005,51.50568359375001,58.935234375,53.22820312500001,56.8632890625,4.592224000801425
joint,GDN,64,SMat d=4,57.74900390625002,49.111699218750005,64.34525390625,63.849218750000006,66.7156640625,60.354167968750005,7.102688977811341
joint,Mamba-2,64,Native,47.548886718750005,70.37685546875,78.7153125,35.478222656250004,69.03044921875001,60.2299453125,17.997044731633526
joint,Mamba-2,64,Log-Linear (fast),84.91603515625,45.336484375000005,79.55337890624999,67.76158203125,50.760878906249985,65.665671875,17.34406562977995
joint,Mamba-2,64,SMat d=2,50.593378906249995,53.661640625000004,65.74435546875,58.040429687499994,63.171152343749995,58.24219140625,6.326602711072242
joint,Mamba-2,64,SMat d=3,58.479394531249994,64.78103515625,56.21494140625,61.68451171875,59.85046875,60.2020703125,3.246266470284557
joint,Mamba-2,64,SMat d=4,41.6731640625,67.93794921875,77.02884765625,67.7634375,57.754140625000005,62.4315078125,13.459376849586175
