task,family,width,d,split,cell,n,seeds,mean,std
joint,gdn_current,64,1,test,c1-k4,5,"[123, 1, 2, 3, 4]",99.935,0.11009583893136463
joint,gdn_current,64,1,test,c16-k16,5,"[123, 1, 2, 3, 4]",25.30388671875,7.011237871482945
joint,gdn_current,64,1,test,c2-k8,5,"[123, 1, 2, 3, 4]",93.5703125,4.6041115340072
joint,gdn_current,64,1,test,c32-k16,5,"[123, 1, 2, 3, 4]",18.204042968750002,4.353130000098562
joint,gdn_current,64,1,test,c8-k16,5,"[123, 1, 2, 3, 4]",36.30765625,11.04670616476272
joint,gdn_current,64,1,test,macro,5,"[123, 1, 2, 3, 4]",54.6641796875,5.211451571014161
joint,gdn_current,64,1,validation,c1-k4,5,"[123, 1, 2, 3, 4]",99.9525,0.06459005341381725
joint,gdn_current,64,1,validation,c16-k16,5,"[123, 1, 2, 3, 4]",25.257890624999998,7.072145300742601
joint,gdn_current,64,1,validation,c2-k8,5,"[123, 1, 2, 3, 4]",93.519375,4.57632131704877
joint,gdn_current,64,1,validation,c32-k16,5,"[123, 1, 2, 3, 4]",18.18896484375,4.365187225565068
joint,gdn_current,64,1,validation,c8-k16,5,"[123, 1, 2, 3, 4]",36.253984375,11.02231158705686
joint,gdn_current,64,1,validation,macro,5,"[123, 1, 2, 3, 4]",54.63454296875,5.215031452607121
joint,gdn_current,64,2,test,c1-k4,5,"[123, 1, 2, 3, 4]",99.685,0.22705657334682045
joint,gdn_current,64,2,test,c16-k16,5,"[123, 1, 2, 3, 4]",20.4837109375,10.394319713070013
joint,gdn_current,64,2,test,c2-k8,5,"[123, 1, 2, 3, 4]",86.48125,10.184106269467756
joint,gdn_current,64,2,test,c32-k16,5,"[123, 1, 2, 3, 4]",13.525273437500001,4.425215974833498
joint,gdn_current,64,2,test,c8-k16,5,"[123, 1, 2, 3, 4]",25.198203125,5.44745250518388
joint,gdn_current,64,2,test,macro,5,"[123, 1, 2, 3, 4]",49.074687499999996,4.7629949517610735
joint,gdn_current,64,2,validation,c1-k4,5,"[123, 1, 2, 3, 4]",99.69500000000001,0.270214035534795
joint,gdn_current,64,2,validation,c16-k16,5,"[123, 1, 2, 3, 4]",20.505859375,10.40563569417946
joint,gdn_current,64,2,validation,c2-k8,5,"[123, 1, 2, 3, 4]",86.359375,10.144930230169159
joint,gdn_current,64,2,validation,c32-k16,5,"[123, 1, 2, 3, 4]",13.5078125,4.43115048101717
joint,gdn_current,64,2,validation,c8-k16,5,"[123, 1, 2, 3, 4]",25.19859375,5.443011372644226
joint,gdn_current,64,2,validation,macro,5,"[123, 1, 2, 3, 4]",49.053328125,4.75883073689876
joint,gdn_current,64,3,test,c1-k4,5,"[123, 1, 2, 3, 4]",99.81,0.16145094069096952
joint,gdn_current,64,3,test,c16-k16,5,"[123, 1, 2, 3, 4]",30.113203125000002,6.614199137890544
joint,gdn_current,64,3,test,c2-k8,5,"[123, 1, 2, 3, 4]",91.19125,4.433676637441053
joint,gdn_current,64,3,test,c32-k16,5,"[123, 1, 2, 3, 4]",22.613583984375,4.814774116558515
joint,gdn_current,64,3,test,c8-k16,5,"[123, 1, 2, 3, 4]",40.5298046875,7.9060278923590666
joint,gdn_current,64,3,test,macro,5,"[123, 1, 2, 3, 4]",56.85156835937501,4.5964211799598775
joint,gdn_current,64,3,validation,c1-k4,5,"[123, 1, 2, 3, 4]",99.83,0.15476797149281463
joint,gdn_current,64,3,validation,c16-k16,5,"[123, 1, 2, 3, 4]",30.111562499999998,6.586682520311917
joint,gdn_current,64,3,validation,c2-k8,5,"[123, 1, 2, 3, 4]",91.299375,4.498689262232389
joint,gdn_current,64,3,validation,c32-k16,5,"[123, 1, 2, 3, 4]",22.5994921875,4.811047828551544
joint,gdn_current,64,3,validation,c8-k16,5,"[123, 1, 2, 3, 4]",40.476015625,7.895370815234616
joint,gdn_current,64,3,validation,macro,5,"[123, 1, 2, 3, 4]",56.8632890625,4.592224000801425
joint,gdn_current,64,4,test,c1-k4,5,"[123, 1, 2, 3, 4]",99.83625,0.18897337775464387
joint,gdn_current,64,4,test,c16-k16,5,"[123, 1, 2, 3, 4]",33.2183984375,8.64018385344942
joint,gdn_current,64,4,test,c2-k8,5,"[123, 1, 2, 3, 4]",92.6578125,6.922822751848816
joint,gdn_current,64,4,test,c32-k16,5,"[123, 1, 2, 3, 4]",24.813466796875,7.743800417679769
joint,gdn_current,64,4,test,c8-k16,5,"[123, 1, 2, 3, 4]",51.223828125000004,13.309101387287239
joint,gdn_current,64,4,test,macro,5,"[123, 1, 2, 3, 4]",60.349951171875,7.091628674715424
joint,gdn_current,64,4,validation,c1-k4,5,"[123, 1, 2, 3, 4]",99.82,0.17712989583918634
joint,gdn_current,64,4,validation,c16-k16,5,"[123, 1, 2, 3, 4]",33.2,8.656946763183289
joint,gdn_current,64,4,validation,c2-k8,5,"[123, 1, 2, 3, 4]",92.788125,6.870516435738292
joint,gdn_current,64,4,validation,c32-k16,5,"[123, 1, 2, 3, 4]",24.80162109375,7.762331025684789
