position,nll
0.000000000000000000e+00,6.634663519890684036e+00
1.000000000000000000e+00,5.430267051489193086e+00
2.000000000000000000e+00,5.505066980973903235e+00
3.000000000000000000e+00,4.832801600222745186e+00
4.000000000000000000e+00,4.634592121730459979e+00
5.000000000000000000e+00,4.977648835094632851e+00
6.000000000000000000e+00,4.428428934519423876e+00
7.000000000000000000e+00,4.723892686506013128e+00
8.000000000000000000e+00,3.913453613603977477e+00
9.000000000000000000e+00,4.637600960537383799e+00
1.000000000000000000e+01,4.703430897729336202e+00
1.100000000000000000e+01,4.398094092152620149e+00
1.200000000000000000e+01,4.497775179309476457e+00
1.300000000000000000e+01,4.021481405266585263e+00
1.400000000000000000e+01,3.876635420028928802e+00
1.500000000000000000e+01,4.128403195323985919e+00
1.600000000000000000e+01,4.054222715673140520e+00
1.700000000000000000e+01,3.903717942613231795e+00
1.800000000000000000e+01,3.800913835926621687e+00
1.900000000000000000e+01,3.739878544895442136e+00
2.000000000000000000e+01,4.476481583032421163e+00
2.100000000000000000e+01,4.003923000089630868e+00
2.200000000000000000e+01,4.016497876124431876e+00
2.300000000000000000e+01,4.058743086282016854e+00
2.400000000000000000e+01,3.648239872744613255e+00
2.500000000000000000e+01,3.978617679300154197e+00
2.600000000000000000e+01,3.964889590787750162e+00
2.700000000000000000e+01,4.095394055509180120e+00
2.800000000000000000e+01,3.883394977592519837e+00
2.900000000000000000e+01,4.201120989797345828e+00
3.000000000000000000e+01,3.703748558688139791e+00
3.100000000000000000e+01,4.253471149756621550e+00
3.200000000000000000e+01,3.925624747080866062e+00
3.300000000000000000e+01,3.980087105394647384e+00
3.400000000000000000e+01,4.134790356176955228e+00
3.500000000000000000e+01,4.295232750231853025e+00
3.600000000000000000e+01,3.598186573350654616e+00
3.700000000000000000e+01,4.212974044960757780e+00
3.800000000000000000e+01,3.957977410116798378e+00
3.900000000000000000e+01,3.715199753965287677e+00
4.000000000000000000e+01,3.824731012455518275e+00
4.100000000000000000e+01,3.326812021159639698e+00
4.200000000000000000e+01,3.451621279995809921e+00
4.300000000000000000e+01,3.943045971241142311e+00
4.400000000000000000e+01,3.714433619109944296e+00
4.500000000000000000e+01,4.075126457305917604e+00
4.600000000000000000e+01,4.113272540251728060e+00
4.700000000000000000e+01,3.715681718085474206e+00
4.800000000000000000e+01,4.118201872005987418e+00
4.900000000000000000e+01,3.612793910106502970e+00
5.000000000000000000e+01,3.852499631114417067e+00
5.100000000000000000e+01,3.611095254093637852e+00
5.200000000000000000e+01,3.814442285759516604e+00
5.300000000000000000e+01,3.541172009822299405e+00
5.400000000000000000e+01,3.853555008301507101e+00
5.500000000000000000e+01,4.397208686911892705e+00
5.600000000000000000e+01,4.181310810319891935e+00
5.700000000000000000e+01,3.810603088291276919e+00
5.800000000000000000e+01,3.849682590730600484e+00
5.900000000000000000e+01,3.489850265659410145e+00
6.000000000000000000e+01,3.976774869319342542e+00
6.100000000000000000e+01,3.934117260437280716e+00
6.200000000000000000e+01,3.561359171329298245e+00
6.300000000000000000e+01,3.726214765973616672e+00
6.400000000000000000e+01,3.968316356427557423e+00
6.500000000000000000e+01,3.873565103705148172e+00
6.600000000000000000e+01,3.940772476877770547e+00
6.700000000000000000e+01,3.740799607843032781e+00
6.800000000000000000e+01,3.868892259233689401e+00
6.900000000000000000e+01,3.940298670413061366e+00
7.000000000000000000e+01,3.798078846601320446e+00
7.100000000000000000e+01,3.821498354348920490e+00
7.200000000000000000e+01,3.555771207134775125e+00
7.300000000000000000e+01,3.663775461731825889e+00
7.400000000000000000e+01,4.056009080297754643e+00
7.500000000000000000e+01,3.639248694616454394e+00
7.600000000000000000e+01,3.777520956459269108e+00
7.700000000000000000e+01,4.024700821165663633e+00
7.800000000000000000e+01,4.000658755962783530e+00
7.900000000000000000e+01,3.945873148151899823e+00
8.000000000000000000e+01,3.501103367568295877e+00
8.100000000000000000e+01,3.809823585372405841e+00
8.200000000000000000e+01,3.565482902382762553e+00
8.300000000000000000e+01,3.889728054050417327e+00
8.400000000000000000e+01,3.909713919575886543e+00
8.500000000000000000e+01,3.813988172278569344e+00
8.600000000000000000e+01,3.797794022939725345e+00
8.700000000000000000e+01,4.223932616725122990e+00
8.800000000000000000e+01,3.687589913774373507e+00
8.900000000000000000e+01,4.318151302072404718e+00
9.000000000000000000e+01,4.154109639917135333e+00
9.100000000000000000e+01,3.737371759420667239e+00
9.200000000000000000e+01,4.143543921721103196e+00
9.300000000000000000e+01,3.444311546045824901e+00
9.400000000000000000e+01,4.042389995063522257e+00
9.500000000000000000e+01,3.631193511927353512e+00
9.600000000000000000e+01,3.817039761622924576e+00
9.700000000000000000e+01,4.071312132824938423e+00
9.800000000000000000e+01,3.527846314561931873e+00
9.900000000000000000e+01,3.898179860163700550e+00
1.000000000000000000e+02,4.732421503720328104e+00
1.010000000000000000e+02,3.831903347077624478e+00
1.020000000000000000e+02,4.051979951861133245e+00
1.030000000000000000e+02,3.665428937459912273e+00
1.040000000000000000e+02,3.543770254249944518e+00
1.050000000000000000e+02,3.474375585818757717e+00
1.060000000000000000e+02,3.698789614272156356e+00
1.070000000000000000e+02,3.541029385380265904e+00
1.080000000000000000e+02,3.874481207700323449e+00
1.090000000000000000e+02,3.792223546454519312e+00
1.100000000000000000e+02,3.961246611041228771e+00
1.110000000000000000e+02,4.294842664008707622e+00
1.120000000000000000e+02,3.765373562510304417e+00
1.130000000000000000e+02,4.127560748062789386e+00
1.140000000000000000e+02,4.225192038410328976e+00
1.150000000000000000e+02,3.780657691904150575e+00
1.160000000000000000e+02,3.716062714657326627e+00
1.170000000000000000e+02,4.302608778574386506e+00
1.180000000000000000e+02,4.285089974041451200e+00
1.190000000000000000e+02,4.320523061636394324e+00
1.200000000000000000e+02,3.654067900342780284e+00
1.210000000000000000e+02,3.855567435283608013e+00
1.220000000000000000e+02,4.073555829993557253e+00
1.230000000000000000e+02,4.078963929499495045e+00
1.240000000000000000e+02,4.092067074169790430e+00
1.250000000000000000e+02,3.718323863649857230e+00
1.260000000000000000e+02,3.904047809600150742e+00
1.270000000000000000e+02,3.798500973369395961e+00
1.280000000000000000e+02,3.857255780887881791e+00
1.290000000000000000e+02,4.288993672007276103e+00
1.300000000000000000e+02,4.107503570499829948e+00
1.310000000000000000e+02,4.049173942656794978e+00
1.320000000000000000e+02,3.969202500314215509e+00
1.330000000000000000e+02,3.815615216880096749e+00
1.340000000000000000e+02,4.060377819844593006e+00
1.350000000000000000e+02,4.059763509605928355e+00
1.360000000000000000e+02,3.731269867201238988e+00
1.370000000000000000e+02,3.538534298385534793e+00
1.380000000000000000e+02,3.999051341325543518e+00
1.390000000000000000e+02,3.834142063854462545e+00
1.400000000000000000e+02,4.222098412220044672e+00
1.410000000000000000e+02,3.900939700554556744e+00
1.420000000000000000e+02,3.964202667077953990e+00
1.430000000000000000e+02,3.939130703726493099e+00
1.440000000000000000e+02,3.796106840709877250e+00
1.450000000000000000e+02,3.656437048501653297e+00
1.460000000000000000e+02,3.687920559496857820e+00
1.470000000000000000e+02,4.181276369373287949e+00
1.480000000000000000e+02,3.726784557364226202e+00
1.490000000000000000e+02,3.821227032815122993e+00
1.500000000000000000e+02,3.762221629069574025e+00
1.510000000000000000e+02,3.849593788425600405e+00
1.520000000000000000e+02,3.797966082485800143e+00
1.530000000000000000e+02,4.383664109395459363e+00
1.540000000000000000e+02,3.778748218780253243e+00
1.550000000000000000e+02,3.069169713313098402e+00
1.560000000000000000e+02,3.622358026405459785e+00
1.570000000000000000e+02,4.034377636903291986e+00
1.580000000000000000e+02,3.875909604675957354e+00
1.590000000000000000e+02,4.214290931064169854e+00
1.600000000000000000e+02,3.528707998439226667e+00
1.610000000000000000e+02,3.785262248882453662e+00
1.620000000000000000e+02,4.072703923962667005e+00
1.630000000000000000e+02,4.007460929157284468e+00
1.640000000000000000e+02,4.416129785094151217e+00
1.650000000000000000e+02,4.088235517019232823e+00
1.660000000000000000e+02,3.886919266438206400e+00
1.670000000000000000e+02,3.743663359483240249e+00
1.680000000000000000e+02,3.432769935354754942e+00
1.690000000000000000e+02,3.623805721166966531e+00
1.700000000000000000e+02,4.337069532166903052e+00
1.710000000000000000e+02,3.713244326155338282e+00
1.720000000000000000e+02,3.801843001063580640e+00
1.730000000000000000e+02,3.858785860561702474e+00
1.740000000000000000e+02,3.505588765234536108e+00
1.750000000000000000e+02,3.797052041608008022e+00
1.760000000000000000e+02,3.764570617976531697e+00
1.770000000000000000e+02,3.898384865965406121e+00
1.780000000000000000e+02,3.475420760092940764e+00
1.790000000000000000e+02,4.121320492417381409e+00
1.800000000000000000e+02,3.901779614545567210e+00
1.810000000000000000e+02,3.701938979276459651e+00
1.820000000000000000e+02,4.147700499391391737e+00
1.830000000000000000e+02,4.115987697044790394e+00
1.840000000000000000e+02,4.024943312622398572e+00
1.850000000000000000e+02,3.827828405421122682e+00
1.860000000000000000e+02,3.798706097126652637e+00
1.870000000000000000e+02,3.520090930889923975e+00
