T,d,nb,r,d_qk,d_v,chunk,dtype,device,triton,build_ms,build_total_ms,stage_ms,kind,q,B,N0,n,T_R,I_prof,I_tok,deg,incidence_exact,pool_gain,featurise_ms,prefill_ms,prefill_peak_MB,phase_lr_pool_ms,phase_lr_incidence_ms,phase_lr_query_ms,phase_scan_ms,phase_normalise_ms,phase_lr_total_ms,prefill_torch_ms,prefill_torch_peak_MB,torchphase_lr_pool_ms,torchphase_lr_incidence_ms,torchphase_lr_query_ms,torchphase_scan_ms,torchphase_normalise_ms,prefill_direct_ms,phase_direct_incidence_ms,prefill_subtractive_ms,retained_fraction,retained_predicted,relerr_additive_fp32,relerr_subtractive_fp32,relerr_additive_bf16,relerr_subtractive_bf16,decode_us_per_token,cache_words,kv_cache_words,cache_ratio,sdpa_ms,dense_masked_ms,build_prime_ms,build_directions_ms,build_incidence_ms,build_reorder_ms
4096,1,8,64,64,64,128,bf16,cuda,True,0.01864694058895111,0.01510418951511383,184.62660908699036,geometric,0,1,1,2048,2048,1,2048,1,True,2048.0,0.16835199296474457,1.4456000328063965,28.56640625,0.33055999875068665,0.15119999647140503,0.21964800357818604,0.47152000665664673,0.14771200716495514,0.7014079988002777,0.9278079867362976,60.84765625,0.23846399784088135,0.07094399631023407,0.15052799880504608,0.4970239996910095,0.054016001522541046,0.8819519877433777,0.2571839988231659,0.7003840208053589,1.0,1.0,9.839292065609699e-08,9.839292065609699e-08,0.0014790867878061618,0.0014790867878061618,116.71750247478485,66560,4194304,0.015869140625,0.3319680094718933,2.7966721057891846,,,,
8192,1,8,64,64,64,128,bf16,cuda,True,0.008089467883110046,0.006282702088356018,0.2304520457983017,geometric,0,1,1,4096,4096,1,4096,1,True,4096.0,0.2513599991798401,1.0286719799041748,56.87890625,0.3651520013809204,0.01158399973064661,0.12947200238704681,0.3795520067214966,0.09737599641084671,0.5062080034986138,1.49782395362854,121.41015625,0.35183998942375183,0.03859199956059456,0.13126400113105774,0.8259199857711792,0.09571199864149094,1.439743995666504,0.42073601484298706,1.0245440006256104,1.0,1.0,9.85416086757187e-08,9.85416086757187e-08,0.0014824777244829383,0.0014824777244829383,112.48850077390671,66560,8388608,0.0079345703125,1.0185920000076294,,,,,
16384,1,8,64,64,64,128,bf16,cuda,True,0.0072177499532699585,0.005695968866348267,0.1803562045097351,geometric,0,1,1,8192,8192,1,8192,1,True,8192.0,0.40694400668144226,1.8003519773483276,113.50390625,0.5861759781837463,0.01056000031530857,0.20825600624084473,0.6874880194664001,0.1212799996137619,0.8049919847398996,1.734112024307251,242.53515625,0.36323198676109314,0.023391999304294586,0.12905600666999817,1.0119999647140503,0.1189119964838028,1.6496319770812988,0.4538559913635254,1.1936320066452026,1.0,1.0,9.836928556631315e-08,9.836928556631315e-08,0.0014880573281293398,0.0014880573281293398,114.72450196743011,66560,16777216,0.00396728515625,1.88428795337677,,,,,
32768,1,8,64,64,64,128,bf16,cuda,True,0.00724010169506073,0.005709007382392883,0.22296421229839325,geometric,0,1,1,16384,16384,1,16384,1,True,16384.0,0.5567039847373962,2.311232089996338,226.75390625,0.6404479742050171,0.006816000211983919,0.24806399643421173,0.976032018661499,0.22089600563049316,0.8953279708512127,3.2217600345611572,486.78515625,0.6363199949264526,0.02239999920129776,0.24508799612522125,1.916416049003601,0.22102400660514832,3.0994880199432373,0.8472639918327332,2.2281599044799805,,,,,,,115.10899662971497,66560,33554432,0.001983642578125,7.780992031097412,,,,,
65536,1,8,64,64,64,128,bf16,cuda,True,0.006923452019691467,0.005405396223068237,0.3208182752132416,geometric,0,1,1,32768,32768,1,32768,1,True,32768.0,1.0789439678192139,4.691296100616455,453.25390625,1.1625920534133911,0.006399999838322401,0.4610559940338135,1.9071680307388306,0.4217599928379059,1.630048047285527,6.170720100402832,969.28515625,1.155743956565857,0.02332800067961216,0.46294400095939636,3.724031925201416,0.4217599928379059,5.945216178894043,1.6308159828186035,4.2600321769714355,,,,,,,117.467500269413,66560,67108864,0.0009918212890625,28.92323112487793,,,,,
131072,1,8,64,64,64,128,bf16,cuda,True,0.01389719545841217,0.012177973985671997,0.5295407027006149,geometric,0,1,1,65536,65536,1,65536,1,True,65536.0,2.035775899887085,8.468064308166504,906.25390625,2.1978559494018555,0.00687999976798892,0.8952640295028687,3.7348480224609375,0.8257279992103577,3.099999978672713,12.068191528320312,1938.28515625,2.2165439128875732,0.023072000592947006,0.9064000248908997,7.318751811981201,0.8284800052642822,11.637887954711914,3.2161920070648193,8.36188793182373,,,,,,,117.23800003528595,66560,134217728,0.00049591064453125,117.68511962890625,,,,,
262144,1,8,64,64,64,128,bf16,cuda,True,0.009194016456604004,0.0074803829193115234,1.1405497789382935,geometric,0,1,1,131072,131072,1,131072,1,True,131072.0,4.044447898864746,16.851423263549805,1812.25390625,4.359007835388184,0.007040000054985285,1.7980480194091797,7.471136093139648,1.6375999450683594,6.164095854852349,24.089920043945312,3876.28515625,4.333024024963379,0.02380800060927868,1.803104043006897,14.759936332702637,1.6424000263214111,23.223648071289062,6.518655776977539,16.559328079223633,,,,,,,111.65399849414825,66560,268435456,0.000247955322265625,492.9911804199219,,,,,
4096,2,8,64,64,64,128,bf16,cuda,True,0.4508495330810547,0.4329998046159744,0.3052651882171631,geometric,47,47,47,2048,2048,47,2048,1,True,43.57446808510638,0.16435199975967407,0.871999979019165,40.35595703125,0.2611519992351532,0.10636799782514572,0.23651200532913208,0.27904000878334045,0.0719040036201477,0.604032002389431,0.8993279933929443,72.63720703125,0.24902400374412537,0.09958399832248688,0.23632000386714935,0.3659200072288513,0.06758400052785873,0.9755839705467224,0.25305598974227905,0.8516479730606079,0.021282313940804064,0.02127659574468085,8.981323630692451e-08,6.4145325132942e-06,0.0012839457376055275,0.09452476737284435,115.25700241327286,1597440,4194304,0.380859375,0.1934400051832199,1.7324479818344116,0.0077076256275177,0.050654634833335876,0.05507469177246094,0.3063306212425232
8192,2,8,64,64,64,128,bf16,cuda,True,0.25896355509757996,0.24405308067798615,0.2335086464881897,geometric,67,67,67,4096,4096,67,4096,1,True,61.134328358208954,0.17440000176429749,0.7965440154075623,73.63671875,0.10447999835014343,0.08515200018882751,0.26627200841903687,0.33113598823547363,0.06364800035953522,0.4559040069580078,1.1550719738006592,138.16796875,0.2556160092353821,0.111455999314785,0.2465279996395111,0.5518720149993896,0.06380800157785416,1.0658559799194336,0.4085119962692261,0.7772799730300903,0.014924795839866814,0.014925373134328358,9.817773801677236e-08,9.261295836457673e-06,0.001537113035363594,0.1576699764089388,118.11699718236923,2263040,8388608,0.269775390625,0.5581120252609253,,0.006008893251419067,0.03943592309951782,0.02349168062210083,0.16465410590171814
16384,2,8,64,64,64,128,bf16,cuda,True,0.22373534739017487,0.20592845976352692,0.19973888993263245,geometric,97,97,97,8192,8192,97,8192,1,True,84.45360824742268,0.27055999636650085,1.1582080125808716,137.87890625,0.12387199699878693,0.07916799932718277,0.30723199248313904,0.4965119957923889,0.11980800330638885,0.5102719888091087,1.9519360065460205,266.91015625,0.39449599385261536,0.08857599645853043,0.2574400007724762,1.0035840272903442,0.11935999989509583,1.4992320537567139,0.4610239863395691,1.1762239933013916,0.010309361125256544,0.010309278350515464,9.08952559116521e-08,1.3455891523347334e-05,0.0012397145503704413,0.19478424345018544,117.31699854135513,3261440,16777216,0.19439697265625,1.87990403175354,,0.005183741450309753,0.0398736447095871,0.01726672053337097,0.1361984759569168
