T,d,nb,r,d_qk,d_v,chunk,dtype,device,triton,build_ms,build_total_ms,stage_ms,kind,q,B,N0,n,T_R,I_prof,I_tok,deg,incidence_exact,pool_gain,featurise_ms,prefill_ms,prefill_ms_p25,prefill_ms_p75,prefill_ms_min,prefill_ms_n,prefill_peak_MB,phase_lr_pool_ms,phase_lr_incidence_ms,phase_lr_query_ms,phase_scan_ms,phase_normalise_ms,phase_lr_total_ms,prefill_torch_ms,prefill_torch_peak_MB,torchphase_lr_pool_ms,torchphase_lr_incidence_ms,torchphase_lr_query_ms,torchphase_scan_ms,torchphase_normalise_ms,prefill_direct_ms,phase_direct_incidence_ms,prefill_subtractive_ms,retained_fraction,retained_predicted,relerr_additive_fp32,relerr_subtractive_fp32,relerr_additive_bf16,relerr_subtractive_bf16,decode_us_per_token,cache_words,kv_cache_words,cache_ratio,sdpa_ms,sdpa_ms_p25,sdpa_ms_p75,sdpa_ms_min,sdpa_ms_n,dense_masked_ms,build_prime_ms,build_directions_ms,build_incidence_ms,build_reorder_ms
4096,1,8,64,64,64,128,bf16,cuda,True,0.01567043364048004,0.010592862963676453,170.56545708328485,geometric,0,1,1,2048,2048,1,2048,1,True,2048.0,0.11180800199508667,1.3803839683532715,1.2061920166015625,1.4954240322113037,1.0179200172424316,15,28.56640625,0.2763519883155823,0.16208000481128693,0.1927040070295334,0.4487679898738861,0.10438399761915207,0.6311360001564026,0.6066880226135254,60.84765625,0.14060799777507782,0.09318400174379349,0.09913600236177444,0.3166399896144867,0.059007998555898666,0.6727039813995361,0.22220799326896667,0.5380480289459229,1.0,1.0,3.733278306970205e-05,3.733278306970205e-05,0.0014844749728648167,0.0014844749728648167,160.98999977111816,66560,4194304,0.015869140625,0.15462400019168854,0.15428800135850906,0.1565760001540184,0.15353600680828094,15,0.7329919934272766,,,,
8192,1,8,64,64,64,128,bf16,cuda,True,0.01093931496143341,0.008692964911460876,0.40644314140081406,geometric,0,1,1,4096,4096,1,4096,1,True,4096.0,0.11494400352239609,0.5470719933509827,0.5406079888343811,0.5619840025901794,0.5242559909820557,15,56.87890625,0.16908800601959229,0.08505599945783615,0.10364799946546555,0.27004799246788025,0.06579200178384781,0.357792004942894,0.6052160263061523,121.41015625,0.16105599701404572,0.08892799913883209,0.10003200173377991,0.3524160087108612,0.059039998799562454,0.6668800115585327,0.22739200294017792,0.557856023311615,1.0,1.0,3.626982839189882e-05,3.626982839189882e-05,0.0014833380498179072,0.0014833380498179072,88.69600296020508,66560,8388608,0.0079345703125,0.3463360071182251,0.34545598924160004,0.34888000786304474,0.33318400382995605,15,,,,,
16384,1,8,64,64,64,128,bf16,cuda,True,0.010031275451183319,0.008190982043743134,0.37925876677036285,geometric,0,1,1,8192,8192,1,8192,1,True,8192.0,0.12934400141239166,0.6262080073356628,0.6211839914321899,0.631600022315979,0.6026880145072937,15,114.00390625,0.22899200022220612,0.04198399931192398,0.10550399869680405,0.31174400448799133,0.06409599632024765,0.37647999823093414,0.8102399706840515,242.53515625,0.20272000133991241,0.06169600039720535,0.09974399954080582,0.4774079918861389,0.06374400109052658,0.8130879998207092,0.22572800517082214,0.6424000263214111,1.0,1.0,4.7896316833963725e-05,4.7896316833963725e-05,0.0014858035919173,0.0014858035919173,87.13150024414062,66560,16777216,0.00396728515625,1.1179200410842896,1.0960800051689148,1.131216049194336,1.083008050918579,15,,,,,
32768,1,8,64,64,64,128,bf16,cuda,True,0.008265487849712372,0.006495043635368347,0.4188120365142822,geometric,0,1,1,16384,16384,1,16384,1,True,16384.0,0.24687999486923218,1.0791679620742798,1.0783360004425049,1.0819520354270935,1.074720025062561,15,226.75390625,0.3150399923324585,0.005408000200986862,0.08908800035715103,0.4949119985103607,0.11343999952077866,0.4095359928905964,1.4913280010223389,486.78515625,0.3084479868412018,0.01664000004529953,0.09043200314044952,0.8885120153427124,0.1149120032787323,1.5050560235977173,0.42640000581741333,1.1039040088653564,,,,,,,89.69750255346298,66560,33554432,0.001983642578125,3.892575979232788,3.8833119869232178,3.9103519916534424,3.8536319732666016,15,,,,,
65536,1,8,64,64,64,128,bf16,cuda,True,0.00798795372247696,0.006224028766155243,0.49123167991638184,geometric,0,1,1,32768,32768,1,32768,1,True,32768.0,0.4642559885978699,2.075808048248291,2.0740000009536743,2.0786240100860596,2.072864055633545,15,453.25390625,0.5542719960212708,0.005504000000655651,0.16803200542926788,0.9887679815292358,0.21395200490951538,0.7278080014511943,2.8495678901672363,969.28515625,0.5459520220756531,0.01648000068962574,0.1719360053539276,1.7473920583724976,0.21321600675582886,2.8875839710235596,0.807200014591217,2.0776000022888184,,,,,,,89.35199677944183,66560,67108864,0.0009918212890625,14.357376098632812,14.338064193725586,14.379504203796387,14.287263870239258,15,,,,,
131072,1,8,64,64,64,128,bf16,cuda,True,0.011714175343513489,0.009462237358093262,0.6416207179427147,geometric,0,1,1,65536,65536,1,65536,1,True,65536.0,0.8975039720535278,4.010848045349121,4.006351947784424,4.018160104751587,4.00278377532959,15,906.25390625,1.0518079996109009,0.005408000200986862,0.3234879970550537,1.93503999710083,0.40959998965263367,1.3807039968669415,5.511007785797119,1938.28515625,1.0325119495391846,0.016416000202298164,0.3261759877204895,3.420383930206299,0.4100480079650879,5.604288101196289,1.583135962486267,4.009024143218994,,,,,,,86.87850087881088,66560,134217728,0.00049591064453125,56.507328033447266,56.22216033935547,57.09511947631836,56.12211227416992,15,,,,,
262144,1,8,64,64,64,128,bf16,cuda,True,0.00829249620437622,0.006614252924919128,1.090850681066513,geometric,0,1,1,131072,131072,1,131072,1,True,131072.0,1.770848035812378,7.864831924438477,7.858704090118408,7.873215913772583,7.84662389755249,15,1812.25390625,1.9474560022354126,0.005727999843657017,0.6399999856948853,3.830496072769165,0.8087360262870789,2.593183987773955,10.789152145385742,3876.28515625,1.9401600360870361,0.01756799966096878,0.6366400122642517,6.756447792053223,0.8075839877128601,10.918432235717773,3.081792116165161,7.826528072357178,,,,,,,87.90849894285202,66560,268435456,0.000247955322265625,236.81529235839844,234.5535659790039,239.74429321289062,232.96922302246094,15,,,,,
524288,1,8,64,64,64,128,bf16,cuda,True,0.008257105946540833,0.006577931344509125,1.909986138343811,geometric,0,1,1,262144,262144,1,262144,1,True,262144.0,3.5397119522094727,15.494208335876465,15.46399974822998,15.502304077148438,15.414976119995117,15,3624.25390625,3.7019519805908203,0.006016000173985958,1.2649600505828857,7.566751956939697,1.6048320531845093,4.972928031347692,21.30246353149414,7752.28515625,3.730976104736328,0.017216000705957413,1.266271948814392,13.425951957702637,1.60207998752594,21.52511978149414,6.078559875488281,15.428128242492676,,,,,,,86.45550161600113,66560,536870912,0.0001239776611328125,993.09912109375,989.8303527832031,996.7453002929688,987.07275390625,15,,,,,
4096,2,8,64,64,64,128,bf16,cuda,True,0.47393888235092163,0.4542609676718712,0.4963809624314308,geometric,47,47,47,2048,2048,47,2048,1,True,43.57446808510638,0.10704000294208527,0.675104022026062,0.6638239920139313,0.6857440173625946,0.6552640199661255,15,40.24609375,0.218176007270813,0.08736000210046768,0.17561599612236023,0.2486719936132431,0.057792000472545624,0.4811520054936409,0.7035199999809265,72.52734375,0.201664000749588,0.08256000280380249,0.16681599617004395,0.29388800263404846,0.05260799825191498,0.7993280291557312,0.217631995677948,0.6730560064315796,0.021277773175840408,0.02127659574468085,8.928224655784127e-08,6.53061071908865e-06,0.0012809533162788816,0.09568266873009501,143.0024951696396,1597440,4194304,0.380859375,0.13078400492668152,0.1303040012717247,0.13120000064373016,0.12931199371814728,15,0.7303680181503296,0.007576309144496918,0.04922039806842804,0.06462354212999344,0.3185104578733444
8192,2,8,64,64,64,128,bf16,cuda,True,0.2951472997665405,0.28009433299303055,0.4003513604402542,geometric,67,67,67,4096,4096,67,4096,1,True,61.134328358208954,0.1072319969534874,1.791551947593689,1.7620159983634949,1.8458399772644043,1.661344051361084,15,73.63671875,0.24400000274181366,0.17932799458503723,0.4934079945087433,0.6327360272407532,0.133760005235672,0.9167359918355942,1.1482559442520142,138.16796875,0.2693760097026825,0.11011199653148651,0.221343994140625,0.41839998960494995,0.06963200122117996,0.8781120181083679,0.34348800778388977,0.5719040036201477,0.01492665257063943,0.014925373134328358,9.784072183481389e-08,9.261535952995517e-06,0.001541902669592591,0.15723696501439288,167.20250248908997,2263040,8388608,0.269775390625,0.34880000352859497,0.3466079980134964,0.3527360111474991,0.34377598762512207,15,,0.004827976226806641,0.04077795892953873,0.027521513402462006,0.1955851912498474
