T,d,nb,r,d_qk,d_v,chunk,dtype,device,triton,build_ms,build_total_ms,stage_ms,kind,q,B,N0,n,T_R,I_prof,I_tok,deg,incidence_exact,pool_gain,featurise_ms,prefill_ms,prefill_peak_MB,phase_lr_pool_ms,phase_lr_incidence_ms,phase_lr_query_ms,phase_scan_ms,phase_normalise_ms,phase_lr_total_ms,prefill_torch_ms,prefill_torch_peak_MB,torchphase_lr_pool_ms,torchphase_lr_incidence_ms,torchphase_lr_query_ms,torchphase_scan_ms,torchphase_normalise_ms,prefill_direct_ms,phase_direct_incidence_ms,prefill_subtractive_ms,retained_fraction,retained_predicted,relerr_additive_fp32,relerr_subtractive_fp32,relerr_additive_bf16,relerr_subtractive_bf16,decode_us_per_token,cache_words,kv_cache_words,cache_ratio,sdpa_ms,dense_masked_ms,build_prime_ms,build_directions_ms,build_incidence_ms,build_reorder_ms
4096,1,8,64,64,64,128,fp32,cuda,True,0.03199651837348938,0.02572871744632721,233.31939615309238,geometric,0,1,1,2048,2048,1,2048,1,True,2048.0,0.2763519883155823,2.0352799892425537,28.44140625,0.3853760063648224,0.24383999407291412,0.2938559949398041,0.6648960113525391,0.15913599729537964,0.9230719953775406,1.0019360184669495,52.87890625,0.2651839852333069,0.14294399321079254,0.1767680048942566,0.4890879988670349,0.10547199845314026,1.1518880128860474,0.36374399065971375,0.945935994386673,1.0,1.0,9.714116779785658e-08,9.714116779785658e-08,0.0014735278373570206,0.0014735278373570206,144.50499415397644,66560,4194304,0.015869140625,2.178976058959961,3.043776035308838,,,,
8192,1,8,64,64,64,128,fp32,cuda,True,0.007962808012962341,0.005837529897689819,0.2257116138935089,geometric,0,1,1,4096,4096,1,4096,1,True,4096.0,0.30854399502277374,0.9307360053062439,56.62890625,0.31244799494743347,0.01033599954098463,0.10409600287675858,0.38921600580215454,0.08383999764919281,0.4268799973651767,1.1966399550437927,105.44140625,0.3089280128479004,0.03903999924659729,0.10422399640083313,0.6142719984054565,0.08383999764919281,1.313423991203308,0.39180800318717957,0.9280320107936859,1.0,1.0,9.80764457245414e-08,9.80764457245414e-08,0.0014729194570343215,0.0014729194570343215,87.41050213575363,66560,8388608,0.0079345703125,6.29252815246582,,,,,
16384,1,8,64,64,64,128,fp32,cuda,True,0.007776543498039246,0.006105750799179077,0.18285401165485382,geometric,0,1,1,8192,8192,1,8192,1,True,8192.0,0.49590401351451874,1.1653760075569153,113.50390625,0.34860798716545105,0.006783999968320131,0.10073599964380264,0.4944640100002289,0.114656001329422,0.4561279867775738,1.4491199851036072,210.56640625,0.3360320031642914,0.02300800010561943,0.09702400118112564,0.7896320223808289,0.11414399743080139,1.5298399925231934,0.41814398765563965,1.1068000197410583,1.0,1.0,9.85807853222116e-08,9.85807853222116e-08,0.001470617395147776,0.001470617395147776,87.45700120925903,66560,16777216,0.00396728515625,16.027823448181152,,,,,
32768,1,8,64,64,64,128,fp32,cuda,True,0.00739656388759613,0.005925074219703674,0.21840818226337433,geometric,0,1,1,16384,16384,1,16384,1,True,16384.0,0.9256000220775604,2.2089279890060425,225.75390625,0.5837439894676208,0.006688000168651342,0.20342400670051575,0.9683520197868347,0.21622399985790253,0.7938559963367879,2.7083680629730225,420.81640625,0.5737919807434082,0.02304000034928322,0.19616000354290009,1.500223994255066,0.21488000452518463,2.882912039756775,0.7784000039100647,2.0709760189056396,,,,,,,87.42400258779526,66560,33554432,0.001983642578125,60.94403266906738,,,,,
65536,1,8,64,64,64,128,fp32,cuda,True,0.007567927241325378,0.005910173058509827,0.38416869938373566,geometric,0,1,1,32768,32768,1,32768,1,True,32768.0,1.7813119888305664,4.10313606262207,452.25390625,1.0083520412445068,0.006527999881654978,0.36847999691963196,1.8911360502243042,0.4158399999141693,1.3833600380457938,5.1111040115356445,843.31640625,1.0015679597854614,0.022816000506281853,0.3665280044078827,2.9381120204925537,0.4154239892959595,5.579247951507568,1.5364799499511719,3.9851040840148926,,,,,,,87.5604972243309,66560,67108864,0.0009918212890625,247.66785430908203,,,,,
131072,1,8,64,64,64,128,fp32,cuda,True,0.00986643135547638,0.008199363946914673,0.5306601524353027,geometric,0,1,1,65536,65536,1,65536,1,True,65536.0,3.5067200660705566,8.03388786315918,902.25390625,1.8938239812850952,0.007135999854654074,0.7205439805984497,3.7263360023498535,0.818560004234314,2.621503961738199,10.106048107147217,1682.31640625,1.913375973701477,0.023840000852942467,0.7308800220489502,5.837823867797852,0.8210560083389282,10.91648006439209,3.0303680896759033,7.807152032852173,,,,,,,87.61949837207794,66560,134217728,0.00049591064453125,1024.7940063476562,,,,,
4096,2,8,64,64,64,128,fp32,cuda,True,0.4720054566860199,0.4556160420179367,0.32007694244384766,geometric,47,47,47,2048,2048,47,2048,1,True,43.57446808510638,0.1772639974951744,0.8058240115642548,40.12109375,0.2221119999885559,0.09676799923181534,0.2274560034275055,0.29209598898887634,0.06224000081419945,0.5463360026478767,0.8041439950466156,64.55859375,0.21638399362564087,0.10143999755382538,0.21875199675559998,0.3303360044956207,0.05929600074887276,0.8931840062141418,0.24911999702453613,0.7819200158119202,0.021282667860162648,0.02127659574468085,9.019118488792436e-08,6.434343800907898e-06,0.0012872368403155938,0.09437900407985199,89.20300006866455,1597440,4194304,0.380859375,1.2133439779281616,2.2983040809631348,0.008616596460342407,0.053651630878448486,0.058943405747413635,0.3202352672815323
8192,2,8,64,64,64,128,fp32,cuda,True,0.24683959782123566,0.23297034204006195,0.21908804774284363,geometric,67,67,67,4096,4096,67,4096,1,True,61.134328358208954,0.21697599440813065,1.264639973640442,73.38671875,0.19129599630832672,0.15801599621772766,0.41862401366233826,0.5357120037078857,0.10633599758148193,0.7679360061883926,1.4552000164985657,122.19921875,0.32150399684906006,0.15827199816703796,0.35631999373435974,0.543936014175415,0.06992000341415405,1.334272027015686,0.4487999975681305,0.8886080086231232,0.014924772063624046,0.014925373134328358,9.821726303082195e-08,9.23073529055231e-06,0.001539136408728215,0.1573777036360894,90.74000269174576,2263040,8388608,0.269775390625,4.028096079826355,,0.004816800355911255,0.03910064697265625,0.022836029529571533,0.15575625002384186
16384,2,8,64,64,64,128,fp32,cuda,True,0.2325046807527542,0.2158787101507187,0.2195369452238083,geometric,97,97,97,8192,8192,97,8192,1,True,84.45360824742268,0.4940800070762634,1.9427039623260498,137.87890625,0.2707520127296448,0.22463999688625336,0.6267200112342834,0.8456000089645386,0.11302399635314941,1.1221120208501816,1.9307039976119995,234.94140625,0.37225601077079773,0.15609599649906158,0.3421440124511719,0.843455970287323,0.11267200112342834,1.7439680099487305,0.5766720175743103,1.358896017074585,0.010309394700333287,0.010309278350515464,9.047230343494502e-08,1.339327005893691e-05,0.0012444038437869345,0.19313398767827877,145.7339972257614,3261440,16777216,0.19439697265625,15.863519668579102,,0.00494346022605896,0.039499253034591675,0.0201445072889328,0.14318525791168213
32768,2,8,64,64,64,128,fp32,cuda,True,0.35521015524864197,0.3338940441608429,0.416632741689682,geometric,131,131,131,16384,16384,131,16384,1,True,125.06870229007633,0.9357440173625946,2.0103839635849,259.76171875,0.2184000015258789,0.10864000022411346,0.4339199960231781,1.0012480020523071,0.2128639966249466,0.7609599977731705,2.9177600145339966,454.82421875,0.5896000266075134,0.12390399724245071,0.3441599905490875,1.5051519870758057,0.21465599536895752,2.6389760971069336,0.7639679908752441,2.049423933029175,,,,,,,146.24150097370148,4392960,33554432,0.13092041015625,60.83590507507324,,0.007079914212226868,0.06658770143985748,0.029124319553375244,0.21818839013576508
