T,d,kind,B,source,cols,k,n_patterns,n_requests,answerable,answerable_frac,full_2k,sauer,seconds
32768,1,geometric,1,witness,16385,1,2,2,2,1.0,2,2,0.0021173954010009766
32768,1,geometric,1,witness+greedy,16385 848,2,3,4,3,0.75,4,3,0.27828771620988846
32768,1,geometric,1,witness+greedy,16385 8848 10870,3,4,8,4,0.5,8,4,0.5866975337266922
32768,1,geometric,1,witness+greedy,16385 6757 4645 6141,4,5,16,5,0.3125,16,5,0.91512580960989
32768,1,geometric,1,witness+greedy,16385 7673 5238 7712 13140,5,6,32,6,0.1875,32,6,1.284762553870678
32768,1,geometric,1,witness+greedy,16385 6294 15004 12739 10769 10958,6,7,64,7,0.109375,64,7,1.7028695046901703
32768,2,geometric,131,witness,1,1,2,2,2,1.0,2,2,0.0036861300468444824
32768,2,geometric,131,witness,1 16515,2,4,4,4,1.0,4,4,0.003649398684501648
32768,2,geometric,131,witness+greedy,1 16515 16199,3,7,8,7,0.875,8,7,0.5206568837165833
32768,2,geometric,131,witness+greedy,1 16515 5781 166,4,10,16,10,0.625,16,11,1.1493282318115234
32768,2,geometric,131,witness+greedy,1 16515 825 12591 10886,5,13,32,13,0.40625,32,16,1.6787097603082657
32768,2,geometric,131,witness+greedy,1 16515 15254 11315 14537 9090,6,16,64,16,0.25,64,22,2.3085880801081657
32768,3,geometric,870,witness,29,1,2,2,2,1.0,2,2,0.015043139457702637
32768,3,geometric,870,witness,29 1,2,4,4,4,1.0,4,4,0.015397757291793823
32768,3,geometric,870,witness,29 1 17254,3,8,8,8,1.0,8,8,0.01546856015920639
32768,3,geometric,870,witness+greedy,29 1 17254 3718,4,15,16,15,0.9375,16,15,1.7193170860409737
32768,3,geometric,870,witness+greedy,29 1 17254 15145 7406,5,24,32,24,0.75,32,26,3.4574282616376877
32768,3,geometric,870,witness+greedy,29 1 17254 6218 5418 6835,6,35,64,35,0.546875,64,42,5.258470483124256
32768,4,geometric,2379,witness,169,1,2,2,2,1.0,2,2,0.1762811616063118
32768,4,geometric,2379,witness,169 13,2,4,4,4,1.0,4,4,0.0920565277338028
32768,4,geometric,2379,witness,169 13 1,3,8,8,8,1.0,8,8,0.052048392593860626
32768,4,geometric,2379,witness,169 13 1 18763,4,16,16,16,1.0,16,16,0.048624150454998016
32768,4,geometric,2379,witness+greedy,169 13 1 18763 6906,5,31,32,31,0.96875,32,31,4.988695032894611
32768,4,geometric,2379,witness+greedy,169 13 1 18763 5859 10377,6,54,64,54,0.84375,64,57,9.99025408923626
32768,5,geometric,2800,witness,343,1,2,2,2,1.0,2,2,0.10046133399009705
32768,5,geometric,2800,witness,343 49,2,4,4,4,1.0,4,4,0.06140737980604172
32768,5,geometric,2800,witness,343 49 7,3,8,8,8,1.0,8,8,0.06257104873657227
32768,5,geometric,2800,witness,343 49 7 1,4,16,16,16,1.0,16,16,0.06231900304555893
32768,5,geometric,2800,witness,343 49 7 1 19184,5,32,32,32,1.0,32,32,0.06163701415061951
32768,5,geometric,2800,witness+greedy,343 49 7 1 19184 9538,6,63,64,63,0.984375,64,63,6.405018702149391
