T,d,kind,B,source,cols,k,n_patterns,n_requests,answerable,answerable_frac,full_2k,sauer,n_scored,exact_support_frac,nmse,nmse_answerable,max_leak,seconds
4096,1,geometric,1,witness,2049,1,2,2,2,1.0,2,2,2,1.0,4.267081225089383e-12,4.267081225089383e-12,0.0,5.215487040579319
4096,1,geometric,1,witness+greedy,2049 947,2,3,4,3,0.75,4,3,4,0.75,0.2500000000023294,3.105873846119488e-12,0.0,0.4110226407647133
4096,1,geometric,1,witness+greedy,2049 713 1900,3,4,8,4,0.5,8,4,8,0.5,0.35673533485303366,2.832504512828657e-13,0.802287868282292,0.5821595415472984
4096,1,geometric,1,witness+greedy,2049 1659 1483 1837,4,5,16,5,0.3125,16,5,16,0.3125,0.9348435259144707,3.4701026836213217e-13,1.3478058201726526,1.113343022763729
4096,1,geometric,1,witness+greedy,2049 175 443 62 1406,5,6,32,6,0.1875,32,6,32,0.1875,0.6145436980638843,2.2274900878404606e-13,2.0488963345997036,2.132945865392685
4096,1,geometric,1,witness+greedy,2049 1759 635 2016 1263 1972,6,7,64,7,0.109375,64,7,64,0.109375,1.1434288074993224,3.914733186997813e-13,1.5941704139113426,3.7744798436760902
4096,2,geometric,47,witness,1,1,2,2,2,1.0,2,2,2,1.0,6.084294881300336e-17,6.084294881300336e-17,0.0,0.11347579956054688
4096,2,geometric,47,witness,1 2095,2,4,4,4,1.0,4,4,4,1.0,2.9264577030334197e-15,2.9264577030334197e-15,0.0,0.21770727634429932
4096,2,geometric,47,witness+greedy,1 2095 1310,3,7,8,7,0.875,8,7,8,0.875,0.06352428117184603,7.665433751647684e-14,0.0,0.6039577573537827
4096,2,geometric,47,witness+greedy,1 2095 1292 1244,4,10,16,10,0.625,16,11,16,0.625,0.15439529027298002,7.838212607547913e-14,0.0,1.4210546389222145
4096,2,geometric,47,witness+greedy,1 2095 563 379 1185,5,13,32,13,0.40625,32,16,32,0.40625,0.17783417913266936,1.1411947285534534e-13,0.254384560714243,2.4891034588217735
4096,2,geometric,47,witness+greedy,1 2095 1022 905 1793 1713,6,16,64,16,0.25,64,22,64,0.25,0.37014730988514394,1.250983114779727e-13,1.9619343832600862,5.045114502310753
4096,3,geometric,182,witness,13,1,2,2,2,1.0,2,2,2,1.0,1.3600947135225916e-14,1.3600947135225916e-14,0.0,0.11804784089326859
4096,3,geometric,182,witness,13 1,2,4,4,4,1.0,4,4,4,1.0,6.451920743250247e-15,6.451920743250247e-15,0.0,0.22327136248350143
4096,3,geometric,182,witness,13 1 2230,3,8,8,8,1.0,8,8,8,1.0,7.930750159503332e-14,7.930750159503332e-14,0.0,0.49181967973709106
4096,3,geometric,182,witness+greedy,13 1 2230 1713,4,15,16,15,0.9375,16,15,16,0.9375,0.003320550280275841,1.0036107236850485e-13,0.0,1.5698775351047516
4096,3,geometric,182,witness+greedy,13 1 2230 1629 1623,5,24,32,24,0.75,32,26,32,0.75,0.050088578042530425,1.185652742674249e-13,0.0,3.215493008494377
4096,3,geometric,182,witness+greedy,13 1 2230 712 1165 568,6,35,64,35,0.546875,64,42,64,0.546875,0.23680989907314304,1.1414299319235927e-13,1.5962885518092662,5.926429897546768
4096,4,geometric,399,witness,49,1,2,2,2,1.0,2,2,2,1.0,6.5205386607409e-14,6.5205386607409e-14,0.0,0.11134042590856552
4096,4,geometric,399,witness,49 7,2,4,4,4,1.0,4,4,4,1.0,7.004838088450397e-14,7.004838088450397e-14,0.0,0.3720197081565857
4096,4,geometric,399,witness,49 7 1,3,8,8,8,1.0,8,8,8,1.0,1.7684642884872198e-14,1.7684642884872198e-14,0.0,0.5587534084916115
4096,4,geometric,399,witness,49 7 1 2447,4,16,16,16,1.0,16,16,16,1.0,1.0532250033309493e-13,1.0532250033309493e-13,0.0,1.1049652472138405
4096,4,geometric,399,witness+greedy,49 7 1 2447 1951,5,31,32,31,0.96875,32,31,32,0.96875,0.013427481671470252,1.2670732975078047e-13,0.0,3.0465727373957634
4096,4,geometric,399,witness+greedy,49 7 1 2447 688 1120,6,54,64,54,0.84375,64,57,64,0.84375,0.04967577185403401,1.2213070739347328e-13,0.0,6.471177652478218
4096,5,geometric,780,witness,125,1,2,2,2,1.0,2,2,2,1.0,4.395917400231078e-13,4.395917400231078e-13,0.0,0.22071523219347
4096,5,geometric,780,witness,125 25,2,4,4,4,1.0,4,4,4,1.0,2.1280353474379134e-13,2.1280353474379134e-13,0.0,0.43138737231492996
4096,5,geometric,780,witness,125 25 5,3,8,8,8,1.0,8,8,8,1.0,1.1670761091844238e-13,1.1670761091844238e-13,0.0,0.6757033988833427
4096,5,geometric,780,witness,125 25 5 1,4,16,16,16,1.0,16,16,16,1.0,1.1850360694779979e-14,1.1850360694779979e-14,0.0,1.3847523778676987
4096,5,geometric,780,witness,125 25 5 1 2828,5,32,32,32,1.0,32,32,32,1.0,1.1131494817879938e-13,1.1131494817879938e-13,0.0,2.7925793528556824
4096,5,geometric,780,witness+greedy,125 25 5 1 2828 331,6,63,64,63,0.984375,64,63,64,0.984375,0.002155808270455799,1.1513558665219168e-13,0.0,7.005604766309261
