arm,k,seed,steps,rows_mode,loss_final,loss_best,loss_q25,loss_q50,loss_q75,loss_tail_slope,nmse,nmse_answerable,nmse_unanswerable,exact_support_frac,leak_rel,leak_max,influence_mean,influence_max,influence_zero_frac,train_seconds,T,d,cols,source,ceiling_answerable,n_patterns
gated_deltanet,1,0,1500,mask,4.483909776809014e-08,3.463705056105937e-08,2.4002864051908546e-07,1.2310164265727508e-07,1.1622944384725997e-07,-0.00023163481882325184,0.0001498818164691329,0.0001498818164691329,nan,1.0,8.571156562275917e-10,2.780167562832503e-07,0.0,0.0,1.0,60.76284059509635,1024,0,513,witness,1.0,2
gated_deltanet,1,1,1500,mask,9.190555942950596e-07,3.1198086958283966e-07,1.4667473806184717e-05,7.591212352053844e-07,1.3838557606504764e-06,-0.00037008667304938255,0.0006309018353931606,0.0006309018353931606,nan,1.0,1.0821264773142047e-08,1.4185548025125172e-06,0.0,0.0,1.0,59.81824520230293,1024,0,513,witness,1.0,2
gated_deltanet,1,2,1500,mask,9.503084186235355e-08,5.661006952095704e-08,5.411554411693942e-06,7.718091410424677e-07,2.372058531818766e-07,-0.0013642223039997546,0.0005281837075017393,0.0005281837075017393,nan,1.0,9.38690458696101e-10,3.0791736094215594e-07,0.0,0.0,1.0,59.8988224118948,1024,0,513,witness,1.0,2
loglinear,1,0,1500,mask,2.645172691995157e-10,1.3211837179838426e-10,7.910231580865457e-09,5.5719877600779455e-09,2.0631346631105885e-10,-0.0001656232598234109,4.927084773953538e-06,4.927084773953538e-06,nan,0.998046875,0.00015275483019649982,0.04954804107546806,0.0,0.0,1.0,71.58442714065313,1024,0,513,witness,1.0,2
loglinear,1,1,1500,mask,5.075166398249564e-10,9.56023246678761e-11,0.00022780263680033386,8.190763622906161e-09,1.1925402887413838e-09,-0.0021864649443713003,6.4076566275161895e-09,6.4076566275161895e-09,nan,1.0,9.987987141357735e-06,0.0013093207962810993,0.0,0.0,1.0,71.61127722263336,1024,0,513,witness,1.0,2
loglinear,1,2,1500,mask,1.224577772518387e-09,3.402911841199341e-10,6.714628398185596e-05,1.7194469137393753e-07,6.774718563917759e-09,-0.004545911283160764,2.073308458250267e-08,2.073308458250267e-08,nan,1.0,1.431750092706352e-06,0.000469655089545995,0.0,0.0,1.0,71.63919366896152,1024,0,513,witness,1.0,2
gated_deltanet,2,0,1500,mask,0.30965757369995117,0.07024304568767548,0.44703617691993713,0.18166399002075195,0.27906033396720886,0.00037037973167787974,0.22754688560962677,0.14070993661880493,0.4880577325820923,0.703125,0.0003468945506028831,0.022242028266191483,0.0,0.0,1.0,59.94635669514537,1024,0,513 206,witness+greedy,0.75,3
gated_deltanet,2,1,1500,mask,0.16000472009181976,0.02234531193971634,0.2610766887664795,0.3518213629722595,0.12509186565876007,0.0013362085439535805,0.11527679115533829,0.00133988237939775,0.5221943259239197,0.78125,0.0004033900622744113,0.004003412090241909,0.0,0.0,1.0,59.73123398795724,1024,0,513 206,witness+greedy,0.75,3
gated_deltanet,2,2,1500,mask,0.21850904822349548,0.08033758401870728,0.19396176934242249,0.22221775352954865,0.28088825941085815,-0.0002667226543420692,0.23951637744903564,0.1678890734910965,0.4895836114883423,0.51953125,0.00019480222545098513,0.006337619852274656,0.0,0.0,1.0,59.996362909674644,1024,0,513 206,witness+greedy,0.75,3
loglinear,2,0,1500,mask,0.09768898040056229,0.010319076478481293,0.19826316833496094,0.09353586286306381,0.19233307242393494,0.0001909117723246458,0.12201442569494247,4.3464090992983984e-08,0.48805761337280273,0.748046875,3.378306428203359e-05,0.00161604059394449,0.0,0.0,1.0,71.80250571295619,1024,0,513 206,witness+greedy,0.75,3
loglinear,2,1,1500,mask,0.15976637601852417,0.012075266800820827,0.14654676616191864,0.1871023178100586,0.1240323930978775,0.0012833335803637878,0.11423147469758987,7.372132415639499e-08,0.5222008228302002,0.78125,9.739927190821618e-05,0.0011652709217742085,0.0,0.0,1.0,71.95577296614647,1024,0,513 206,witness+greedy,0.75,3
loglinear,2,2,1500,mask,0.1053566187620163,0.012001346796751022,0.054469961673021317,0.08458472788333893,0.10781529545783997,-0.0013025384752834925,0.10902120918035507,1.484197298395884e-07,0.48963862657546997,0.771484375,1.5575024008285254e-05,0.0005792566807940602,0.0,0.0,1.0,71.95665078237653,1024,0,513 206,witness+greedy,0.75,3
gated_deltanet,3,0,1500,mask,0.3294605016708374,0.11955045908689499,0.29452165961265564,0.2819203734397888,0.3179371654987335,0.0007330517946196078,0.2854454517364502,0.24632519483566284,0.32841360569000244,0.3984375,0.002301732311025262,0.018627416342496872,0.0,0.0,1.0,59.85378226265311,1024,0,513 105 2,witness+greedy,0.5,4
gated_deltanet,3,1,1500,mask,0.2835690677165985,0.13232864439487457,0.2270718514919281,0.3069938123226166,0.21880128979682922,-0.0004996243077141089,0.2895895540714264,0.24288822710514069,0.33702632784843445,0.345703125,0.0010457211174070835,0.01185300201177597,2.888670813661065e-08,7.502683274651645e-07,0.87109375,60.02244043722749,1024,0,513 105 2,witness+greedy,0.5,4
gated_deltanet,3,2,1500,mask,0.19287574291229248,0.04863452538847923,0.39390501379966736,0.12056197971105576,0.217857226729393,0.0006849096347623809,0.14545992016792297,0.025118201971054077,0.26209887862205505,0.44921875,0.04336037486791611,0.5388500690460205,0.06840250641107559,4.429920196533203,0.876953125,59.851272851228714,1024,0,513 105 2,witness+greedy,0.5,4
loglinear,3,0,1500,mask,0.1370892971754074,0.044951461255550385,0.16522619128227234,0.13883239030838013,0.16924762725830078,0.0006939011341248465,0.13074740767478943,0.027961548417806625,0.24364332854747772,0.494140625,0.04000697657465935,0.5027884840965271,0.05953964963555336,3.1849799156188965,0.865234375,71.76405511796474,1024,0,513 105 2,witness+greedy,0.5,4
loglinear,3,1,1500,mask,0.1497650146484375,0.04798183590173721,0.1540469229221344,0.14155597984790802,0.12280979752540588,-0.0005749656188990371,0.1422865092754364,0.018453113734722137,0.2680700421333313,0.486328125,0.040465161204338074,0.5140475034713745,0.05581475794315338,1.6834962368011475,0.87109375,71.88645536452532,1024,0,513 105 2,witness+greedy,0.5,4
loglinear,3,2,1500,mask,0.19378821551799774,0.04769063740968704,0.1675465703010559,0.1210557371377945,0.21856121718883514,0.000663600989933808,0.14567524194717407,0.025773843750357628,0.2618873715400696,0.416015625,0.04206886887550354,0.5301942825317383,0.06742735207080841,4.389573574066162,0.876953125,71.86771535500884,1024,0,513 105 2,witness+greedy,0.5,4
gated_deltanet,4,0,1500,mask,0.16385117173194885,0.0832437202334404,0.29413363337516785,0.18451912701129913,0.18885767459869385,-0.0008646728493324681,0.1749049872159958,0.024316679686307907,0.26082348823547363,0.318359375,0.05902973935008049,0.7249191999435425,0.09199684113264084,2.971928596496582,0.845703125,60.02813280373812,1024,0,513 399 18 5,witness+greedy,0.3125,5
