arm,k,seed,steps,rows_mode,loss_final,loss_best,loss_q25,loss_q50,loss_q75,loss_tail_slope,nmse,nmse_answerable,nmse_unanswerable,exact_support_frac,leak_rel,leak_max,influence_mean,influence_max,influence_zero_frac,train_seconds,T,d,cols,source,ceiling_answerable,n_patterns
mamba2,1,0,1500,mask,1.871924837359984e-09,1.174407682213996e-09,2.2445253762271022e-06,3.336266217957018e-06,4.1289212049377966e-09,0.0006855295757513431,4.20717060478637e-06,4.20717060478637e-06,nan,1.0,1.2833211258111987e-06,0.00041626207530498505,0.0,0.0,1.0,33.19963570870459,1024,0,513,witness,1.0,2
mamba2,1,1,1500,mask,2.608406979992539e-12,7.809071314937577e-13,2.4422590172434866e-08,6.43659778254424e-12,1.0763424873605487e-11,-0.002114253104898553,1.1500625105020923e-11,1.1500625105020923e-11,nan,1.0,1.2582144393036288e-07,1.6493877410539426e-05,0.0,0.0,1.0,32.71152886748314,1024,0,513,witness,1.0,2
mamba2,1,2,1500,mask,3.5525079766784984e-08,1.8562333892191418e-08,9.866473646980012e-07,1.9626945402251295e-07,1.8712046312430175e-07,-0.00288595685887464,5.757887993240729e-05,5.757887993240729e-05,nan,1.0,1.746142515912652e-06,0.0005727848620153964,0.0,0.0,1.0,32.602291932329535,1024,0,513,witness,1.0,2
deltanet,1,0,1500,mask,2.4011379551325263e-09,1.1899561336292663e-09,2.8253572281755623e-07,6.979485078772996e-08,4.575676726403799e-09,0.0001548107712107992,3.7944384530419484e-05,3.7944384530419484e-05,nan,0.998046875,7.625191938132048e-05,0.02473331429064274,0.0,0.0,1.0,46.37945348769426,1024,0,513,witness,1.0,2
deltanet,1,1,1500,mask,1.0461582711229767e-08,7.245219535434444e-09,9.083400698273181e-08,2.27495853266646e-08,2.1797077920382435e-08,0.0005105227282519125,6.185818619997008e-06,6.185818619997008e-06,nan,1.0,1.1394004104658961e-05,0.0014936350053176284,0.0,0.0,1.0,45.577698308974504,1024,0,513,witness,1.0,2
deltanet,1,2,1500,mask,3.7006223863045307e-08,1.8687430269892502e-08,9.198571206070483e-06,3.7903726024524076e-07,3.339652039358043e-07,-0.002169393610748095,0.0006889180513098836,0.0006889180513098836,nan,1.0,1.6391672943427693e-06,0.0005376938497647643,0.0,0.0,1.0,45.67405409552157,1024,0,513,witness,1.0,2
mamba2,2,0,1500,mask,0.3098355531692505,0.07019001245498657,0.4442119300365448,0.18090781569480896,0.27901506423950195,0.0003723490915678149,0.22754791378974915,0.14071133732795715,0.4880577325820923,0.7109375,0.00010224296420346946,0.0018143687630072236,0.0,0.0,1.0,33.4989681430161,1024,0,513 206,witness+greedy,0.75,3
mamba2,2,1,1500,mask,0.26498615741729736,0.0745287835597992,0.26139968633651733,0.3653673529624939,0.19357413053512573,0.0007912765856457498,0.2480504810810089,0.17129145562648773,0.5221897959709167,0.662109375,0.00041289199725724757,0.007900003343820572,0.0,0.0,1.0,21.244189092889428,1024,0,513 206,witness+greedy,0.75,3
mamba2,2,2,1500,mask,0.21856971085071564,0.0802726224064827,0.1936311423778534,0.22195613384246826,0.28088992834091187,-0.0002669369297704545,0.23952116072177887,0.16787880659103394,0.4896409511566162,0.51953125,1.7777494576876052e-05,0.0006392846116796136,0.0,0.0,1.0,28.01342205516994,1024,0,513 206,witness+greedy,0.75,3
deltanet,2,0,1500,mask,0.09771417081356049,0.010343842208385468,0.4458760619163513,0.09528219699859619,0.192397341132164,0.00019411927742264627,0.12206001579761505,5.7357850892003626e-05,0.48806801438331604,0.74609375,0.00023902117391116917,0.009541308507323265,0.0,0.0,1.0,46.45799960754812,1024,0,513 206,witness+greedy,0.75,3
deltanet,2,1,1500,mask,0.1597745418548584,0.012117970734834671,0.14613498747348785,0.18718686699867249,0.12403354793787003,0.0012903418898920873,0.11458158493041992,0.00044872204307466745,0.5221990346908569,0.78125,8.024730777833611e-05,0.0009748051525093615,0.0,0.0,1.0,46.608904264867306,1024,0,513 206,witness+greedy,0.75,3
deltanet,2,2,1500,mask,0.10536311566829681,0.012004252523183823,0.09188885241746902,0.08459455519914627,0.10782308131456375,-0.001304150614389672,0.10909399390220642,9.349292668048292e-05,0.4896395802497864,0.7734375,1.014144072541967e-05,0.0002819289220497012,0.0,0.0,1.0,46.04990972392261,1024,0,513 206,witness+greedy,0.75,3
