arm,run,step,accuracy,first_half,second_half
independent,reset-d3-independent-s0,250,0.0586,0.0603,0.0569
independent,reset-d3-independent-s0,500,0.0652,0.0717,0.0589
independent,reset-d3-independent-s0,750,0.073,0.0578,0.0878
independent,reset-d3-independent-s0,1000,0.136,0.0717,0.1987
independent,reset-d3-independent-s0,1250,0.1299,0.0687,0.1896
independent,reset-d3-independent-s0,1500,0.1396,0.0677,0.2098
independent,reset-d3-independent-s0,1750,0.1428,0.0643,0.2195
independent,reset-d3-independent-s0,2000,0.1382,0.0583,0.2161
independent,reset-d3-independent-s0,2250,0.1572,0.0623,0.2499
independent,reset-d3-independent-s0,2500,0.176,0.0623,0.287
independent,reset-d3-independent-s0,2750,0.1941,0.0564,0.3285
independent,reset-d3-independent-s0,3000,0.2266,0.0608,0.3883
independent,reset-d3-independent-s0,3250,0.2839,0.0613,0.5012
independent,reset-d3-independent-s0,3500,0.3047,0.0583,0.5451
independent,reset-d3-independent-s0,3750,0.345,0.0588,0.6242
independent,reset-d3-independent-s0,4000,0.3264,0.0662,0.5803
independent,reset-d3-independent-s0,4250,0.366,0.0682,0.6565
independent,reset-d3-independent-s0,4500,0.3862,0.0652,0.6995
independent,reset-d3-independent-s0,4750,0.3779,0.0643,0.684
independent,reset-d3-independent-s0,5000,0.3914,0.0657,0.7091
independent,reset-d3-independent-s0,5250,0.3914,0.0672,0.7077
independent,reset-d3-independent-s0,5500,0.3933,0.0746,0.7043
independent,reset-d3-independent-s0,5750,0.3884,0.0875,0.6821
independent,reset-d3-independent-s0,6000,0.4167,0.1137,0.7125
independent,reset-d3-independent-s0,6250,0.5334,0.347,0.7154
independent,reset-d3-independent-s0,6500,0.5889,0.4464,0.7279
independent,reset-d3-independent-s0,6750,0.6133,0.4884,0.7352
independent,reset-d3-independent-s0,7000,0.6409,0.5675,0.7125
independent,reset-d3-independent-s0,7250,0.6392,0.5492,0.727
independent,reset-d3-independent-s0,7500,0.6616,0.5907,0.7308
independent,reset-d3-independent-s0,7750,0.6855,0.6223,0.7472
independent,reset-d3-independent-s0,8000,0.7075,0.656,0.7578
independent,reset-d3-independent-s0,8250,0.708,0.6535,0.7612
independent,reset-d3-independent-s0,8500,0.7019,0.6673,0.7356
independent,reset-d3-independent-s0,8750,0.7363,0.7044,0.7675
independent,reset-d3-independent-s0,9000,0.7271,0.6935,0.7598
independent,reset-d3-independent-s0,9250,0.71,0.6728,0.7463
independent,reset-d3-independent-s0,9500,0.7295,0.7049,0.7535
independent,reset-d3-independent-s0,9750,0.7092,0.6238,0.7926
independent,reset-d3-independent-s0,10000,0.7036,0.6436,0.7622
independent,reset-d3-independent-s1,250,0.0645,0.0657,0.0632
independent,reset-d3-independent-s1,500,0.0933,0.0732,0.1129
independent,reset-d3-independent-s1,750,0.2285,0.213,0.2436
independent,reset-d3-independent-s1,1000,0.2981,0.2284,0.3661
independent,reset-d3-independent-s1,1250,0.3047,0.218,0.3893
independent,reset-d3-independent-s1,1500,0.3723,0.3159,0.4274
independent,reset-d3-independent-s1,1750,0.3796,0.3243,0.4337
independent,reset-d3-independent-s1,2000,0.4392,0.3697,0.507
independent,reset-d3-independent-s1,2250,0.4309,0.3836,0.4771
independent,reset-d3-independent-s1,2500,0.4961,0.4498,0.5412
independent,reset-d3-independent-s1,2750,0.5374,0.5116,0.5625
independent,reset-d3-independent-s1,3000,0.5857,0.5413,0.629
independent,reset-d3-independent-s1,3250,0.5874,0.5398,0.6339
independent,reset-d3-independent-s1,3500,0.645,0.6159,0.6734
independent,reset-d3-independent-s1,3750,0.6201,0.6075,0.6324
independent,reset-d3-independent-s1,4000,0.7073,0.7153,0.6995
independent,reset-d3-independent-s1,4250,0.5615,0.4192,0.7004
independent,reset-d3-independent-s1,4500,0.5742,0.4716,0.6744
independent,reset-d3-independent-s1,4750,0.49,0.2318,0.7419
independent,reset-d3-independent-s1,5000,0.5559,0.3327,0.7738
independent,reset-d3-independent-s1,5250,0.6504,0.519,0.7786
independent,reset-d3-independent-s1,5500,0.655,0.5042,0.8022
independent,reset-d3-independent-s1,5750,0.6716,0.5324,0.8075
independent,reset-d3-independent-s1,6000,0.6602,0.5067,0.8099
independent,reset-d3-independent-s1,6250,0.6099,0.4123,0.8027
independent,reset-d3-independent-s1,6500,0.6553,0.48,0.8263
independent,reset-d3-independent-s1,6750,0.5801,0.4419,0.7149
independent,reset-d3-independent-s1,7000,0.5786,0.3193,0.8316
independent,reset-d3-independent-s1,7250,0.6611,0.4755,0.8423
independent,reset-d3-independent-s1,7500,0.583,0.3139,0.8456
independent,reset-d3-independent-s1,7750,0.6216,0.3811,0.8562
independent,reset-d3-independent-s1,8000,0.637,0.4058,0.8625
independent,reset-d3-independent-s1,8250,0.6387,0.4053,0.8664
independent,reset-d3-independent-s1,8500,0.6458,0.4118,0.8741
independent,reset-d3-independent-s1,8750,0.6555,0.4498,0.8562
independent,reset-d3-independent-s1,9000,0.696,0.5225,0.8654
independent,reset-d3-independent-s1,9250,0.7107,0.5724,0.8456
independent,reset-d3-independent-s1,9500,0.7129,0.5779,0.8447
independent,reset-d3-independent-s1,9750,0.6506,0.4296,0.8664
independent,reset-d3-independent-s1,10000,0.6597,0.4726,0.8423
independent,reset-d3-independent-s2,250,0.062,0.0564,0.0675
independent,reset-d3-independent-s2,500,0.1021,0.0608,0.1423
independent,reset-d3-independent-s2,750,0.1355,0.0603,0.2089
independent,reset-d3-independent-s2,1000,0.1672,0.0845,0.2479
independent,reset-d3-independent-s2,1250,0.1587,0.0667,0.2484
independent,reset-d3-independent-s2,1500,0.1562,0.0588,0.2513
independent,reset-d3-independent-s2,1750,0.1533,0.0489,0.2552
independent,reset-d3-independent-s2,2000,0.2117,0.1275,0.2938
independent,reset-d3-independent-s2,2250,0.198,0.0613,0.3314
independent,reset-d3-independent-s2,2500,0.2026,0.0539,0.3478
independent,reset-d3-independent-s2,2750,0.2598,0.1869,0.3309
independent,reset-d3-independent-s2,3000,0.2373,0.1424,0.33
independent,reset-d3-independent-s2,3250,0.2412,0.134,0.3459
independent,reset-d3-independent-s2,3500,0.2292,0.1295,0.3266
independent,reset-d3-independent-s2,3750,0.2483,0.1503,0.3439
independent,reset-d3-independent-s2,4000,0.2798,0.1883,0.369
independent,reset-d3-independent-s2,4250,0.2881,0.178,0.3956
independent,reset-d3-independent-s2,4500,0.3042,0.1992,0.4067
independent,reset-d3-independent-s2,4750,0.304,0.2116,0.3941
independent,reset-d3-independent-s2,5000,0.2876,0.1859,0.3869
independent,reset-d3-independent-s2,5250,0.3298,0.2338,0.4235
independent,reset-d3-independent-s2,5500,0.3547,0.2506,0.4563
independent,reset-d3-independent-s2,5750,0.3804,0.2877,0.4708
independent,reset-d3-independent-s2,6000,0.3906,0.2912,0.4877
independent,reset-d3-independent-s2,6250,0.3569,0.2467,0.4645
independent,reset-d3-independent-s2,6500,0.3218,0.1463,0.493
independent,reset-d3-independent-s2,6750,0.2727,0.0687,0.4718
independent,reset-d3-independent-s2,7000,0.3674,0.2338,0.4978
independent,reset-d3-independent-s2,7250,0.3857,0.2684,0.5002
independent,reset-d3-independent-s2,7500,0.3926,0.2758,0.5065
independent,reset-d3-independent-s2,7750,0.3962,0.2857,0.5041
independent,reset-d3-independent-s2,8000,0.376,0.2299,0.5186
independent,reset-d3-independent-s2,8250,0.3755,0.221,0.5263
independent,reset-d3-independent-s2,8500,0.3882,0.2338,0.5388
independent,reset-d3-independent-s2,8750,0.4131,0.2823,0.5408
independent,reset-d3-independent-s2,9000,0.4199,0.2872,0.5494
independent,reset-d3-independent-s2,9250,0.3579,0.1676,0.5437
independent,reset-d3-independent-s2,9500,0.3447,0.1379,0.5466
independent,reset-d3-independent-s2,9750,0.3206,0.089,0.5466
independent,reset-d3-independent-s2,10000,0.3237,0.0905,0.5514
shared,reset-d3-shared-s0,250,0.0593,0.0613,0.0574
shared,reset-d3-shared-s0,500,0.1357,0.0667,0.2031
shared,reset-d3-shared-s0,750,0.1799,0.1537,0.2055
shared,reset-d3-shared-s0,1000,0.2224,0.2363,0.2089
shared,reset-d3-shared-s0,1250,0.1494,0.0573,0.2393
