arm,d,geometry,train_T,eval_T,n,n_queries,acc,us_per_token,cache_words,kv_cache_words,cache_ratio,cells,mask_cells,mask_B
smat,2,native,,1024,512,,,1188.803929835558,6389760,8388608,0.76171875,23,23,23
smat,2,native,,2048,1024,,,1177.7069885283709,10117120,16777216,0.60302734375,37,37,37
smat,2,native,,4096,2048,,,1158.9678470045328,12779520,33554432,0.380859375,47,47,47
smat,2,native,,8192,4096,,,1177.6210740208626,18104320,67108864,0.269775390625,67,67,67
smat,2,native,,16384,8192,,,1178.8425035774708,26091520,134217728,0.19439697265625,97,97,97
smat,2,native,,32768,16384,,,1167.0272797346115,35143680,268435456,0.13092041015625,131,131,131
smat,2,native,,65536,32768,,,1166.9716332107782,51118080,536870912,0.09521484375,191,191,191
smat,3,native,,1024,512,,,1822.6471729576588,35409920,8388608,4.22119140625,121,121,132
smat,3,native,,2048,1024,,,1739.8258205503225,35409920,16777216,2.110595703125,121,121,132
smat,3,native,,4096,2048,,,1808.876171708107,48721920,33554432,1.4520263671875,169,169,182
smat,3,native,,8192,4096,,,1758.0168787389994,81735680,67108864,1.21795654296875,289,289,306
smat,3,native,,16384,8192,,,1848.155166953802,147230720,134217728,1.096954345703125,529,529,552
smat,3,native,,32768,16384,,,1769.8958981782198,231895040,268435456,0.8638763427734375,841,841,870
smat,3,native,,65536,32768,,,1371.4206870645285,374599680,536870912,0.6977462768554688,1369,1369,1406
softmax,1,native,,1024,512,,,571.3319405913353,6356992,8388608,0.7578125,,,
softmax,1,native,,2048,1024,,,587.9641976207495,10551296,16777216,0.62890625,,,
softmax,1,native,,4096,2048,,,580.7229317724705,18939904,33554432,0.564453125,,,
softmax,1,native,,8192,4096,,,803.5395294427872,35717120,67108864,0.5322265625,,,
softmax,1,native,,16384,8192,,,1510.778907686472,69271552,134217728,0.51611328125,,,
softmax,1,native,,32768,16384,,,2942.0782811939716,136380416,268435456,0.508056640625,,,
softmax,1,native,,65536,32768,,,5827.361019328237,270598144,536870912,0.5040283203125,,,
smat,1,native,,1024,512,,,1003.1803976744413,532480,8388608,0.0634765625,,1,1
smat,1,native,,2048,1024,,,976.131297647953,532480,16777216,0.03173828125,,1,1
smat,1,native,,4096,2048,,,980.0957050174475,532480,33554432,0.015869140625,,1,1
smat,1,native,,8192,4096,,,1013.7974750250578,532480,67108864,0.0079345703125,,1,1
smat,1,native,,16384,8192,,,981.5250523388386,532480,134217728,0.00396728515625,,1,1
smat,1,native,,32768,16384,,,973.4868071973324,532480,268435456,0.001983642578125,,1,1
smat,1,native,,65536,32768,,,993.5908019542694,532480,536870912,0.0009918212890625,,1,1
smat,2,trained,1024,1024,512,512,1.0,202.66072533559054,51118080,67108864,0.76171875,23,23,23
smat,2,frozen-cells,1024,2048,1024,512,0.99609375,201.06680312892422,51118080,134217728,0.380859375,23,37,37
smat,2,frozen-cells,1024,4096,2048,512,0.96875,200.99909670534544,51118080,268435456,0.1904296875,23,47,47
smat,2,frozen-cells,1024,8192,4096,512,0.548828125,201.90596296743024,51118080,536870912,0.09521484375,23,67,67
softmax,1,trained,1024,1024,512,512,0.994140625,102.24271682091057,67108864,67108864,1.0,,,
softmax,1,frozen-cells,1024,2048,1024,512,0.998046875,118.79328667419031,134217728,134217728,1.0,,,
softmax,1,frozen-cells,1024,4096,2048,512,0.984375,227.78220591135323,268435456,268435456,1.0,,,
softmax,1,frozen-cells,1024,8192,4096,512,0.892578125,453.59171235759277,536870912,536870912,1.0,,,
smat,3,trained,1024,1024,512,512,0.998046875,175.8485595928505,283279360,67108864,4.22119140625,121,121,132
smat,3,frozen-cells,1024,2048,1024,512,1.0,175.1642266754061,283279360,134217728,2.110595703125,121,121,132
smat,3,frozen-cells,1024,4096,2048,512,0.990234375,174.93993800599128,283279360,268435456,1.0552978515625,121,169,182
smat,3,frozen-cells,1024,8192,4096,512,0.5,174.43812430428807,283279360,536870912,0.52764892578125,121,289,306
smat,1,trained,1024,1024,512,512,0.02734375,132.71807983983308,4259840,67108864,0.0634765625,,1,1
smat,1,frozen-cells,1024,2048,1024,512,0.015625,129.40690794494003,4259840,134217728,0.03173828125,,1,1
smat,1,frozen-cells,1024,4096,2048,512,0.00390625,128.64614473073743,4259840,268435456,0.015869140625,,1,1
smat,1,frozen-cells,1024,8192,4096,512,0.015625,130.02182822674513,4259840,536870912,0.0079345703125,,1,1
