T,d,kind,level,value,exact,seconds,ceiling,B,N0,q
4096,1,geometric,witness,1,True,0.0,12,1,1,0
8192,1,geometric,witness,1,True,0.0,13,1,1,0
16384,1,geometric,witness,1,True,0.0,14,1,1,0
32768,1,geometric,witness,1,True,0.0,15,1,1,0
65536,1,geometric,witness,1,True,0.0,16,1,1,0
131072,1,geometric,witness,1,True,0.0,17,1,1,0
262144,1,geometric,witness,1,True,0.0,18,1,1,0
524288,1,geometric,witness,1,True,0.0,19,1,1,0
1048576,1,geometric,witness,1,True,0.0,20,1,1,0
4096,2,geometric,witness,2,True,0.0,12,47,47,47
8192,2,geometric,witness,2,True,0.0,13,67,67,67
16384,2,geometric,witness,2,True,0.0,14,97,97,97
32768,2,geometric,witness,2,True,0.0,15,131,131,131
65536,2,geometric,witness,2,True,0.0,16,191,191,191
131072,2,geometric,witness,2,True,0.0,17,257,257,257
262144,2,geometric,witness,2,True,0.0,18,367,367,367
524288,2,geometric,witness,2,True,0.0,19,521,521,521
1048576,2,geometric,witness,2,True,0.0,20,727,727,727
4096,3,geometric,witness,3,True,0.0,12,182,169,13
8192,3,geometric,witness,3,True,0.0,13,306,289,17
16384,3,geometric,witness,3,True,0.0,14,552,529,23
32768,3,geometric,witness,3,True,0.0,15,870,841,29
65536,3,geometric,witness,3,True,0.0,16,1406,1369,37
131072,3,geometric,witness,3,True,0.0,17,1722,1681,41
262144,3,geometric,witness,3,True,0.0,18,2862,2809,53
524288,3,geometric,witness,3,True,0.0,19,4556,4489,67
1048576,3,geometric,witness,3,True,0.0,20,6972,6889,83
4096,4,geometric,witness,4,True,0.0,12,399,343,7
8192,4,geometric,witness,4,True,0.0,13,1463,1331,11
16384,4,geometric,witness,4,True,0.0,14,1463,1331,11
32768,4,geometric,witness,4,True,0.0,15,2379,2197,13
65536,4,geometric,witness,4,True,0.0,16,5219,4913,17
131072,4,geometric,witness,4,True,0.0,17,5219,4913,17
262144,4,geometric,witness,4,True,0.0,18,12719,12167,23
524288,4,geometric,witness,4,True,0.0,19,12719,12167,23
1048576,4,geometric,witness,4,True,0.0,20,25259,24389,29
4096,5,geometric,witness,5,True,0.0,12,780,625,5
8192,5,geometric,witness,5,True,0.0,13,2800,2401,7
16384,5,geometric,witness,5,True,0.0,14,2800,2401,7
32768,5,geometric,witness,5,True,0.0,15,2800,2401,7
65536,5,geometric,witness,5,True,0.0,16,16104,14641,11
131072,5,geometric,witness,5,True,0.0,17,16104,14641,11
262144,5,geometric,witness,5,True,0.0,18,16104,14641,11
4096,2,C,vc_C,1,True,0.008536338806152344,1,47,47,47
16384,2,C,vc_C,1,True,0.015491247177124023,1,97,97,97
65536,2,C,vc_C,1,True,0.03433537483215332,1,191,191,191
262144,2,C,vc_C,1,True,0.09823918342590332,1,367,367,367
1048576,2,C,vc_C,1,True,0.29503774642944336,1,727,727,727
4096,3,C,vc_C,2,True,0.16562366485595703,2,182,169,13
16384,3,C,vc_C,2,True,2.183650255203247,2,552,529,23
65536,3,C,vc_C,2,True,47.55451512336731,2,1406,1369,37
4096,4,C,vc_C,3,True,80.51828598976135,3,399,343,7
16384,4,C,vc_C,3,False,243.0665476322174,3,1463,1331,11
4096,5,C,vc_C,4,False,240.11530685424805,4,780,625,5
128,1,geometric,vc_exact,1,True,0.05912041664123535,7,1,1,0
128,2,geometric,vc_exact,2,True,1.775289535522461,7,11,11,11
256,2,geometric,vc_exact,2,True,13.897558689117432,8,13,13,13
512,2,geometric,vc_exact,2,True,205.03572821617126,9,17,17,17
256,3,geometric,vc_exact,3,False,240.0443160533905,8,56,49,7
512,3,geometric,vc_exact,3,False,240.0760064125061,9,56,49,7
1024,3,geometric,vc_exact,3,False,240.11249613761902,10,132,121,11
512,4,geometric,vc_exact,4,False,240.03885626792908,9,155,125,5
1024,4,geometric,vc_exact,4,False,240.86404585838318,10,155,125,5
2048,4,geometric,vc_exact,4,False,241.91407799720764,11,399,343,7
