task,sched,trained,seed,d,q,N0,T_train,T_eval,layout,D,acc,n_queries,pairs_in_G,steps,train_sec
mqar,none,none,1,2,23,23,1024,1024,uniform,0,0.941650390625,8192,nan,7000,696
mqar,none,none,1,2,23,23,1024,1024,placed,0,0.9088134765625,8192,0.0,7000,696
mqar,none,none,1,2,23,23,1024,1024,placed,256,0.9151611328125,8192,0.0,7000,696
mqar,none,none,1,2,23,23,1024,1024,placed,510,0.9222412109375,8192,0.0,7000,696
mqar,none,none,1,2,23,23,1024,2048,uniform,0,0.942626953125,4096,nan,7000,696
mqar,none,none,1,2,23,23,1024,2048,placed,0,0.91015625,4096,0.0,7000,696
mqar,none,none,1,2,23,23,1024,2048,placed,256,0.9072265625,4096,0.0,7000,696
mqar,none,none,1,2,23,23,1024,2048,placed,1024,0.919921875,4096,0.0,7000,696
mqar,none,none,1,2,23,23,1024,2048,placed,1534,0.91796875,4096,0.0,7000,696
mqar,none,none,1,2,23,23,1024,4096,uniform,0,0.94287109375,2048,nan,7000,696
mqar,none,none,1,2,23,23,1024,4096,placed,0,0.90673828125,2048,0.0,7000,696
mqar,none,none,1,2,23,23,1024,4096,placed,256,0.91162109375,2048,0.0,7000,696
mqar,none,none,1,2,23,23,1024,4096,placed,1024,0.9130859375,2048,0.0,7000,696
mqar,none,none,1,2,23,23,1024,4096,placed,3072,0.904296875,2048,0.0,7000,696
mqar,none,none,1,2,23,23,1024,4096,placed,3582,0.9052734375,2048,0.0,7000,696
mqar,none,none,1,2,23,23,1024,8192,uniform,0,0.931640625,1024,nan,7000,696
mqar,none,none,1,2,23,23,1024,8192,placed,0,0.8759765625,1024,0.0,7000,696
mqar,none,none,1,2,23,23,1024,8192,placed,256,0.8857421875,1024,0.0,7000,696
mqar,none,none,1,2,23,23,1024,8192,placed,1024,0.873046875,1024,0.0,7000,696
mqar,none,none,1,2,23,23,1024,8192,placed,3072,0.8720703125,1024,0.0,7000,696
mqar,none,none,1,2,23,23,1024,8192,placed,7678,0.8603515625,1024,0.0,7000,696
mqar,none,none,0,2,23,23,1024,1024,uniform,0,0.103759765625,8192,nan,7000,983
mqar,none,none,0,2,23,23,1024,1024,placed,0,0.0860595703125,8192,0.0,7000,983
mqar,none,none,0,2,23,23,1024,1024,placed,256,0.0828857421875,8192,0.0,7000,983
mqar,none,none,0,2,23,23,1024,1024,placed,510,0.083251953125,8192,0.0,7000,983
mqar,none,none,0,2,23,23,1024,2048,uniform,0,0.108154296875,4096,nan,7000,983
mqar,none,none,0,2,23,23,1024,2048,placed,0,0.08447265625,4096,0.0,7000,983
mqar,none,none,0,2,23,23,1024,2048,placed,256,0.0888671875,4096,0.0,7000,983
mqar,none,none,0,2,23,23,1024,2048,placed,1024,0.082275390625,4096,0.0,7000,983
mqar,none,none,0,2,23,23,1024,2048,placed,1534,0.083984375,4096,0.0,7000,983
mqar,none,none,0,2,23,23,1024,4096,uniform,0,0.1025390625,2048,nan,7000,983
mqar,none,none,0,2,23,23,1024,4096,placed,0,0.0673828125,2048,0.0,7000,983
mqar,none,none,0,2,23,23,1024,4096,placed,256,0.080078125,2048,0.0,7000,983
mqar,none,none,0,2,23,23,1024,4096,placed,1024,0.07763671875,2048,0.0,7000,983
mqar,none,none,0,2,23,23,1024,4096,placed,3072,0.07763671875,2048,0.0,7000,983
mqar,none,none,0,2,23,23,1024,4096,placed,3582,0.0732421875,2048,0.0,7000,983
mqar,none,none,0,2,23,23,1024,8192,uniform,0,0.08984375,1024,nan,7000,983
mqar,none,none,0,2,23,23,1024,8192,placed,0,0.04296875,1024,0.0,7000,983
mqar,none,none,0,2,23,23,1024,8192,placed,256,0.0380859375,1024,0.0,7000,983
mqar,none,none,0,2,23,23,1024,8192,placed,1024,0.041015625,1024,0.0,7000,983
mqar,none,none,0,2,23,23,1024,8192,placed,3072,0.0390625,1024,0.0,7000,983
mqar,none,none,0,2,23,23,1024,8192,placed,7678,0.033203125,1024,0.0,7000,983
mqar,dbl,dbl,1,2,23,23,1024,1024,uniform,0,0.999755859375,8192,nan,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,1024,placed,0,0.99658203125,8192,0.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,1024,placed,256,0.99658203125,8192,0.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,1024,placed,510,1.0,8192,0.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,2048,uniform,0,0.999755859375,4096,nan,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,2048,placed,0,0.995849609375,4096,0.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,2048,placed,256,0.996826171875,4096,0.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,2048,placed,1024,0.99560546875,4096,0.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,2048,placed,1534,1.0,4096,1.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,4096,uniform,0,0.99951171875,2048,nan,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,4096,placed,0,0.9951171875,2048,0.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,4096,placed,256,0.99462890625,2048,0.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,4096,placed,1024,0.99609375,2048,0.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,4096,placed,3072,1.0,2048,1.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,4096,placed,3582,1.0,2048,1.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,8192,uniform,0,1.0,1024,nan,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,8192,placed,0,0.994140625,1024,0.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,8192,placed,256,0.9931640625,1024,0.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,8192,placed,1024,0.99609375,1024,0.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,8192,placed,3072,0.9931640625,1024,0.0,7000,1191
mqar,dbl,dbl,1,2,23,23,1024,8192,placed,7678,1.0,1024,1.0,7000,1191
mqar,half,half,1,2,23,23,1024,1024,uniform,0,0.999755859375,8192,nan,7000,1226
mqar,half_oracle,half,1,2,23,23,1024,1024,uniform,0,0.9998779296875,8192,nan,7000,1226
mqar,half,half,1,2,23,23,1024,1024,placed,0,0.975830078125,8192,0.0,7000,1226
