task,sched,trained,seed,d,q,N0,T_train,T_eval,layout,D,acc,n_queries,pairs_in_G,steps,train_sec
mqar,none,none,0,2,23,23,1024,1024,uniform,0,0.12103271484375,16384,nan,7000,1582
mqar,none,none,0,2,23,23,1024,1024,placed,0,0.0906982421875,16384,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,1024,placed,256,0.08990478515625,16384,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,1024,placed,510,0.09185791015625,16384,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,2048,uniform,0,0.1185302734375,8192,nan,7000,1582
mqar,none,none,0,2,23,23,1024,2048,placed,0,0.08837890625,8192,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,2048,placed,256,0.0908203125,8192,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,2048,placed,1024,0.088623046875,8192,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,2048,placed,1534,0.0897216796875,8192,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,4096,uniform,0,0.1181640625,4096,nan,7000,1582
mqar,none,none,0,2,23,23,1024,4096,placed,0,0.080810546875,4096,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,4096,placed,256,0.082763671875,4096,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,4096,placed,1024,0.07861328125,4096,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,4096,placed,3072,0.082763671875,4096,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,4096,placed,3582,0.079833984375,4096,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,8192,uniform,0,0.09765625,2048,nan,7000,1582
mqar,none,none,0,2,23,23,1024,8192,placed,0,0.0732421875,2048,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,8192,placed,256,0.0732421875,2048,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,8192,placed,1024,0.06640625,2048,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,8192,placed,3072,0.07421875,2048,0.0,7000,1582
mqar,none,none,0,2,23,23,1024,8192,placed,7678,0.0615234375,2048,0.0,7000,1582
mqar,none,none,1,2,23,23,1024,1024,uniform,0,0.23858642578125,16384,nan,7000,1614
mqar,none,none,1,2,23,23,1024,1024,placed,0,0.18768310546875,16384,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,1024,placed,256,0.18511962890625,16384,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,1024,placed,510,0.18658447265625,16384,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,2048,uniform,0,0.2486572265625,8192,nan,7000,1614
mqar,none,none,1,2,23,23,1024,2048,placed,0,0.189453125,8192,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,2048,placed,256,0.18896484375,8192,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,2048,placed,1024,0.1868896484375,8192,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,2048,placed,1534,0.182373046875,8192,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,4096,uniform,0,0.22802734375,4096,nan,7000,1614
mqar,none,none,1,2,23,23,1024,4096,placed,0,0.18310546875,4096,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,4096,placed,256,0.177978515625,4096,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,4096,placed,1024,0.17822265625,4096,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,4096,placed,3072,0.180908203125,4096,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,4096,placed,3582,0.17431640625,4096,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,8192,uniform,0,0.21923828125,2048,nan,7000,1614
mqar,none,none,1,2,23,23,1024,8192,placed,0,0.154296875,2048,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,8192,placed,256,0.13818359375,2048,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,8192,placed,1024,0.15234375,2048,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,8192,placed,3072,0.14599609375,2048,0.0,7000,1614
mqar,none,none,1,2,23,23,1024,8192,placed,7678,0.1318359375,2048,0.0,7000,1614
mqar,dbl,dbl,0,2,23,23,1024,1024,uniform,0,0.7784423828125,16384,nan,7000,2377
mqar,dbl,dbl,0,2,23,23,1024,1024,placed,0,0.53460693359375,16384,0.0,7000,2377
mqar,dbl,dbl,0,2,23,23,1024,1024,placed,256,0.53216552734375,16384,0.0,7000,2377
mqar,dbl,dbl,0,2,23,23,1024,1024,placed,510,0.99603271484375,16384,0.0,7000,2377
mqar,dbl,dbl,0,2,23,23,1024,2048,uniform,0,0.679443359375,8192,nan,7000,2377
mqar,dbl,dbl,0,2,23,23,1024,2048,placed,0,0.336181640625,8192,0.0,7000,2377
mqar,dbl,dbl,0,2,23,23,1024,2048,placed,256,0.33056640625,8192,0.0,7000,2377
mqar,dbl,dbl,0,2,23,23,1024,2048,placed,1024,0.333251953125,8192,0.0,7000,2377
mqar,dbl,dbl,0,2,23,23,1024,2048,placed,1534,0.989501953125,8192,1.0,7000,2377
mqar,dbl,dbl,0,2,23,23,1024,4096,uniform,0,0.609619140625,4096,nan,7000,2377
mqar,dbl,dbl,0,2,23,23,1024,4096,placed,0,0.312255859375,4096,0.0,7000,2377
