task,sched,trained,seed,d,q,N0,T_train,T_eval,layout,D,acc,n_queries,pairs_in_G,steps,train_sec
mqar,none,none,2,2,23,23,1024,1024,uniform,0,0.0394287109375,16384,nan,7000,1082
mqar,none,none,2,2,23,23,1024,1024,placed,0,0.03875732421875,16384,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,1024,placed,256,0.03607177734375,16384,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,1024,placed,510,0.0372314453125,16384,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,2048,uniform,0,0.0377197265625,8192,nan,7000,1082
mqar,none,none,2,2,23,23,1024,2048,placed,0,0.0374755859375,8192,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,2048,placed,256,0.037109375,8192,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,2048,placed,1024,0.035400390625,8192,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,2048,placed,1534,0.0390625,8192,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,4096,uniform,0,0.03759765625,4096,nan,7000,1082
mqar,none,none,2,2,23,23,1024,4096,placed,0,0.0361328125,4096,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,4096,placed,256,0.040283203125,4096,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,4096,placed,1024,0.040771484375,4096,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,4096,placed,3072,0.03857421875,4096,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,4096,placed,3582,0.036376953125,4096,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,8192,uniform,0,0.03369140625,2048,nan,7000,1082
mqar,none,none,2,2,23,23,1024,8192,placed,0,0.03369140625,2048,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,8192,placed,256,0.0244140625,2048,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,8192,placed,1024,0.0302734375,2048,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,8192,placed,3072,0.0185546875,2048,0.0,7000,1082
mqar,none,none,2,2,23,23,1024,8192,placed,7678,0.01708984375,2048,0.0,7000,1082
mqar,dbl,dbl,2,2,23,23,1024,1024,uniform,0,0.83172607421875,16384,nan,7000,1597
mqar,dbl,dbl,2,2,23,23,1024,1024,placed,0,0.6287841796875,16384,0.0,7000,1597
mqar,dbl,dbl,2,2,23,23,1024,1024,placed,256,0.6370849609375,16384,0.0,7000,1597
mqar,dbl,dbl,2,2,23,23,1024,1024,placed,510,0.99468994140625,16384,0.0,7000,1597
