task,sched,trained,seed,d,q,N0,T_train,T_eval,layout,D,acc,n_queries,pairs_in_G,steps,train_sec
mqar,none,none,2,2,23,23,1024,1024,uniform,0,0.0133056640625,8192,nan,7000,2287
mqar,none,none,2,2,23,23,1024,1024,placed,0,0.01318359375,8192,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,1024,placed,256,0.0126953125,8192,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,1024,placed,510,0.0106201171875,8192,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,2048,uniform,0,0.010986328125,4096,nan,7000,2287
mqar,none,none,2,2,23,23,1024,2048,placed,0,0.009033203125,4096,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,2048,placed,256,0.01220703125,4096,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,2048,placed,1024,0.009521484375,4096,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,2048,placed,1534,0.009033203125,4096,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,4096,uniform,0,0.01123046875,2048,nan,7000,2287
mqar,none,none,2,2,23,23,1024,4096,placed,0,0.01171875,2048,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,4096,placed,256,0.01025390625,2048,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,4096,placed,1024,0.0087890625,2048,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,4096,placed,3072,0.0087890625,2048,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,4096,placed,3582,0.0078125,2048,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,8192,uniform,0,0.0126953125,1024,nan,7000,2287
mqar,none,none,2,2,23,23,1024,8192,placed,0,0.0068359375,1024,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,8192,placed,256,0.0126953125,1024,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,8192,placed,1024,0.0107421875,1024,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,8192,placed,3072,0.0048828125,1024,0.0,7000,2287
mqar,none,none,2,2,23,23,1024,8192,placed,7678,0.0107421875,1024,0.0,7000,2287
mqar,dbl,dbl,2,2,23,23,1024,1024,uniform,0,0.9998779296875,8192,nan,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,1024,placed,0,0.9981689453125,8192,0.0,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,1024,placed,256,0.9990234375,8192,0.0,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,1024,placed,510,1.0,8192,0.0,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,2048,uniform,0,0.999755859375,4096,nan,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,2048,placed,0,0.9990234375,4096,0.0,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,2048,placed,256,0.99853515625,4096,0.0,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,2048,placed,1024,0.99755859375,4096,0.0,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,2048,placed,1534,1.0,4096,1.0,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,4096,uniform,0,1.0,2048,nan,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,4096,placed,0,0.998046875,2048,0.0,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,4096,placed,256,0.99755859375,2048,0.0,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,4096,placed,1024,0.99658203125,2048,0.0,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,4096,placed,3072,1.0,2048,1.0,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,4096,placed,3582,1.0,2048,1.0,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,8192,uniform,0,1.0,1024,nan,7000,3860
mqar,dbl,dbl,2,2,23,23,1024,8192,placed,0,0.99609375,1024,0.0,7000,3860
