task,sched,trained,seed,d,q,N0,T_train,T_eval,pos_lo,pos_hi,bpb,n_windows,steps,train_sec
pg19,none,none,0,2,37,37,2048,16384,0,128,1.7505775215321013,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,128,256,1.6963691022646479,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,256,384,1.6617436208546836,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,384,512,1.620814447874686,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,512,640,1.7245963668853839,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,640,768,1.6900977327942788,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,768,896,1.6266598751387396,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,896,1024,1.6627551285388584,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,1024,1152,1.642428935172736,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,1152,1280,1.6675771651714606,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,1280,1408,1.6745540898875213,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,1408,1536,1.663420382934828,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,1536,1664,1.6813152815250778,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,1664,1792,1.6936641282077511,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,1792,1920,1.6759402925590177,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,1920,2048,1.6435625951564707,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,2048,2176,1.7075950769569275,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,2176,2304,1.705196725610559,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,2304,2432,1.630934959873104,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,2432,2560,1.6636802316994157,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,2560,2688,1.6735848764442052,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,2688,2816,1.6698318566378338,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,2816,2944,1.636252115610477,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,2944,3072,1.7036798328880964,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,3072,3200,1.6818464412612586,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,3200,3328,1.6236091550185936,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,3328,3456,1.6956583464857102,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,3456,3584,1.6596521307366525,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,3584,3712,1.6418361582956338,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,3712,3840,1.6749890655917417,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,3840,3968,1.6850724695410375,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,3968,4096,1.6531357652778027,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,4096,4224,1.7129483404250818,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,4224,4352,1.7165197637488327,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,4352,4480,1.6937171332313552,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,4480,4608,1.6602638878265246,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,4608,4736,1.673653305749802,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,4736,4864,1.680967566667759,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,4864,4992,1.6639223848778695,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,4992,5120,1.638294579840121,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,5120,5248,1.6348148480867835,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,5248,5376,1.6253515269474814,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,5376,5504,1.6663837956224399,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,5504,5632,1.689051538674118,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,5632,5760,1.6279117666185794,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,5760,5888,1.640341739928823,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,5888,6016,1.650909993889779,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,6016,6144,1.6471368522051053,64,6000,1095
pg19,none,none,0,2,37,37,2048,16384,6144,6272,1.6786999741669915,64,6000,1095
