task,sched,trained,seed,d,q,N0,T_train,T_eval,pos_lo,pos_hi,bpb,n_windows,steps,train_sec
pg19,dbl,dbl,1,2,37,37,2048,16384,0,128,1.7445321802553804,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,128,256,1.6636883914595333,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,256,384,1.6181906602781906,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,384,512,1.5828189532840844,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,512,640,1.6830666034693258,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,640,768,1.6486774559543655,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,768,896,1.5813803912219742,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,896,1024,1.6227098747528492,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,1024,1152,1.5652070854842632,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,1152,1280,1.6013931500487968,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,1280,1408,1.6206371575740635,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,1408,1536,1.6097606780151406,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,1536,1664,1.6168216878665997,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,1664,1792,1.6220651587897799,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,1792,1920,1.6179553677368779,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,1920,2048,1.5943318943263882,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,2048,2176,1.618267372654647,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,2176,2304,1.6317898189956634,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,2304,2432,1.5667530833837124,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,2432,2560,1.5698536341963134,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,2560,2688,1.5928542009561517,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,2688,2816,1.6007830302108772,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,2816,2944,1.5785169694459669,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,2944,3072,1.6209489768473517,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,3072,3200,1.619000239131585,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,3200,3328,1.548752520191631,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,3328,3456,1.6307727010860513,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,3456,3584,1.581143758755893,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,3584,3712,1.5753688454021493,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,3712,3840,1.6176815911802662,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,3840,3968,1.6110599032951498,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,3968,4096,1.5786307779784585,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,4096,4224,1.6264569724341553,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,4224,4352,1.623081470583201,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,4352,4480,1.646246671751988,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,4480,4608,1.57839008848951,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,4608,4736,1.6107523964679373,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,4736,4864,1.6136331944854616,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,4864,4992,1.6004174480681927,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,4992,5120,1.5796471652347264,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,5120,5248,1.569428502446038,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,5248,5376,1.5648889518633298,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,5376,5504,1.596631543043364,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,5504,5632,1.6174169174436681,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,5632,5760,1.5655007193320984,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,5760,5888,1.5756632759634985,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,5888,6016,1.5809395201993712,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,6016,6144,1.5728857217744288,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,6144,6272,1.6184303678867575,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,6272,6400,1.567710984131247,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,6400,6528,1.6477105151168172,64,6000,2101
pg19,dbl,dbl,1,2,37,37,2048,16384,6528,6656,1.5762741949161176,64,6000,2101
