task,sched,trained,seed,d,q,N0,T_train,T_eval,pos_lo,pos_hi,bpb,n_windows,steps,train_sec
pg19,half_oracle,half,1,2,37,37,2048,2048,0,128,1.758272341595454,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,128,256,1.6517937858497769,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,256,384,1.6392331847724455,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,384,512,1.626473929625416,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,512,640,1.628090674032683,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,640,768,1.6274955710650352,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,768,896,1.6442846046932265,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,896,1024,1.6402348677429983,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,1024,1152,1.6568605661390148,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,1152,1280,1.594517098227512,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,1280,1408,1.5859504993770714,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,1408,1536,1.5995704238974522,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,1536,1664,1.6103557780646258,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,1664,1792,1.6045661006973053,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,1792,1920,1.5986781262595953,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,2048,1920,2048,1.5956417933846365,512,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,0,128,1.7782260188287986,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,128,256,1.6361293609675052,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,256,384,1.655645859142115,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,384,512,1.6371403720234334,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,512,640,1.6244072664689735,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,640,768,1.6428039586895389,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,768,896,1.6365850140952434,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,896,1024,1.6140812661216521,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,1024,1152,1.614727383065221,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,1152,1280,1.6255261735449447,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,1280,1408,1.6478212380806896,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,1408,1536,1.6197398138976293,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,1536,1664,1.6496805748079026,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,1664,1792,1.6377711440501113,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,1792,1920,1.6645787429138332,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,1920,2048,1.618087344881272,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,2048,2176,1.631657094177059,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,2176,2304,1.5777385559609027,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,2304,2432,1.5557400847859082,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,2432,2560,1.5846340541032107,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,2560,2688,1.5728162121267029,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,2688,2816,1.5574244110690607,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,2816,2944,1.5922628414256652,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,2944,3072,1.59498130278948,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,3072,3200,1.5937449636417647,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,3200,3328,1.6067748942464932,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,3328,3456,1.5982197652028773,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,3456,3584,1.6140964620233016,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,3584,3712,1.6070231517068692,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,3712,3840,1.6120835998770613,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,3840,3968,1.615352204265444,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,4096,3968,4096,1.6115197580732559,256,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,0,128,1.7438985773117628,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,128,256,1.6143668581351571,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,256,384,1.6518040467394912,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,384,512,1.6531721602455387,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,512,640,1.639069594400481,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,640,768,1.5988662552513864,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,768,896,1.6336062215515161,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,896,1024,1.596374018149209,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,1024,1152,1.6147263144298578,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,1152,1280,1.6419022636441976,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,1280,1408,1.6216301343952806,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,1408,1536,1.6542135057912115,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,1536,1664,1.6208496496445508,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,1664,1792,1.6385085623674327,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,1792,1920,1.6416974041960861,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,1920,2048,1.633852596356106,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,2048,2176,1.6285257962276192,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,2176,2304,1.6178645523579225,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,2304,2432,1.607404712726784,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,2432,2560,1.601139066319225,128,6000,2254
pg19,half_oracle,half,1,2,37,37,2048,8192,2560,2688,1.5880505722838354,128,6000,2254
