task,sched,trained,seed,d,q,N0,T_train,T_eval,pos_lo,pos_hi,bpb,n_windows,steps,train_sec
pg19,none,none,1,2,37,37,2048,16384,0,128,1.757465414811318,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,128,256,1.6988825254166464,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,256,384,1.676856638544381,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,384,512,1.6403545306451224,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,512,640,1.7331412311554,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,640,768,1.7078123093228474,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,768,896,1.643587399077171,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,896,1024,1.678792891735739,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,1024,1152,1.655060380196176,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,1152,1280,1.6843874613200307,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,1280,1408,1.6970958975409216,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,1408,1536,1.6754962837400322,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,1536,1664,1.7042200125600742,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,1664,1792,1.7076341976696563,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,1792,1920,1.692065026969908,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,1920,2048,1.6624429040608404,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,2048,2176,1.7295701886518753,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,2176,2304,1.7203420906871654,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,2304,2432,1.645546835690469,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,2432,2560,1.6786159389552675,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,2560,2688,1.6811266133135119,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,2688,2816,1.6805993992481505,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,2816,2944,1.6423235969117633,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,2944,3072,1.70692818168492,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,3072,3200,1.685507347570785,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,3200,3328,1.6332314333614382,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,3328,3456,1.7125936980490628,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,3456,3584,1.6716521593443172,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,3584,3712,1.6568102592402034,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,3712,3840,1.703435359061785,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,3840,3968,1.705107510345213,64,6000,1093
pg19,none,none,1,2,37,37,2048,16384,3968,4096,1.6803440133357308,64,6000,1093
