task,sched,trained,seed,d,q,N0,T_train,T_eval,pos_lo,pos_hi,bpb,n_windows,steps,train_sec
pg19,win4,win4,1,2,37,37,2048,16384,0,128,1.740651426961304,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,128,256,1.6588847856273505,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,256,384,1.613669999470796,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,384,512,1.5677393542566516,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,512,640,1.6701353848809215,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,640,768,1.6339887474125774,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,768,896,1.5724181645269888,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,896,1024,1.6106671344942238,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,1024,1152,1.5576622573176062,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,1152,1280,1.5941438475968677,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,1280,1408,1.607028479442615,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,1408,1536,1.599451118974109,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,1536,1664,1.6021729650707002,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,1664,1792,1.5999010530436382,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,1792,1920,1.5954612381796043,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,1920,2048,1.5716946843097337,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,2048,2176,1.5959779335859663,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,2176,2304,1.6124113352713376,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,2304,2432,1.5497256111671933,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,2432,2560,1.5581928401865643,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,2560,2688,1.5686337847788059,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,2688,2816,1.5782214845304068,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,2816,2944,1.5603543011899728,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,2944,3072,1.5971638212231156,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,3072,3200,1.6020514717694203,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,3200,3328,1.535178369823699,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,3328,3456,1.603513070534446,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,3456,3584,1.5588902557003916,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,3584,3712,1.5506765405815999,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,3712,3840,1.588884393946687,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,3840,3968,1.5862106873308313,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,3968,4096,1.5643052824459098,64,6000,2265
pg19,win4,win4,1,2,37,37,2048,16384,4096,4224,1.5960467395733522,64,6000,2265
