task,sched,trained,seed,d,q,N0,T_train,T_eval,layout,D,acc,n_queries,pairs_in_G,steps,train_sec
mqar,none,none,0,2,23,23,1024,1024,uniform,0,0.005859375,1024,nan,60,9
mqar,none,none,0,2,23,23,1024,1024,placed,0,0.001953125,1024,0.0,60,9
mqar,none,none,0,2,23,23,1024,1024,placed,510,0.001953125,1024,0.0,60,9
mqar,none,none,0,2,23,23,1024,8192,uniform,0,0.0078125,128,nan,60,9
mqar,none,none,0,2,23,23,1024,8192,placed,0,0.0,128,0.0,60,9
mqar,none,none,0,2,23,23,1024,8192,placed,7678,0.0078125,128,0.0,60,9
mqar,dbl,dbl,0,2,23,23,1024,1024,uniform,0,0.005859375,1024,nan,60,11
mqar,dbl,dbl,0,2,23,23,1024,1024,placed,0,0.0029296875,1024,0.0,60,11
mqar,dbl,dbl,0,2,23,23,1024,1024,placed,510,0.005859375,1024,0.0,60,11
mqar,dbl,dbl,0,2,23,23,1024,8192,uniform,0,0.0,128,nan,60,11
mqar,dbl,dbl,0,2,23,23,1024,8192,placed,0,0.0078125,128,0.0,60,11
mqar,dbl,dbl,0,2,23,23,1024,8192,placed,7678,0.0,128,1.0,60,11
