task,sched,trained,seed,d,q,N0,T_train,T_eval,pos_lo,pos_hi,bpb,n_windows,steps,train_sec
pg19,win8,win8,0,2,37,37,2048,16384,0,128,3.4390726288822826,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,128,256,3.6595134319042444,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,256,384,3.4794196707679497,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,384,512,3.615082415420586,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,512,640,3.7863711982476445,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,640,768,3.3651141495635546,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,768,896,3.2659199276446897,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,896,1024,3.417138851735819,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,1024,1152,3.4616515707275535,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,1152,1280,3.496251481133676,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,1280,1408,3.6936112564281607,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,1408,1536,3.479009866678173,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,1536,1664,3.5942024156125854,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,1664,1792,3.7051601433613097,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,1792,1920,3.676641679897407,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,1920,2048,3.759293985003756,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,2048,2176,3.7552757877234546,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,2176,2304,3.716782246533606,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,2304,2432,3.701764929720506,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,2432,2560,3.557399289210838,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,2560,2688,3.763401499055276,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,2688,2816,3.8465832420033905,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,2816,2944,3.692297515892196,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,2944,3072,4.266613217315021,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,3072,3200,3.580768977053451,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,3200,3328,3.689218050305847,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,3328,3456,3.7830666537260154,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,3456,3584,3.6378186542106734,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,3584,3712,3.491490318801648,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,3712,3840,3.750389604753165,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,3840,3968,3.4795943964077325,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,3968,4096,3.351230564554582,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,4096,4224,3.3655468068557757,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,4224,4352,3.4511299724455986,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,4352,4480,3.3246765850126896,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,4480,4608,3.4929340009638334,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,4608,4736,3.6671257407610716,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,4736,4864,3.8757644412842,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,4864,4992,3.452677396423845,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,4992,5120,3.591424664027657,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,5120,5248,4.109541329264186,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,5248,5376,3.6246688909570284,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,5376,5504,3.8080272267720003,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,5504,5632,3.6846030980839193,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,5632,5760,3.5700175904675335,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,5760,5888,3.4581254541043824,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,5888,6016,3.3824278539733834,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,6016,6144,3.430839335684274,4,60,21
pg19,win8,win8,0,2,37,37,2048,16384,6144,6272,3.743554495572696,4,60,21
