d,T,phase,ms
1,4096,causal scan,0.47152000665664673
1,8192,causal scan,0.3795520067214966
1,16384,causal scan,0.6874880194664001
1,32768,causal scan,0.976032018661499
1,65536,causal scan,1.9071680307388306
1,131072,causal scan,3.7348480224609375
1,262144,causal scan,7.471136093139648
1,4096,pool by profile ($S^T$),0.33055999875068665
1,8192,pool by profile ($S^T$),0.3651520013809204
1,16384,pool by profile ($S^T$),0.5861759781837463
1,32768,pool by profile ($S^T$),0.6404479742050171
1,65536,pool by profile ($S^T$),1.1625920534133911
1,131072,pool by profile ($S^T$),2.1978559494018555
1,262144,pool by profile ($S^T$),4.359007835388184
1,4096,incidence ($C$),0.15119999647140503
1,8192,incidence ($C$),0.01158399973064661
1,16384,incidence ($C$),0.01056000031530857
1,32768,incidence ($C$),0.006816000211983919
1,65536,incidence ($C$),0.006399999838322401
1,131072,incidence ($C$),0.00687999976798892
1,262144,incidence ($C$),0.007040000054985285
1,4096,type-major GEMM ($R$),0.21964800357818604
1,8192,type-major GEMM ($R$),0.12947200238704681
1,16384,type-major GEMM ($R$),0.20825600624084473
1,32768,type-major GEMM ($R$),0.24806399643421173
1,65536,type-major GEMM ($R$),0.4610559940338135
1,131072,type-major GEMM ($R$),0.8952640295028687
1,262144,type-major GEMM ($R$),1.7980480194091797
1,4096,normalise,0.14771200716495514
1,8192,normalise,0.09737599641084671
1,16384,normalise,0.1212799996137619
1,32768,normalise,0.22089600563049316
1,65536,normalise,0.4217599928379059
1,131072,normalise,0.8257279992103577
1,262144,normalise,1.6375999450683594
2,4096,causal scan,0.27904000878334045
2,8192,causal scan,0.33113598823547363
2,16384,causal scan,0.4965119957923889
2,32768,causal scan,0.9713919758796692
2,65536,causal scan,1.9215680360794067
2,131072,causal scan,3.8183679580688477
2,262144,causal scan,7.6042561531066895
2,4096,pool by profile ($S^T$),0.2611519992351532
2,8192,pool by profile ($S^T$),0.10447999835014343
2,16384,pool by profile ($S^T$),0.12387199699878693
2,32768,pool by profile ($S^T$),0.15692800283432007
2,65536,pool by profile ($S^T$),0.22649599611759186
2,131072,pool by profile ($S^T$),0.313728004693985
