arm,k,seed,steps,rows_mode,loss_final,loss_best,loss_q25,loss_q50,loss_q75,loss_tail_slope,nmse,nmse_answerable,nmse_unanswerable,exact_support_frac,leak_rel,leak_max,influence_mean,influence_max,influence_zero_frac,train_seconds,T,d,cols,source,ceiling_answerable,n_patterns
smat,1,0,1500,mask,4.197298721919651e-07,2.3500905399487237e-07,0.008383555337786674,1.674944087426411e-06,7.449401664416655e-07,-0.0017712137700899645,3.506630673655309e-05,3.506630673655309e-05,nan,1.0,3.618436949182069e-06,0.0011736878659576178,0.0,0.0,1.0,22.86715427786112,1024,1,513,witness,1.0,2
smat,1,1,1500,mask,6.18234309968102e-07,4.975208298674261e-07,0.009118310175836086,3.826361717074178e-05,2.4730893528612796e-06,-0.0017064208342549684,8.156208059517667e-05,8.156208059517667e-05,nan,1.0,9.496866368863266e-07,0.00012449400674086064,0.0,0.0,1.0,21.461926409974694,1024,1,513,witness,1.0,2
smat,1,2,1500,mask,5.747700697611435e-07,3.5058957337241736e-07,0.00023657466226723045,2.6447964046383277e-05,3.559654487617081e-06,-0.004511597331794998,0.0003403476148378104,0.0003403476148378104,nan,1.0,4.694205017585773e-06,0.0015398337272927165,0.0,0.0,1.0,20.808275688439608,1024,1,513,witness,1.0,2
smat_content,1,0,1500,mask,1.1177830572250969e-07,9.534865341720433e-08,1.5018857993709389e-05,8.203174729715101e-06,3.541902913184458e-07,-0.0015469104041386887,0.00010929538257187232,0.00010929538257187232,nan,1.0,6.407649379980285e-07,0.00020784055232070386,0.0,0.0,1.0,23.155530447140336,1024,1,513,witness,1.0,2
smat_content,1,1,1500,mask,2.434601142908832e-08,1.277354844120282e-08,1.4132937394606415e-05,3.041190268504579e-07,1.368862427852946e-07,-0.0024413889470471664,2.390011673014669e-07,2.390011673014669e-07,nan,1.0,6.063982596060669e-07,7.949248538352549e-05,0.0,0.0,1.0,23.023417865857482,1024,1,513,witness,1.0,2
smat_content,1,2,1500,mask,4.896354539596359e-07,1.8495190090561664e-07,0.00013051785936113447,3.2011894290917553e-06,8.541594525013352e-07,-0.0015033287178127153,2.266794126626337e-06,2.266794126626337e-06,nan,1.0,4.2284846131224185e-06,0.0013870641123503447,0.0,0.0,1.0,22.97782965004444,1024,1,513,witness,1.0,2
softmax,1,0,1500,mask,1.2286201922506734e-07,1.3589232850108601e-08,2.84287852991838e-06,2.184320635478798e-07,2.0180114290724305e-07,0.002268850604237224,0.0002871443866752088,0.0002871443866752088,nan,1.0,2.692289591266217e-08,8.732796231925022e-06,0.0,0.0,1.0,10.309028062969446,1024,0,513,witness,1.0,2
softmax,1,1,1500,mask,4.742800641110989e-08,1.2570224861008228e-08,1.6827546005515615e-06,3.1109044584809453e-07,1.1071340111357131e-07,-0.0003490642404783315,1.938492232511635e-06,1.938492232511635e-06,nan,1.0,1.8682360547472854e-08,2.4490623218298424e-06,0.0,0.0,1.0,10.085233861580491,1024,0,513,witness,1.0,2
softmax,1,2,1500,mask,2.2297467694443185e-07,2.2087061068987168e-08,9.352255574412993e-07,1.0668709649053199e-07,3.2176131981032086e-07,0.0007444781270276441,0.00035138148814439774,0.00035138148814439774,nan,1.0,9.05921666571885e-08,2.9716824428760447e-05,0.0,0.0,1.0,10.26965438760817,1024,0,513,witness,1.0,2
softmax_content,1,0,1500,last,2.103756742144469e-06,6.493795581263839e-07,0.00020049921295139939,2.0962795588275185e-06,2.3386360226140823e-06,0.0007296525512175093,0.0015096645802259445,0.0015096645802259445,nan,0.984375,0.003231336595490575,0.8667451739311218,0.009094225242733955,1.4305484294891357,0.5234375,12.041590090841055,1024,0,513,witness,1.0,2
