T,d,q,N0,B,deg,I_prof,I_tok,pool_gain,generic,dense,build_ms,audit_exact,T_R_ge_2B
4096,1,0,1,1,1,1,2048,2048.0,4096.0,16777216,0.08668750524520874,True,True
8192,1,0,1,1,1,1,4096,4096.0,8192.0,67108864,0.017911195755004883,True,True
16384,1,0,1,1,1,1,8192,8192.0,16384.0,268435456,0.016264617443084717,True,True
32768,1,0,1,1,1,1,16384,16384.0,32768.0,1073741824,0.015601515769958496,True,True
65536,1,0,1,1,1,1,32768,32768.0,65536.0,4294967296,0.015914440155029297,True,True
131072,1,0,1,1,1,1,65536,65536.0,131072.0,17179869184,0.017642974853515625,True,True
262144,1,0,1,1,1,1,131072,131072.0,262144.0,68719476736,0.023424625396728516,True,True
524288,1,0,1,1,1,1,262144,262144.0,524288.0,274877906944,0.0397413969039917,True,True
1048576,1,0,1,1,1,1,524288,524288.0,1048576.0,1099511627776,0.051625072956085205,True,True
4096,2,47,47,47,1,47,2048,43.57446808510638,262144.0,16777216,0.70209801197052,True,True
8192,2,67,67,67,1,67,4096,61.134328358208954,741455.2001894653,67108864,0.7719025015830994,True,True
16384,2,97,97,97,1,97,8192,84.45360824742268,2097152.0,268435456,0.5174353718757629,True,True
32768,2,131,131,131,1,131,16384,125.06870229007633,5931641.601515722,1073741824,0.614948570728302,True,True
65536,2,191,191,191,1,191,32768,171.56020942408378,16777216.0,4294967296,0.6382688879966736,True,True
131072,2,257,257,257,1,257,65536,255.00389105058366,47453132.81212578,17179869184,0.9124726057052612,True,True
262144,2,367,367,367,1,367,131072,357.1444141689373,134217728.0,68719476736,1.0106265544891357,True,True
524288,2,521,521,521,1,521,262144,503.15547024952014,379625062.49700624,274877906944,0.8603334426879883,True,True
1048576,2,727,727,727,1,727,524288,721.1664374140303,1073741824.0,1099511627776,0.9047165513038635,True,True
4096,3,13,169,182,13,2366,28672,12.118343195266272,1048576.0000000007,16777216,1.0050684213638306,True,True
8192,3,17,289,306,17,5202,73728,14.173010380622838,3329021.2909372156,67108864,0.9951964020729065,True,True
16384,3,23,529,552,23,12696,196608,15.485822306238186,10568983.79851654,268435456,1.7276778817176819,True,True
32768,3,29,841,870,29,25230,491520,19.48156956004756,33554432.00000002,1073741824,3.426462411880493,True,True
65536,3,37,1369,1406,37,52022,1245184,23.93571950328707,106528681.30999091,4294967296,9.07965749502182,True,True
131072,3,41,1681,1722,41,70602,2752512,38.98631766805473,338207481.55252934,17179869184,6.672628223896027,True,True
262144,3,53,2809,2862,53,151686,7077888,46.661445354218586,1073741824.000001,68719476736,15.700943768024445,True,True
524288,3,67,4489,4556,67,305252,17825792,58.3969703720205,3408917801.9197097,274877906944,31.244613230228424,True,True
1048576,3,83,6889,6972,83,578676,44040192,76.10509507911162,10822639409.68094,1099511627776,163.07806223630905,True,True
4096,4,7,343,399,49,19551,116736,5.970845481049563,2097152.0,16777216,6.744600832462311,True,True
8192,4,11,1331,1463,121,177023,544768,3.0773854244928627,7053950.3961686315,67108864,29.01279926300049,True,True
16384,4,11,1331,1463,121,177023,1089536,6.154770848985725,23726566.40606289,268435456,20.895592868328094,True,True
32768,4,13,2197,2379,169,402051,2998272,7.457441966317706,79806338.54854997,1073741824,41.254639625549316,True,True
65536,4,17,4913,5219,289,1508291,10059776,6.669651943822512,268435456.0,4294967296,513.8714984059334,True,True
131072,4,17,4913,5219,289,1508291,20119552,13.339303887645023,902905650.7095848,17179869184,493.0511713027954,True,True
262144,4,23,12167,12719,529,6728351,72482816,10.772745952165694,3037000499.97605,68719476736,2041.8596491217613,True,True
524288,4,23,12167,12719,529,6728351,144965632,21.54549190433139,10215211334.214396,274877906944,1594.8657989501953,True,True
1048576,4,29,24389,25259,841,21242819,456654848,21.496904342121447,34359738368.0,1099511627776,7250.150069594383,True,True
4096,5,5,625,780,125,97500,319488,3.2768,3178688.0288904156,16777216,8.059628307819366,True,True
8192,5,7,2401,2800,343,960400,1638400,1.7059558517284465,11068834.616372792,67108864,387.95875757932663,True,False
16384,5,7,2401,2800,343,960400,3276800,3.411911703456893,38543920.84125989,268435456,86.4715576171875,True,True
32768,5,7,2401,2800,343,960400,6553600,6.823823406913786,134217728.00000006,1073741824,87.02575415372849,True,True
65536,5,11,14641,16104,1331,21434424,47972352,2.2380984905402634,467373274.8589041,4294967296,8731.044694781303,True,True
131072,5,11,14641,16104,1331,21434424,95944704,4.476196981080527,1627488270.791893,17179869184,7767.1656385064125,True,True
262144,5,11,14641,16104,1331,21434424,191889408,8.952393962161054,5667243323.5828705,68719476736,7494.356997311115,True,True
