T,d,n,T_R,q,B,N0,causal,unit_diagonal,dominated_by_L_T,is_L_T,nnz,density,min_row_support,landmark_min_support,nnz_In_variant_P0,nnz_In_variant_P8,density_In_variant_P0
512,1,256,256,0,1,1,True,True,True,True,131328,0.5009765625,1,1,98688,100736,0.37646484375
512,2,256,256,17,17,17,True,True,True,False,69648,0.26568603515625,1,1,37007,39055,0.14117050170898438
512,3,256,256,7,56,49,True,True,True,False,75155,0.2866935729980469,1,1,42514,44562,0.16217803955078125
1024,1,512,512,0,1,1,True,True,True,True,524800,0.50048828125,1,1,393984,398080,0.375732421875
1024,2,512,512,23,23,23,True,True,True,False,274058,0.26136207580566406,1,1,143237,147333,0.13660144805908203
1024,3,512,512,11,132,121,True,True,True,False,286488,0.27321624755859375,1,1,155671,159767,0.14845943450927734
1024,4,512,512,5,155,125,True,True,True,False,315087,0.3004903793334961,1,1,184268,188364,0.17573165893554688
2048,1,1024,1024,0,1,1,True,True,True,True,2098176,0.500244140625,1,1,1574400,1582592,0.3753662109375
2048,2,1024,1024,37,37,37,True,True,True,False,1077948,0.2570028305053711,1,1,554163,562355,0.13212275505065918
2048,3,1024,1024,11,132,121,True,True,True,False,1144925,0.27297139167785645,1,1,621149,629341,0.14809346199035645
2048,4,1024,1024,7,399,343,True,True,True,False,1199396,0.28595829010009766,1,1,675620,683812,0.16108036041259766
4096,1,2048,2048,0,1,1,True,True,True,True,8390656,0.5001220703125,1,1,6294528,6310912,0.37518310546875
4096,2,2048,2048,47,47,47,True,True,True,False,4285604,0.25544190406799316,1,1,2189464,2205848,0.13050222396850586
4096,3,2048,2048,13,182,169,True,True,True,False,4518991,0.26935285329818726,1,1,2422862,2439246,0.14441382884979248
4096,4,2048,2048,7,399,343,True,True,True,False,4795541,0.28583651781082153,1,1,2699410,2715794,0.1608973741531372
4096,5,2048,2048,5,780,625,True,True,True,False,5035214,0.30012214183807373,1,1,2939084,2955468,0.17518305778503418
